verdict,text,part
SH-19-05-9773-858,"חוק כרטיסי חיוב, תשמ""ו-1986: סע'  17",nothing
SH-19-05-9773-858,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",nothing
SH-19-05-9773-858,"חוק העונשין, תשל""ז-1977: סע'  40ט', 40יא",nothing
SH-19-05-9773-858,הנאשם הודה לפניי במסגרת ארבעה תיקים פליליים.,כתבי האישום
SH-19-05-9773-858,"ת""פ 9773-05-19 (התיק הראשון) – מעובדות כתב האישום המתוקן עולה, כי במהלך חודש יוני 2019, עשה הנאשם שימוש בכרטיס אשראי גנוב של המתלוננת, כשביצע באמצעותו ארבע משיכות מכספומט בסך כולל של 5,000 ₪. בגין מעשים אלו הודה והורשע בעבירה של הונאה בכרטיס חיוב, לפי סעיף 17 רישא לחוק כרטיסי חיוב, התשמ""ו-1986.",כתבי האישום
SH-19-05-9773-858,"ת""פ 1617-03-20 (התיק השני) – מעובדות כתב האישום עולה כי ביום 25.5.2019 החזיק הנאשם בכליו סם מסוכן מסוכן מסוג 5F-ADB (קנבואיד סינטטי) במשקל 6.4449 גרם נטו, ובכך הודה והורשע בהחזקת סם לצריכה עצמית, לפי סעיפים 7(א) ו-(ג) סיפא לפקודת הסמים המסוכנים.",כתבי האישום
SH-19-05-9773-858,"ת""פ 62902-12-18 (התיק השלישי) – מועבדות כתב האישום המתוקן עולה, כי ביום 14.4.2018, רכב הנאשם על אופניים חשמליים ונתבקש ע""י שוטר לעצור. כשפתח השוטר את דלת הניידת, ניסה הנאשם להימלט מהשוטר ברכיבה על אופניו. באותן נסיבות החזיק סם מסוג ""נייס גאי"" במשקל 4 גרם לצריכתו העצמית, ולכן הורשע בביצוע עבירה של החזקת סם לצריכה עצמית, לפי סעיפים 7(א) ו-(ג) סיפא לפקודת הסמים.",כתבי האישום
SH-19-05-9773-858,"פל""א (תחנת מוריה ציון) 482945/2020 (התיק הרביעי) – מעובדות תמצית האישום עולה כי ביום 3.8.2020 החזיק הנאשם על גופו בתוך שני ניירות עטופים, סם מסוכן מסוג MDMB-4en-PINACA (קנבואיד סינטטי) במשקל 1.90 גרם נטו. בגין כך הורשע הנאשם בביצוע עבירה של החזקת סם לצריכה עצמית.",כתבי האישום
SH-19-05-9773-858,"הנאשם צירף את שלושת התיקים, והסניגור ביקש לשלוח את הנאשם אל הממונה על עבודות השירות, בעוד המאשימה הצהירה כי תעתור למאסר בפועל. יצוין, כי ביחס לתיק השלישי הוצג הסדר  טיעון ביום 25.11.2019 שכלל הסכמה עונשית ""סגורה"" להטלת מאסר בעבודות שירות בחופף להפעלת מאסר מותנה, ואולם עם צירוף התיקים האחרים הסדר זה איבד ממשמעותו.",מהלך הדיון
SH-19-05-9773-858,"הממונה הגיש חוות דעת על אודות כשירות הנאשם לבצע מאסר בעבודות שירות. מחוות הדעת עולה, כי הנאשם כשיר לבצע עבודות שירות ב""מפעל חיים"" בירושלים החל מיום 21.2.2021.",חוות דעת של הממונה על עבודות השירות
SH-19-05-9773-858,"לנאשם רישום פלילי הכולל 6 הרשעות קודמות, רובן בעבירות סמים ואחת מהן ברכוש ומרמה. יצוין, כי העבירות האחרונות נעברו בשנת 2016 ומאז הייתה הפוגה בביצוע עבירות עד לשנת  2018, אז ביצע הנאשם את המעשים שלפניי.",רישום פלילי
SH-19-05-9773-858,"בת""פ 66952-11-17, שם הורשע הנאשם בשימוש עצמי, נגזר דינו של הנאשם למאסר מותנה של שבועיים למשך שנה מיום גזר הדין, 29.1.2019, בעבירה של שימוש עצמי (המאסר המותנה הראשון).",רישום פלילי
SH-19-05-9773-858,"בת""פ 51001-02-16 הוטל על הנאשם מאסר מותנה של 3 חודשים ביחס לעבירות רכוש וזיוף למשך 3 שנים מיום 6.4.2017 (המאסר המותנה השני).",רישום פלילי
SH-19-05-9773-858,"בת""פ 17369-06-15 הוטל על הנאשם מאסר מותנה של 3 חודשים ביחס לעבירות סמים מסוג עוון למשך שנתיים מיום 4.7.2018 (המאסר המותנה השלישי).",רישום פלילי
SH-19-05-9773-858,הצדדים לא הגיעו להסכמה עונשית.,טיעונים לעונש
SH-19-05-9773-858,"מחד, ב""כ המאשימה עתרה להטיל על הנאשם עונשי מאסר בגין מכלול התיקים, לרבות הפעלת שלושת המאסרים המותנים במצטבר.",טיעונים לעונש
SH-19-05-9773-858,"מאידך, הסניגור עמד על נסיבותיו האישיות של הנאשם, וביקש לאפשר לו לרצות את העונש בדרך של עבודות שירות, כך שהמאסרים המותנים יופעלו בחופף.",טיעונים לעונש
SH-19-05-9773-858,"קביעת מתחם הענישה – מתחם הענישה צריך להתייחס לעקרון ההלימה, הנוגע ליחס לערך החברתי המוגן, מידת הפגיעה בו, מדיניות הענישה הנוהגת ונסיבות ביצוע העבירה.",טיעונים לעונש
SH-19-05-9773-858,"אשר לערך המוגן – אשר לתיק הראשון, עבירות מרמה פוגעות בקניינו של אדם ובפרטיותו וגורמות לו מעבר לנזק הכלכלי, עוגמת נפש וטרחה. מידת הפגיעה בערכים המוגנים נמוכה במקרנו. אשר לתיקי הסמים – נגע הסמים פוגע בבריאות הציבור ובביטחונו. במקרנו מידת הפגיעה בערכים המוגנים נמוכה נוכח כמותם של הסמים, סוגם (ממשפחת הקנביס) והיותם לצריכה עצמית.",טיעונים לעונש
SH-19-05-9773-858,"נסיבות הקשורות בביצוע העבירה, לפי סעיף 40ט' לחוק העונשין – בין הנסיבות הקשורות בביצוע העבירה יש לשקול את אלה, לעניין קביעת המתחם: אשר לתיק הראשון – נדמה כי מדובר בעבירה מתוכננת, לפחות בחלקה, בשל השימוש החוזר בכרטיס האשראי, כאשר לנאשם הייתה הזדמנות לעצור בכל אחת מהעסקאות מבלי להמשיך לחייב במרמה את הכרטיס; הנאשם צריך היה להימנע מן המעשים והוא אחראי להם בלעדית; בפועל נגרם נזק מבחינה כלכלית והנזק הפוטנציאלי גדול. אשר לתיקים השני והשלישי – מדובר בעבירות מתוכננת לצריכה עצמית נוכח הכמות והנסיבות. הנזק הוא בעיקר לנאשם ולבריאותו. הנאשם אחראי בלעדית למעשים.",טיעונים לעונש
SH-19-05-9773-858,"מדיניות הענישה הנוהגת – ביחס לתיק הראשון – עבירות מרמה מזמנות טווח ענישה נרחב, בשל השוני בנסיבות של כל מקרה ומקרה. ברע""פ 5986/17 הפטר נ' מ""י (מיום 27.7.2017) אושר מתחם ענישה שבין מאסר קצר ועד 12 חודשי מאסר לאישום שנגע לגניבה והונאה בכרטיס אשראי בהיקף 6,000 ₪. בשל עבירות נוספות נגזרו על הנאשם 18 חודשי מאסר.",טיעונים לעונש
SH-19-05-9773-858,"ביחס לתיקי הסמים – ברע""פ 7996/12 יוסף נ' מ""י (מיום 23.1.2013) אושר מתחם שבין מאסר על-תנאי לעבודות שירות ביחס לעבירה של שימוש עצמי בקוקאין, ומכאן ניתן לגזור לקולא ביחס למקרנו. באותו מקרה נדון נאשם למאסר ממושך בעיקר בשל עבירות הסחר.",טיעונים לעונש
SH-19-05-9773-858,"מתחם הענישה – לפיכך, מתחם הענישה ביחס לתיק הראשון צריך לעמוד על בין חודש ל-6 חודשי מאסר שיכול וירוצו בעבודות שירות, ובין שבוע מאסר ועד 4 חודשי מאסר ביחס לכל אחד מתיקי הסמים.",טיעונים לעונש
