verdict,text,part,mapped_category
SH-16-11-7544-55,הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק שלא כדין בהתאם להוראת סעיף 144(א) רישא וסיפא לחוק העונשין.,רקע,עובדות המקרה
SH-16-11-7544-55,"על פי המתואר בעובדות כתב האישום, בתאריך 26.10.16, עת שנסע ברכבו במחלף להב-שומריה שבכביש 6 לכוון צפון, הבחין השוטר מיכאל אדרי (להלן: ""מיכאל"") בנאשם עומד מאחורי ארונות השקיה הצמודים לנתיבי הנסיעה. בהגיעו לנאשם, הבחין מיכאל כי הנאשם מחזיק בנשק מסוג רובה תת מקלע מאולתר ומחסנית המכילה 10 קליעים בקוטר 9 מ""מ. במעשיו האמורים החזיק הנאשם בנשק ובאבזר תחמושת ללא רשות על פי דין להחזיקם. לא הייתה הסכמה לעניין העונש וכל צד היה חופשי בטיעוניו.",רקע,עובדות המקרה
SH-16-11-7544-55,"בטיעוניה הכתובים לעונש, הפנתה המאשימה לערכים המוגנים שבהם פגע הנאשם במעשיו ובכללם הגנה על שלום הציבור ובטחונו. זו עמדה על החומרה הרבה הגלומה בשימוש בנשק, בין אם באופן זדוני, ובין אם ברשלנות לרבות התגלגלותו של הנשק לידיים עברייניות או עוינות, בהיבט הפלילי או ביטחוני.",טיעוני הצדדים:,טיעוני הצדדים
SH-16-11-7544-55,"לשיטתה, מידת הפגיעה בערכים המוגנים הינה גבוהה, וזאת בשים לב לסוג הנשק, היינו תת מקלע מאולתר (בשונה אקדח), ולהמצאה של מחסנית המכילה 10 קליעים תואמים- נתון שיש בו כדי להחמיר עם הנאשם. לאור האמור ובשים לב להנחיות החדשות של פרקליט המדינה, לפסיקה הנוהגת, ולאור נפוצות העבירה, זו עתרה למתחם עונש הולם הנע בין 2.5 ועד ל-4.5 שנות מאסר בפועל, לצד ענישה נלווית. בגדרו של המתחם ביקשה לתת את הדעת לעברו הפלילי של הנאשם המונה 3 הרשעות קודמות בעבירות אלימות ונשק, ולכך שעונשי מאסר שריצה לא הרתיעו אותו מלשוב ולבצע עבירות דומות. אליבא דידה המדובר בנאשם רצידיוויסט ומסוכן לציבור, ועל כן יש להטיל עליו ענישה משמעותית ומרתיעה. עוד יש ליתן משקל נכבד לאינטרס שבהרתעת הרבים נוכח נפוצות העברות אשר הפכו ל""מכת אזור"", ולצורך במיגורן.",טיעוני הצדדים:,טיעוני הצדדים
SH-16-11-7544-55,"ב""כ הנאשם, מנגד, ציין בפתח דבריו ביקש להזכיר כי הנחיות פרקליט המדינה כשמן כן הן ואינן מחייבות את ביהמ""ש. לגופם של דברים בבחינת הנסיבות הקשורות בביצוע העבירה, נטען כי הנאשם נפל קרבן למעשיהם של אחרים אשר סיפרו לו כי במקום ביצוע העבירה יש נחושת שניתן לקחתה, ובהתאם לדיווח זה הגיע למקום ומצא שקית. כשפתח אותה שקית, גילה כי מדובר בנשק מאולתר ונתפס על ידי השוטרים. לדברי ההגנה המדובר בנשק פרימיטיבי שלא נמצא בשימוש, וקל להשגה.",טיעוני הצדדים:,טיעוני הצדדים
SH-16-11-7544-55,"אשר למאפייניו של הנאשם כי מדובר בנאשם צעיר (28), הנשוי ואב לשני פעוטות בני 1.5 ו5 חודשים. הנאשם ומשפחתו חיים בתנאים סוציואקונומיים נמוכים ומתגוררים באוהל, ללא חיבור לחשמל ולמים, יחד עם אשתו, אמו ושתי אחיותיו. אביו  של הנאשם נפטר בסמוך לפני מעצרו וזה נותר הגבר היחיד בבית שנטל פרנסת יושבי ביתו מוטל על כתפיו. עוד ולקולא התבקש לתת את הדעת לתקופת מעצרו העומדת על כ-5 חודשים כאשר ידוע כי הוא תנאי מעצר קשים יותר מאשר תנאי המאסר. לכך יש להוסיף את הודאתו של הנאשם ולקיחת האחריות באופן שיש בו כדי להביא לקביעת עונש  כאורך תקופת מעצרו. כל צד הגיש פסיקה התומכת בעמדתו העונשית. הנאשם בדבריו לעונש הביע צער וביקש את רחמיו של ביהמ""ש ותשומת ליבו למצבו המשפחתי והכלכלי.",טיעוני הצדדים:,ראיות לעונש
SH-16-11-7544-55,"הערך החברתי המוגן העומד בבסיס עבירת החזקת נשק  הינו בראש ובראשונה הגנה על שלום הציבור וביטחונו. עבירה זו טומנת בחובה סיכון רב  לפיו הנשק הבלתי חוקי יתגלגל לידיים עוינות העוסקות בפעילות פלילית או ביטחונית ויגרום לנזק רב עד כדי קיפוח חיי אדם. נוכח האמור ובאופן עקיף יש במעשיו של הנאשם גם כדי לפגוע בשלטון החוק. חיזוק לכך ניתן גם ללמוד מעצם מיקום העבירה בחוק העונשין בפרק ח' תחת הכותרת  ""פגיעה בסדרי המשטר והחברה"".",דיון והכרעה:,דיון והכרעה
SH-16-11-7544-55,"על החומרה שיש לנקוט בעבירות של החזקת נשק ראו ע""פ 1332/04 מ""י נ' יצחק רפאל פס ואח' 9/04/2004):",דיון והכרעה:,דיון והכרעה
SH-16-11-7544-55,"ברע""פ  2718/04 פואד אבו דאחל נגד מדינת ישראל, (29/03/2004) צוין כי עבירה של החזקת נשק מצדיקה עונש מאחורי סורג ובריח וזאת גם במקרים שהנאשמים נטולי עבר פלילי:",דיון והכרעה:,דיון והכרעה
SH-16-11-7544-55,"אך בעת האחרונה ציין ביהמ""ש העליון בע""פ 1397/16 מ""י נ' אחמד חמאיל (12.9.16) כי:",דיון והכרעה:,דיון והכרעה
