verdict,text,part
SH-24-05-65090-664-3,"הנאשם הורשע, לאחר שמיעת הוכחות, בעבירות של החזקת נשק, תחמושת ואבזרי נשק. על פי עובדות הכרעת הדין, ביום 6.5.24 החזיק הנאשם בבית מגורים שבבעלותו, הנמצא בעיר חברון (להלן: הבית), כלי נשק ואבזרי נשק שונים, ללא היתר כדין:",רקע
SH-24-05-65090-664-3,"שלושה רימוני יד, המשמשים לאימון הטלת רימון רסס.",רקע
SH-24-05-65090-664-3,28 מחסניות לאקדח גלוק ועשרות כדורים.,רקע
SH-24-05-65090-664-3,שני נרתיקים לאקדח ונרתיק אחד למחסניות.,רקע
SH-24-05-65090-664-3,"להשלמת התמונה אוסיף, כי יוחס לנאשם אישום נוסף, ממנו זוכה.",רקע
SH-24-05-65090-664-3,"ב""כ המאשימה הפנה לחומרת העבירות בהן הורשע הנאשם, פגיעתן בערכים מוגנים, פוטנציאל הנזק שבהן והצורך להרתיע מפני ביצוען. לאור אלה טען, כי מתחם העונש ההולם הוא מאסר שבין שלוש שנים לשש שנים. לאור נסיבות הענין, ובהן הרשעותיו הקודמות של הנאשם והעדר קבלת אחריות, ביקש ב""כ המאשימה להשית על הנאשם עונש בצידו הגבוה של המתחם.",טענות הצדדים
SH-24-05-65090-664-3,"ב""כ הנאשם ביקש לנהוג בנאשם מידת הרחמים וטען, כי עמדתה של המאשימה מחמירה עם הנאשם יתר על המידה. בטיעונו הפנה לכך שהנאשם נשוי ואב לשני ילדים, שאחד מהם למרבה הצער נכה, והגיש מסמכים לעניין זה. עוד טען, כי אין לזקוף לחובת הנאשם את עמידתו על חפותו. בנוסף טען, כי מעשיו של הנאשם לא הסבו כל נזק וכי יש לאזן את עונשו עם שיקולי השיקום.",טענות הצדדים
SH-24-05-65090-664-3,הנאשם לא ביקש לומר דבר.,טענות הצדדים
SH-24-05-65090-664-3,"ב""כ שני הצדדים הגישו פסיקה לתמיכה בעמדותיהם. עם זאת אציין, כי חלק מהפסיקה שהוגש הוא מהעת שקדמה לתיקון 140 לחוק העונשין (אליו אתייחס בהמשך) ועל כן משקלה מועט.",טענות הצדדים
SH-24-05-65090-664-3,"הנאשם החזיק בביתו אקדח מסוג גלוק, תחמושת רבה ו-28 מחסניות תואמות לאקדח, מחסנית לרובה 16M, וכן שלושה רימוני אימונים, אשר גם אם אינם קטלניים, יכולים לגרום נזק.",מתחם העונש ההולם
SH-24-05-65090-664-3,"עבירה זו מקימה פוטנציאל ממשי לפגיעה בערך המוגן החשוב מכל, שמירה על חיי אדם, שהרי החזקת נשק שלא כדין מקפלת בתוכה סיכון ממשי כי יעשה בו שימוש לביצוע עבירות פליליות, ובכך יביא לקיפוח נפש – וכמעט מדי יום אנו מקבלים לכך המחשה חיה, בין אם במסגרת אירוע בטחוני בין אם במסגרת אירוע פלילי.",מתחם העונש ההולם
SH-24-05-65090-664-3,"באופן עקיף, המעשה גם מהווה קריאת תיגר על שלטון החוק, שהרי המדינה היא הריבון והיא שרשאית לקבוע מי ישא נשק ולאיזו מטרה - כעולה ממיקום העבירה בפרק ח' לחוק העונשין, הדן בעבירות שעניינן  ""פגיעה בסדרי המשטר והחברה"".",מתחם העונש ההולם
SH-24-05-65090-664-3,"בית המשפט העליון עמד בשורה ארוכה של פסקי דין על חומרתן הרבה של עבירות הנשק והסכנה הטמונה בהן ועל הצורך להחמיר עם מבצעיהן. כמו כן, לאור ריבוי מקרים בהם שימוש בנשק לא חוקי הביא לאבדן חיי אדם, ישנה בשנים האחרונות מגמת החמרה ניכרת בענישה בעבירות אלו, המתבטאת גם בתיקון 140 לחוק העונשין אשר קבע בצד עבירות נשק עונש מזערי, אליו אתייחס בהמשך.",מתחם העונש ההולם
SH-24-05-65090-664-3,"ר' למשל ע""פ 309/22, ביאדסה (פסקאות 6-7 לפסק הדין):",מתחם העונש ההולם
SH-24-05-65090-664-3,"בשורה ארוכה של פסקי דין עמד בית משפט זה על החומרה הרבה הגלומה בעבירות הנשק. ביסוד עבירות אלו עומדת פגיעה בחיי האדם ובשלמות גופו, כמו גם בביטחון הציבור ובסדר הציבורי בכללותו (ע""פ 1695/22 מדינת ישראל נ' גנאים, פסקה 11 [פורסם בנבו] (29.3.2022) (להלן: עניין גנאים); ע""פ 5522/20 חלייחל נ' מדינת ישראל, פסקה 7 [פורסם בנבו] (24.2.2021) (להלן: עניין חלייחל); ע""פ 4406/19 סובח נ' מדינת ישראל, פסקה 17 [פורסם בנבו] (5.11.2019) (להלן: עניין סובח)). עבירות אלו חמורות במיוחד, בין היתר משום שהן עשויות לשמש בסיס לביצוע פעילות עבריינית או פעילות טרור (ע""פ 8017/20 מדינת ישראל נ' גריפאת, פסקה 6 [פורסם בנבו] (22.12.2020); ע""פ 135/17 מדינת ישראל נ' בסל, פסקה 10 [פורסם בנבו] (8.3.2017)). אך באחרונה עמד בית משפט זה על כך שעבירות אלו הן בבחינת ""מכת מדינה"" ועל הצורך בהחמרת הענישה בעניינן:",מתחם העונש ההולם
SH-24-05-65090-664-3,"""החזקת נשק שלא כדין מאיימת על שלום הציבור ובטחונו [...]. לנוכח היקפן המתרחב של עבירות המבוצעות בנשק, הזמינות הבלתי נסבלת של נשק בידי מי שאינו מורשה לכך, מהווה כאמור סיכון של ממש ומגבירה את הסיכון לביצוע עבירות חמורות נוספות [...] כמו גם לאסונות נוראיים. יעידו על כך ריבוי המקרים במגזר הערבי בעת האחרונה, כאשר אזרחים תמימים – כמו ילד רך בשנים ועלמה צעירה – נפגעים ואף מוצאים את מותם בביתם-מבצרם או בגן השעשועים, כל זאת כתוצאה משימוש בנשק של אחרים. מציאות קשה זו מחייבת לנקוט ביד מחמירה כלפי מעורבים בעבירות נשק, אף אם הם נעדרי עבר פלילי [...]. ענייננו ב'מכת מדינה' שהצורך להילחם בה על מנת להגן על הציבור, מצריך מענה הולם והטלת עונשי מאסר משמעותיים [...]. ידע כל מי שמחזיק בנשק בלתי חוקי כי צפוי הוא להיענש בחומרה, בבחינת 'אם מחזיקים – למאסר נשלחים'"" (עניין קדורה, פסקה 6).",מתחם העונש ההולם
SH-24-05-65090-664-3,"בהקשר זה אוסיף כי בחודש דצמבר 2021 קבע המחוקק עונשי מינימום בעבירות נשק, כך שהעונש שיושת בגין עבירות אלו יתחיל מרבע העונש המרבי שנקבע לעבירה, אלא אם החליט בית המשפט מטעמים מיוחדים שיירשמו להקל בעונש (סעיף 144(ז) לחוק העונשין; חוק העונשין (תיקון מס' 140 – הוראת שעה), התשפ""ב-2021; עניין קדורה, פסקה 6; ע""פ 4456/21 מדינת ישראל נ' אבו עבסה, פסקה 15 [פורסם בנבו] (23.1.2022)). הגם שתיקון זה אינו חל בעניינו של המשיב – שהמעשים שבהם הורשע בוצעו עובר לחקיקתו – הוא משקף את רצון המחוקק בהחמרת הענישה בעבירות נשק.",מתחם העונש ההולם
SH-24-05-65090-664-3,"ר' גם ע""פ 147/21, מדינת ישראל נ' ביטון, שם הוכפל ענשו של נאשם שרכש אקדח ולבנת חבלה, משנה וחצי לשלוש שנים, ונפסק:",מתחם העונש ההולם
