verdict,text,part,mapped_category
ME-18-09-809-412,"אורן גזל-אייל, ""חריגה ממתחם העונש ההולם"", ספר דורית ביניש,  (אונ' בר אילן, נבו, 2018) 539",nothing,מידע אחר
ME-18-09-809-412,"יניב ואקי, יורם רבין, ""הבניית שיקול הדעת השיפוטי בענישה: תמונת מצב והרהורים על העתיד לבוא"", הפרקליט, נב (תשע""ד) 413",nothing,מידע אחר
ME-18-09-809-412,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 10",nothing,מידע אחר
ME-18-09-809-412,"חוק העונשין, תשל""ז-1977: סע'  40(ט), 40ג(א), 40ד, 40ו, 40ז, 40ט, 45(ב), 40יא, 40יא(2), 40יג(א)",nothing,מידע אחר
ME-18-09-809-412,"ביום 16.4.2019 הורשע הנאשם, על יסוד הודאתו בכתב אישום מתוקן, במסגרת הסדר דיוני בתום הליך גישור (לפני כב' השופט בני שגיא), בביצוע עבירות של החזקת סם שלא לצריכה עצמית, לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: ""פקודת הסמים המסוכנים""); והחזקת כלים, לפי סעיף 10 לפקודת הסמים המסוכנים.",האישום וההרשעה,עובדות המקרה
ME-18-09-809-412,"בכתב האישום המתוקן נכתב כי ביום 16.8.2018 בשעה 9:15 בקירוב, החזיק הנאשם בביתו שברחוב המרגנית 16 חולון, סם מסוכן מסוג קוקאין, במשקל כולל של 55 גרם נטו, כשהוא מחולק ל-38 מנות; משקל אלקטרוני; וכסף מזומן בסך כולל של 4,250 ₪. במעשיו אלה, החזיק הנאשם בסם מסוכן מסוג קוקאין שלא לצריכה עצמית ובכלים ללא רשות על פי דין.",האישום וההרשעה,עובדות המקרה
ME-18-09-809-412,"ב""כ המאשימה, עו""ד חגי בנימין, עתר למתחם ענישה שבין 36 לבין 60 חודשי מאסר בפועל, וטען כי יש להשית על הנאשם מאסר בפועל לפי החלק העליון של השליש התחתון של במתחם הנטען, מאסר מותנה וענישה כלכלית בדמות קנס שלא יפחת מ- 10,000 ₪. ב""כ המאשימה עמד בטיעוניו על חומרת העבירות בהן הורשע הנאשם, והדגיש כי הסם שנתפס בחזקת הנאשם הוא מהמסוכנים מבין הסמים, בכמות גדולה, אשר הוחזק על ידי הנאשם כשהוא מחולק למנות. ב""כ המאשימה הציג את גיליון הרשעותיו של הנאשם (ת/1), הכולל 2 הרשעות קודמות בעבירות ניסיון לתקיפת אדם לשם שוד ועבירה של שוד מזוין באלימות, בגינן הושת עליו, בין היתר, 20 חודשי מאסר בפועל. בנוסף, הורשע הנאשם בעבירה של  החזקת עובד זר, בגינה הושת עליו עונש של עבודות של""צ, אותו סיים לבצע אך בעת האחרונה, במהלך ניהול תיק זה. נטען כי לאור עברו של הנאשם וחרף ההזדמנות שניתנה לנאשם על ידי בית המשפט לשקם את אורחות חייו, הוא לא השכיל לחזור למוטב, ובחר להמשיך לעסוק בפלילים. ב""כ המאשימה התייחס לתסקיר שירות המבחן וטען כי המלצתו להטלת של""צ בלבד הינה תלושה ולא תואמת את נסיבות המקרה ונסיבותיו של הנאשם. נטען כי הרקע לביצוע העבירות אינו התמכרות הנאשם לסמים, אלא מניעים כלכליים לאור חובותיו הכבדים של הנאשם וכפי העולה מאופן החזקת הסם. בהקשר זה, ציטט התובע מהודעתו של הנאשם במסגרת החקירה, שם מסר כך: ""נקלעתי לחובות מאד כבדים בשוק האפור ואני לא מצליח לעמוד, מדובר במאות אלפים ולא בעשרות אלפים ואני על בסיס קבוע מאוים..."". לאור האמור, צוין כי טיבו וטבעו של הטיפול שעבר הנאשם בשירות המבחן אינו מצדיק סטייה ממתחם הענישה ההולם. ב""כ המאשימה הפנה לפסיקת בית המשפט העליון הדנה באיזון והיחס שבין מידת הסטייה מהמתחם לבין נימוקים והוכחות כבדי משקל שיש להידרש אליהם, כך שככל שהסטייה גדולה יותר על בית המשפט להידרש להוכחות טובות יותר ובשיקום קונקרטי יותר. לעניין זה, נטען כי במקרה דנא לא ניתן לומר שהנאשם עבר שיקום קונקרטי שמצדיק סטייה מהמתחם. ב""כ המאשימה ציין לטובת הנאשם כי הוא הודה במיוחס לו, חסך בזמן שיפוטי, קיבל אחריות על מעשיו, והשתתף במסגרות טיפוליות בפיקוח שירות המבחן. הוצגה פסיקה רלוונטית.",ראיות וטיעוני הצדדים לעונש,טיעוני הצדדים
ME-18-09-809-412,"ב""כ הנאשם, עו""ד אסף דוק, עתר לאפשר לנאשם להמשיך במסגרות שיקומיות ולאמץ את המלצת שירות המבחן ולהסתפק בצווי של""צ ומבחן; לחלופין התבקש להטיל מאסר בדרך של עבודות שירות. צוין כי הנאשם צעיר, אב טרי לשני ילדים קטינים, בעל עסק שנכשל ובעקבות כך הפסיד מאות אלפי שקלים. נטען כי אין לנאשם עבר פלילי רלוונטי בתחום הסמים, ושתי הרשעותיו הקודמות היו מהתקופה לפני שרקם את חייו, בגינן לקח אחריות ואף השלים את עבודות השל""צ אשר הוטלו עליו בגין הרשעתו האחרונה משנת 2017. נטען כי הנאשם החזיק בסמים באירוע בודד, שהתרחש לפני למעלה משנה. נטען כי הנאשם שיתף פעולה מהרגע הראשון שנכנסו השוטרים לביתו, והראה להם היכן מוחבאים הסמים. צוין כי הנאשם קיבל אחריות מלאה על מעשיו ונרתם להליך הטיפולי. ב""כ הנאשם הפנה לתסקיר שירות המבחן וציין כי הנאשם סיים בהצלחה סדנת ""חוק ומשפט"", השתלב בשוק העבודה, פיתח יכולת ביקורתית על מעשיו, לקח אחריות, שיקם את אורחות חייו ומתפקד כאיש משפחה. נטען כי השתת מאסר בפועל במקרה דנא יפגע באינטרס הכללי והציבורי של החברה, מעבר לפגיעה בנאשם עצמו, שכן הנאשם שיקם את חייו ולא שייך לחברה עבריינית. נטען כי הנאשם מתחרט על מעשיו, קיבל אחריות מלאה ומבקש את התחשבות בית המשפט לתן לו אופק. ב""כ הנאשם הפנה לדו""ח דורנר מיום 7.6.2018 שם נקבע, בין היתר, כי במקום בו שיקולי הלימה לא מחייבים מאסר וניתן לשלב את הנאשם בהליך שיקומי ממשי שמותאם לצרכיו מחוץ לכותלי הכלא, הרי שיש להעדיף את ההליך השיקומי על פני מאסר. הוצגה פסיקה רלוונטית.",ראיות וטיעוני הצדדים לעונש,טיעוני הצדדים
ME-18-09-809-412,"ההגנה זימנה לעדות את מר עדי גולן, אשר שימש כאחראי על הנאשם במרכז ספורט בראשון לציון, שם השלים לאחרונה עבודות של""צ בעקבות הרשעתו הקודמת. העד מסר כי התרשם מהנאשם כמי שהינו אדם מסור, אחראי, דייקן, חברותי וביצע עבודתו בצורה מיטבית. עדי סיפר כי נקשר מאוד לנאשם ושמר עמו על קשר גם לאחר שעות העבודה.",ראיות וטיעוני הצדדים לעונש,טיעוני הצדדים
ME-18-09-809-412,"עדות נוספת נשמעה מפי גב' לינור פיצ'חזדה, רעייתו של הנאשם מזה 9 שנים, ולהם שני ילדים משותפים. לינור סיפרה כי השנה האחרונה הייתה קשה למשפחתם, והנאשם עבר תהליך שבסופו הפך ל""אדם אחר לגמרי"". לינור ציינה כי קודם לכן הנאשם היה מנותק ולא עזר בגידול ילדיהם, אך לדבריה הוא  עבר שינוי דרסטי בגישתו וביחסו כלפיה וכלפי הילדים, וכיום הוא אב עוזר ובעל אכפתי. לינור הבעיה תחושת גאווה נוכח התמדתו של הנאשם בהליך השיקומי, האינטנסיבי והקשה שעבר  בצורה יפה. עוד ציינה לינור כי במשך תקופה ארוכה היא ליוותה את הנאשם לשיעורים ולקבוצות בהם השתתף וחזתה בשינוי שעבר. לינור מסרה כי היא סומכת על הנאשם ובטוחה בהצלחתו. לינור העידה כי הנאשם נקי מסמים, והדבר ניכר גם מבחינת התנהלותו בבית. לינור מסרה כי הסמים שהחזיק הנאשם היו לשימושו עצמי מפני שהיה מכור לסמים.",ראיות וטיעוני הצדדים לעונש,טיעוני הצדדים
