verdict,text,part,label
ME-09-1010-582,"חוק העונשין, תשל""ז-1977: סע'  40, 40ב, 40ג(א), 40ד, 40ה, 40ט, 143(ב), 144(ב), 305(1), 499(א)(1)","תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(א)",מידע אחר
ME-09-1010-582,"הנאשם הורשע, על פי הודאתו, במסגרת הסדר טיעון, בעבירות, כנגד ביטחון המדינה, כפי המפורט בכתב אישום מתוקן שהוגש נגדו.",רקע,עובדות המקרה
ME-09-1010-582,"הסדר הטיעון נעשה לאחר שמיעת ראיות המאשימה וטרם תחילת פרשת ההגנה, ואינו כולל הסכמה במישור העונשי, ולעניין זה טענו הצדדים בפנינו.",רקע,עובדות המקרה
ME-09-1010-582,"על פי עובדות האישום הראשון, בכתב האישום המתוקן, שבו הודה הנאשם, התגייס הנאשם, במהלך שנת 2007 לזרוע הצבאית של ארגון החמאס, שכינויו ""גדודי עז א-דין אלקסאם"" (להלן:""הגדודים"") ובמסגרת זו השתתף עם חברי החוליה שלו בשמירות ליליות חמושות כנגד כניסת כוחות צה""ל (""ריבאט""). השמירה נעשתה בפרדס הסמוך לתחנת גז ברצועת עזה והנאשם וחברי החוליה היו חמושים במטול RPG, רוסר קלצ'ניקוב, שתי מחסניות ורימון יד. הנאשם השתתף בשמירות אלה עד תאריך 7.12.08. מאחר שהגדודים הנ""ל הוכרזו כהתאחדות בלתי מותרת, וארגון החמאס הוכרז כארגון טרוריסטי, ולפי שהשמירות החמושות של חברי החוליה נועדו לגרום למותם של חיילי צה""ל, ככל שיגיעו לאזור, הורשע הנאשם באישום זה בעבירות של פעילות בהתאחדות בלתי מותרת, לפי סעיף 85(1)(א) לתקנות ההגנה (שעת חירום) 1945, בקשירת קשר לפשע (רצח) לפי סעיף 499(א)(1) לחוק העונשין תשל""ז – 1977 ובעבירות נשק (הובלת נשק) לפי סעיף 144(ב) לחוק העונשין.",רקע,עובדות המקרה
ME-09-1010-582,"על פי עובדות האישום השני בכתב אישום המתוקן, בסמוך לסוף שנת 2008, הצטרף הנאשם לפלוגה אחרת של הגדודים והשתתף באימון צבאי של 6 ימים למטרת הכשרתו בשיריון, ובמסגרת זו הוכשר בירי טילי יאסין ופצצות RPG .",רקע,עובדות המקרה
ME-09-1010-582,"משהודה הנאשם בעובדות אלה, הוא הורשע בפעילות בהתאחדות בלתי מותרת, עבירה לפי סעיף 85(1)(א) לתקנות, וכן באימונים צבאיים אסורים, לפי סעיף 143(ב) לחוק העונשין.",רקע,עובדות המקרה
ME-09-1010-582,"על פי עובדות האישום השלישי בכתב אישום המתוקן, לאחר האימון הצבאי שתואר לעיל, ביצעו הנאשם וחברי חולייתו פעילות לילית נוספת, באורח סדיר, של שמירה חמושה -""ריבאט"" - במוצב מודיעין של הרשות הפלשתינאית, כאשר הנאשם וחבריו נושאים על גופם אפודים וחמושים כל אחד ברוס""ר קלצ'ניקוב  ורימון יד. הנאשם נשא עימו גם טיל יאסין והיה מופקד על תפעולו בשעת הצורך. הכוונה היתה לפגוע בחיילי צה""ל אם יגיעו לאזור, ולגרום למותם.",רקע,עובדות המקרה
ME-09-1010-582,"בשל כך הורשע הנאשם בעבירות של פעילות בהתאחדות בלתי מותרת, לפי סעיף 85(1)(א) לתקנות ובקשירת קשר לפשע (רצח) לפי סעיף 499(א)(1) לחוק העונשין, ובעבירות נשק (הובלת נשק) לפי סעיף 144(ב) לחוק.",רקע,עובדות המקרה
ME-09-1010-582,"על פי עובדות האישום הרביעי בכתב האישום המתוקן, במהלך חודש אוקטובר 2008, הנאשם יצא, יחד עם שני פעילים נוספים בגדודים, כדי להטמין מטען חבלה נגד טנקים באזור כיכר מסויימת ברצועת עזה. חבריו של הנאשם הניחו את המטען מתחת לאספלט בכיכר, כדי להפעילו כנגד טנקים של צה""ל לכשיגיעו למקום. תפקידו של הנאשם היה לאבטח את שני חבריו בעת הנחת המטען. לאחר שכוחות צה""ל נכנסו לאזור, סיפר אחד מחברי החוליה לנאשם כי המטען אכן הופעל והתפוצץ על טנק של צה""ל.",רקע,עובדות המקרה
ME-09-1010-582,בשל כך הורשע הנאשם בעבירות של ניסיון לרצח לפי סעיף 305(1) לחוק העונשין ובעבירות נשק (הובלת נשק) לפי סעיף 144(ב) לחוק.,רקע,עובדות המקרה
