part_number,verdict,text,part,predicted_category
1,SH-11-12-35552-181,"חוק העונשין, תשל""ז-1977: סע'  144(א)",nothing,מידע אחר
2,SH-11-12-35552-181,"הנאשם הורשע על פי הודאתו בעבירות בנשק, עבירה לפי סעיף 144(א) רישא לחוק העונשין, התשל""ז-1977, בנסיבות בהן ביום 14/12/11 החזיק הנאשם בביתו בעיר לוד, בארון הבגדים בחדר השינה אקדח כשהוא עטוף בגרב.",רקע,עובדות המקרה
3,SH-11-12-35552-181,במסגרת הסדר הטיעון הורשע הנאשם ונשלח לשירות המבחן לצורך קבלת תסקיר בעניינו וחוות דעת הממונה על עבודות שירות.,רקע,עובדות המקרה
4,SH-11-12-35552-181,"בתוך כך הצהירה המאשימה כי עמדתה למאסר בפועל, מאסר על תנאי וקנס.",רקע,טיעוני הצדדים
5,SH-11-12-35552-181,"התסקיר בעניינו של הנאשם (מיום 19/3/13) נושא המלצה לענישה בדמות של""צ בהיקף 300 שעות והמנעות מהשתת מאסר אף לא בעבודות שירות.",רקע,תסקיר שירות מבחן
6,SH-11-12-35552-181,"מן התסקיר עולה כי מדובר בנאשם כבן 34 נשוי ואב לשלושה ילדים בגילאים 4-6, תושב העיר לוד.",רקע,תסקיר שירות מבחן
7,SH-11-12-35552-181,הוריו נפטרו בגיל צעיר יחסית ובעקבות מותם גר במקומות שונים כמתואר בתסקיר. הנאשם תאר קשיי הסתגלות וחוסר יציבות שאפיינה את ילדותו לצד חסכים כלכליים ורגשיים בהעדר דמויות הוריות מכוונות.,רקע,תסקיר שירות מבחן
8,SH-11-12-35552-181,הנאשם סיים 12 שנות לימוד ללא תעודת בגרות לדבריו לא ניגש לבחינות שכן משפחתו התקשתה לשאת בתשלום אגרת הבחינות. ממועד סיום לימודיו עבד בעבודות שונות. טרם מעצרו בתיק הנוכחי עבד כנהג חלוקה במאפייה.,רקע,תסקיר שירות מבחן
9,SH-11-12-35552-181,הנאשם שיתף כי ההרחקה מאשתו וילדיו קשה וציין כי נמצא במעצר בית מלא בבית גיסו ברמלה.,רקע,תסקיר שירות מבחן
10,SH-11-12-35552-181,שירות המבחן מציין כי במסגרת אבחון המעצר התרשמו מאדם בעל משתני אישיות נגררת וחלשה הנתון להשפעה שולית של סביבתו עליו על כן לא המליץ שירות המבחן על השתלבותו במסגרת עבודה.,רקע,תסקיר שירות מבחן
11,SH-11-12-35552-181,"בהתייחסו לעבירה- התרשם שירות המבחן כי הנאשם מודע לחומרת מעשיו ונוטל אחריות מלאה על התנהגותו, תאר כי נהג בפזיזות וללא שיקול דעת בעת שרכש את הנשק כשלא היה מודע לחומרת מעשיו. הנאשם ציין כי מדובר בארוע חריג לאופן בו מנהל את חייו ושלל בפני השירות סכסוך כלשהו במשפחתו וצורך אלימות לפתרון סכסוכים.",רקע,תסקיר שירות מבחן
12,SH-11-12-35552-181,"שירות המבחן מציין כי בבחינת גורמי הסיכון לביצוע עבירות נוספות התרשמו כי מדובר באדם בעל תפיסת עולם נורמטיבית שפעל ללא שיקול דעת ומתקשה לעיתים בויסות דחפיו לרבות הצבת גבול חיצוני, לצד התנהלות תקינה בדרך כלל ללא תיקים נוספים ממועד ביצוע העבירה, התמודדות במסגרת הלימודים, עבודה מסודרת, הקמת משפחה, נטילת אחריות והבעת חרטה.",רקע,תסקיר שירות מבחן
13,SH-11-12-35552-181,"סיכומו של דבר ששירות המבחן מציין כי לאור המצוקה הכלכלית שמשפחתו חווה ממועד מעצרו בתיק זה ועל מנת שלא לפגוע בהמשך העסקתו המהווה גורם מפחית סיכון ממליץ שירות המבחן להמנע מהטלת מאסר בפועל אף לא לריצוי בעבודות שירות לצד המלצה לשקול חלופת ענישה במסדרת של""צ בהיקף נרחב של 300 שעות.",רקע,תסקיר שירות מבחן
14,SH-11-12-35552-181,בנוסף בעניינו של הנאשם התקבלה חוות דעת ממונה חיובית.,רקע,תסקיר שירות מבחן
15,SH-11-12-35552-181,המאשימה עותרת לענישה בת 15 חודשי מאסר בפועל לצד מאסר על תנאי צופה פני עתיד וקנס.,עתירת הצדדים:,טיעוני הצדדים
16,SH-11-12-35552-181,"ההגנה מבקשת להעתר להמלצת שירות המבחן לענישה בדמות של""צ ולהימנע ממאסר בפועל ולכל היותר להטיל על הנאשם מאסר אשר ירוצה בעבודות שירות.",עתירת הצדדים:,טיעוני הצדדים
17,SH-11-12-35552-181,הנאשם הורשע בעבירה של החזקת נשק ללא רשות.,דיון:,דיון והכרעה
18,SH-11-12-35552-181,"המאשימה מדגישה כי הנאשם לא סיפק הסבר המניח את הדעת לשאלה מדוע רכש את האקדח בסך 10,000 ₪ בה בעת שמציין כי מצבו הכלכלי קשה. עוד ציינה המאשימה כי יתכן שהנסיבות מלמדות כי מדובר במי שהחביא את הנשק עבור אחר, בהקשר זה מדגישה ההגנה כי הנשק נתפס בחדר השינה ואין אחיזה במציאות לטענת המאשימה. כך או אחרת הנאשם כאמור רכש אקדח ולצורך העניין נערך מבחינה כספית בסכום לא מבוטל. אין מדובר במי שראה ברחוב אקדח, התפתה והביאו לביתו – כלומר אין מדובר בחולשת הרגע. לכאורה יכול היה הנאשם לחזור בו מהכוונה כלומר מדובר בעבירה שבוצעה תוך תכנון והערכות מראש.",דיון:,דיון והכרעה
19,SH-11-12-35552-181,לנאשם היה זמן די והותר להתעשת ועובדה היא שמצא לנכון להטמין את האקדח בארון בגדים בחדר שינה כשהוא עטוף בגרב.,דיון:,דיון והכרעה
20,SH-11-12-35552-181,"הערך החברתי המוגן בעבירה זו הינו בטחון הציבור. בהקשר זה יש לקחת בחשבון את הסכנה כי הנשק עלול להגיע לידיים עויינות ותוצאת השימוש בו הרת אסון לעיתים, יש בעבירה משום סיכון ממשי ופוטנציאל להסלמה עבריינית. בתוך כך קבע המחוקק לצידה של עבירה זו עונש של 7 שנות מאסר.",דיון:,דיון והכרעה
21,SH-11-12-35552-181,המאשימה מציינת כי מדיניות הענישה הנהוגה בעבירה זו עומדת על מאסר בפועל.,דיון:,דיון והכרעה
22,SH-11-12-35552-181,בהקשר זה מדגישה כי המלצת שירות המבחן בפרט כשמדובר בנאשם בעל עבר פלילי חורגת ממתחם הענישה ובתוך כך מפנה לפסיקה הבאה ממנה עולה כי מתחם הענישה נע בין 12- 24 חודשי מאסר בפועל:,דיון:,דיון והכרעה
23,SH-11-12-35552-181,"ע""פ 761/07 מ""י נ' אדרי (בית המשפט העליון, מיום 22/2/07) ופ 8171/06  מ""י נ' אדרי (בית משפט מחוזי, מיום 10/12/06) – ערעור המדינה על קולת העונש בעניינו של נאשם שהורשע בעבירת נשק והפרעה לשוטר, בנסיבות בהן בעת שנהג ברכב החזיק באקדח, מחסנית ותחמושת עטופים בגרב ומוסתרים בתחתוניו ובנוסף הציג תעודת זהות של אחר. בית המשפט המחוזי השית עליו 12 חודשים בפועל ו-12 חודשים על תנאי. בית המשפט העליון החמיר בענישתו של הנאשם והעמידה על שנתיים בפועל לצד רכיבי ענישה נוספים.",דיון:,דיון והכרעה
