verdict,text,part
ME-19-02-70401-748,"ב""כ המאשימה: עו""ד איריס פיקר",nothing
ME-19-02-70401-748,"ב""כ הנאשם: עו""ד גיא מימון",nothing
ME-19-02-70401-748,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6",nothing
ME-19-02-70401-748,"חוק העונשין, תשל""ז-1977: סע'  40ד', 40ד(א), 384א(א)(1), 40 יג'",nothing
ME-19-02-70401-748,הנאשם הורשע בהתאם להודאתו בעובדות כתב האישום המתוקן בעבירות כדלקמן:,רקע
ME-19-02-70401-748,"ייצור, הכנה והפקת סם, לפי סעיף 6 לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973.",רקע
ME-19-02-70401-748,"גניבה בנסיבות מחמירות, לפי סעיף 384א(א)(1) בחוק העונשין, תשל""ז- 1977",רקע
ME-19-02-70401-748,"על-פי המתואר בעובדות כתב האישום המתוקן, ביום 30.11.18 הנאשם שכר דירה בנתניה. הנאשם הקים בדירה מעבדה לגידול סמים מסוג קנאביס. לשם כך צייד את הדירה בשנאים, מנורות, מאווררים, שעונים, מדי טמפרטורה, מפוחים, פילטרים, מכונה חשמלית לייבוש סם וחומרי דישון. לשם הפעלת המעבדה הנאשם ביצע שינויים במערכת החשמל, ובמסגרת זו ביצע מעקף בחשמל בדירה כך שלא יחויב כנדרש. החל מאותו מועד ועד ליום 19.2.19 הנאשם גידל במעבדה סמים מסוג קנאביס ובדירה נתפסו 94 שתילים של הסם וכמות גדולה של תפזורת הסם במשקל כולל של 80.1 ק""ג נטו. במהלך התקופה הנאשם נטל חשמל ללא רשות בשווי של 3,783.70 ₪.",רקע
ME-19-02-70401-748,"הצדדים הגיעו להסדר טיעון, לפיו הנאשם הודה והורשע בכתב האישום המתוקן והופנה לקבלת תסקיר שירות המבחן. המאשימה הגבילה את עתירתה לעונש של 30 חודשי מאסר וכי אם התסקיר יהיה חיובי יעתרו לעונש אחר. ההגנה חופשיה בטיעוניה. הצדדים הסכימו על קנס בסך של 15,000 ₪.",רקע
ME-19-02-70401-748,"על פי תסקירי שירות המבחן, הנאשם בן 24, רווק, עובד כמנהל פרויקט בחברת פינוי-בינוי. אביו נפטר כשהנאשם היה כבן 6 ומותו נחווה כאירוע מכונן עבורו ועבור בני המשפחה. אמו החלה לעבוד שעות רבות והוא שהה עם סבתו בתנאי דוחק. בכיתה ט' עבר לפנימייה, עשה מאמצים לשפר את הישגיו הלימודיים, אך הוחלט להשאירו כיתה. אובחן כסובל מלקויות למידה ובמקביל ללימודיו עבד כדי לסייע בפרנסת המשפחה. למרות קשייו סיים 12 שנות לימוד עם תעודת בגרות חלקית. שירת שירות צבאי מלא. החל מחודש נובמבר 18' עובד בעבודה קבועה עד היום. ממכתב שהתקבל ממעסיקו עלה תפקודו החיובי בעבודה, תוך שמגלה מצוינות ומשמעת. בחברה מודעים להליך הפלילי ואולם החברה החליטה לתת לנאשם הזדמנות לשיקום חייו ולאחרונה אף נשקל קידומו בעבודה. לאחר שירותו הצבאי החל לצרוך סמים מסוג קנאביס ולדבריו מאז מעצרו אינו צורך סמים ובבדיקת שתן שנערכה לו, לא נמצאו שרידי סם. הנאשם נעדר עבר פלילי, וביחסו לעבירה – מקבל אחריות חלקית על מעשיו בעבירה ולדבריו לא גנב חשמל. מסר כי בשל הפסקות חשמל הזמין חשמלאי אשר עשה את השינויים בחשמל. הנאשם לא ידע למסור פרטים על החשמלאי וטען שאינו מכיר אותו. ביחס לעבירת גידול הסם, מסר שהחליט לגדל סמים לשם צריכתו העצמית. שלל כוונה למכור את הסמים שגידל ולדבריו לא ציפה שגידול הסם יניב כמות כה גדולה של סם. ציין שחווה טלטלה בשל מעצרו וההליך המשפטי, תיאר תחושת בושה ממשפחתו וכאב על הצער שגרם להם וחרטה על מעורבותו בעבירה. שירות המבחן התרשם שהבעת החרטה נובעת מהמחירים שמשלם והשלכותיהם על עתידו, ללא תובנה אמיתית לחומרת התנהגותו בעבירה. כן התרשם שירות המבחן שהנאשם אינו כן בדבריו אודות נסיבות גידול הסמים לקשריו שסייעו לו בהקמת המעבדה. הנאשם שולב בקבוצת עצורי בית במסגרת צו פיקוח מעצר בחודש מרץ 19'. הוא החל בקבוצה בשירות המבחן בצפת, שם היה מופנם ושיתף בצורה מצומצמת. בהמשך עבר לקבוצה בשירות המבחן בעיר טבריה, ובה הרגיש יותר בנוח וקיים תקשורת עם המשתתפים. ההתרשמות הייתה שהנאשם נמצא בראשיתו של תהליך וכי אינו מורגל בשיח רגשי הנדרש לשם שינוי דפוסי חשיבה והתנהגות. הנאשם הגיע למפגשים באופן סדיר והוא פעל לשם קבלת מענה טיפולי נוסף והופנה למסגרת היחידה לטיפול בהתמכרויות – חוסן בעיר טבריה, זאת על אף הכחשתו קיומה של בעיית תלות בסמים ובדיקות השתן הנקיות שביצע. הנאשם החל בטיפול במסגרת מרכז חוסן בחודש יולי 19', ומהעו""ס המטפל במסגרת נמסר שהנאשם מגיע לפגישות הפרטניות שנערכות עמו באופן סדיר. ועדת החלטה שהתכנסה 6 חודשים לאחר שהחל את הטיפול הפרטני, התרשמה שלא התרחש תהליך רגשי משמעותי וכי הנאשם עדיין מקובע בדפוסי חשיבתו, בעל צורך חזק בשליטה ומתקשה להפגין חולשה, אלמנטים שהם חיוניים לקיום טיפול משמעותי ועריכת שינוי. למרות התרשמותה זו, החליטה הוועדה להמשיך את הליווי והטיפול במרכז חוסן. העו""ס המטפלת מסרה שהוא מגיע בעקביות לפגישות עמו, משתף פעולה כנדרש, מבצע בדיקות שתן נקיות משרידי סם ומשתף בקורותיו. כן דווח שהנאשם עדיין מתקשה לקיים שיח רגשי, בהתבוננות פנימית ובחינת מצוקותיו ודפוסיו המכשילים. על אף קשייו אלה הומלץ על המשך הטיפול. שירות המבחן התרשם מאדם בעל יכולות וכישורים רבים, שמגלה יציבות תעסוקתית, שעל אף קשייו הצליח לסיים לימודי תיכון ולשרת בצבא וכי קיימת מערכת תמיכה משפחתית משמעותית. כן התרשם שירות המבחן שמותו הפתאומי של אביו וגדילתו לאורך השנים ללא דמות אב, הותירה אותו בתחושות אבדן וחוסר מענה רגשי לצרכיו וייתכן שבצל האירוע הזה פיתח צורך בתפקוד עצמאי וויתר על תמיכה וליווי משפחתו. הנאשם מתקשה להתחבר לעולמו הרגשי, מתקשה בשליטה על דחפיו ונוטה לפעול ללא שיקול דעת. כן התרשם שירות המבחן שהנאשם בעל מוקד שליטה חיצוני, מכיר באופן חלקי במיוחס לו בכתב האישום ונוטה להשליך חלק ממעשיו על גורם חיצוני, והוא אינו משתף בכנות בפרטי העבירה ובוחר שלא לחשוף פרטים בכל הקשור בקשריו השוליים ומערבות של גורמים אחרים בעבירה. גם לאחר תהליך טיפולי ממושך של למעלה משנה, בקבוצה הטיפולית בשירות המבחן ובטיפול הפרטני במרכז חוסן, לא חל שינוי מהותי בעמדותיו, הוא מתקשה בקיום שיח רגשי וממשיך לטשטש את חומרת מצבו, בעל מודעות נמוכה לבעייתיות בדפוסי חשיבה והתנהגות, ומכאן ששירות המבחן לא יכול לשלול סיכון להתנהגות דומה בעתיד. הנאשם הביע רצון ומחויבות להמשך טיפול, ואולם שירות המבחן לא התרשם מתובנה אמיתית להתנהלותו. הוא מתקשה בנטילת אחריות מלאה למיוחס לו ונמנע ממסירת פרטים על קשריו השוליים וחלקם בעבירה. חוסר השינוי בעמדותיו לאחר טיפול ממושך וחוסר התייחסות ביקורתית כלפי התנהגותו ואחריותו לעבירה, מעידים על חוסר בשלות והתאמה לטיפול. לפיכך שירות המבחן נמנע מהמלצה טיפולית בעניינו.",תסקירי שירות המבחן
