verdict,text,part
ME-23-12-14553-571,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6, 7.א., 7.ג",nothing
ME-23-12-14553-571,"חוק העונשין, תשל""ז-1977: סע'  40ח, 400",nothing
ME-23-12-14553-571,"הנאשם הורשע על-פי הודאתו במסגרת הסדר טיעון בכתב אישום מתוקן (להלן: ""כתב האישום"") בביצוע עבירות של הכנה, ייצור והפקה (גידול) של סמים מסוכנים, החזקת סמים מסוכנים שלא לצריכה עצמית ונטילת חשמל בניגוד לחוק, עבירות לפי סעיפים 6 ו-7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973 (להלן: ""פקודת הסמים"") ו- 400 לחוק העונשין, התשל""ז – 1977  (להלן חוק העונשין"").",	מבוא
ME-23-12-14553-571,במסגרת ההסדר לא הושגה הסכמה בין הצדדים לעניין העונש וכל צד טען לעונש באופן חופשי.,	מבוא
ME-23-12-14553-571,"יחד עם זאת, הצדדים הסכימו שהנאשם יוכרז כסוחר סמים וככל יוצא, הציוד המפורט בכתב האישום יחולט לטובת קרן החילוט – הסמים.",	מבוא
ME-23-12-14553-571,"מעובדות כתב האישום עולה כי במועד שאינו ידוע במדויק ובמשך תקופה לא ידועה ועד ליום 30.11.2023 גידל הנאשם שתילים רבים של סם, בוילה ששכר מיום 1.7.2023 בקריית גת, לאחר שביצע בווילה פעולות שונות כדי להכשירה כמקום לגידול הסם. לצורך תפעול מקום גידול הסם והפעלת מכשירי החשמל בהם השתמש הנאשם לשם גידול הסם, יצר הנאשם חיבור פיראטי של חשמל בוילה. ביום 30.11.2023 בשעה 10:25 או בסמוך לכך במסגרת פעילות יזומה של משטרת ישראל הגיעו השוטרים לוילה וביקשו מהנאשם לפתוח את הדלת.",	כתב האישום
ME-23-12-14553-571,"לאחר שהנאשם לא נענה לקריאתם, טיפסו השוטרים אל מעבר לגדר, דפקו על דלת הכניסה, הזדהו כשוטרים וביקשו מהנאשם לפתוח את דלת הכניסה. הנאשם לא נענה לקריאות השוטרים ואלו דפקו שנית על דלת הכניסה עם פטיש. הנאשם ביקש מהשוטרים להפסיק ואמר כי יפתח את הדלת והוא עשה כן.",	כתב האישום
ME-23-12-14553-571,"במהלך חיפוש שביצעו השוטרים בוילה נמצאו בששה חדרים כ-700 שתילי סם מסוג קנבוס במשקל כולל של 180 ק""ג נטו אותם גידל הנאשם. בחדר נוסף נתפס שק שהכיל סם מסוכן מסוג קנבוס במשקל של 7.48 ק""ג נטו. בנוסף לאמור, נתפס בוילה ציוד רב ששימש לגידול הסם.",	כתב האישום
ME-23-12-14553-571,"הנזק שנגרם לחברת חשמל כתוצאה ממעשיו של הנאשם נאמד בסך כולל של 99,717.18 ₪.",	כתב האישום
ME-23-12-14553-571,"מתסקיר שירות המבחן שהתקבל בעניינו של הנאשם עלה כי זה כבן 27, רווק, בן להורים גרושים, עלה עם הוריו מאתיופיה בשנת 1997, סיים 12 שנות לימוד, סייע מגיל צעיר בפרנסת משפחתו, שוחרר משירות צבאי לאחר שירות של תקופה של שנתיים וארבעה חודשים, הוגדר כחייל בודד והתגורר בבית החייל, טרם מעצרו התגורר בגפו בדירה שכורה בקרית גת ועבד בעסק עצמאי לשליחויות.",	תסקיר שירות המבחן
ME-23-12-14553-571,"הנאשם שיתף את שירות המבחן כי עזב את הבית עקב סכסוך עם אימו, כי שמר איתה ועם אחותו על קשר רופף וחידש איתם את הקשר לאחר מעצרו. הנאשם שיתף כי הוא בחובות על סך של 200,000 ₪ לבנקים ולחברת אשראי. הנאשם מסר כי התנסה לראשונה בשימוש בסמים בגיל 19, צרך סמים בתדירות נמוכה במסגרת מפגשים חברתיים, שלל בעיות התמכרות ושלל צורך בהתערבות טיפולית בתחום ההתמכרויות אף שמסר כי פנה להשתתף בקבוצה טיפולית במסגרת מעצרו אך טרם קיבל תשובה.",	תסקיר שירות המבחן
ME-23-12-14553-571,"הנאשם הודה בפני שירות המבחן במיוחס לו, מסר כי ביצע את העבירות בגפו על רקע מצוקה כלכלית וחוסר יכולת למצוא אלטרנטיבה להתמודדות עם קשייו הכלכליים.",	תסקיר שירות המבחן
ME-23-12-14553-571,"שירות המבחן התרשם כי הנאשם גדל בנסיבות משפחתיות מורכבות ללא תמיכה והצבת גבולות, ביצע את העבירות על רקע מצוקה כלכלית, הביע חרטה, מבין כי עליו לשלם את המחיר על מעשיו והביע שאיפות לחזור לתפקוד נורמטיבי.",	תסקיר שירות המבחן
ME-23-12-14553-571,"לצד זאת, שירות המבחן התרשם כי הנאשם נעדר כלים להתמודדות במצבי מצוקה ולחץ, מתקשה להתנהל כלכלית, נעדר גורמי תמיכה, התקשה לחשוב על השלכות מעשיו, אינו מכיר בבעייתיות בצריכת סמים ואינו מעוניין בטיפול בתחום ההתמכרויות.",	תסקיר שירות המבחן
ME-23-12-14553-571,"בהתאם לאמור, שירות המבחן לא בא בהמלצה טיפולית והמליץ להטיל על הנאשם ענישה מוחשית ומרתיעה.",	תסקיר שירות המבחן
ME-23-12-14553-571,המאשימה טענה לעונש בכתב והשלימה טיעוניה על-פה.,	טיעוני הצדדים
ME-23-12-14553-571,"המאשימה טענה כי מתחם העונש ההולם נע בין 42 ל-62 חודשי מאסר ועתרה להטיל על הנאשם 52 חודשי מאסר, מאסר מותנה, פיצוי וקנס.",	טיעוני הצדדים
ME-23-12-14553-571,"לעניין הקנס טענה המאשימה למתחם שנע בין 50-120,000 ₪ ועתרה להטיל על הנאשם קנס שנמצא באמצע מתחם זה. בנוסף עתרה המאשימה להטיל על הנאשם פיצוי בסך של 99,000 ₪  לחברת חשמל.",	טיעוני הצדדים
ME-23-12-14553-571,"המאשימה הפנתה בטיעוניה לערכים המוגנים שנפגעו, למידת הפגיעה הגבוהה בהם ולנסיבות ביצוע העבירות. ביחס לנסיבות ביצוע העבירות התייחסה לתכנון שקדם לביצוע העבירות המחייב לימוד הנושא, השקעה כספית, רכישת ציוד מתאים ושכירת מקום לגידול הסמים, לחלקו הבלעדי של הנאשם בביצוע העבירות, לסוג הסם, לכמות הסם הגדולה שהנאשם ייצר והפיק ולתפקידו בשרשרת הפצת הסם, לנזק שנגרם מביצוע העבירות לרבות הנזק שנגרם לחברת חשמל (עשרות אלפי שקלים),  לנזק שצפוי היה להיגרם לו הסם היה מופץ ולסיבות שהביאו את הנאשם לביצוע העבירות (מניע כלכלי).",	טיעוני הצדדים
ME-23-12-14553-571,בטיעוניה הפנתה המאשימה לתסקיר שירות המבחן ולהמלצתו העונשית.,	טיעוני הצדדים
ME-23-12-14553-571,לעניין הקנס טענה המאשימה כי בשים לב לכמות הסם הגדולה שגידל ולפוטנציאל הרווח העצום הנגזר מכך יש להטיל על הנאשם עיצומים כספיים בדמות קנס כספי משמעותי ופיצוי לחברת החשמל שירתיע ויאיין את הכדאיות הכלכלית מביצוע עבירות אלו. המאשימה צרפה פסיקה לתמיכה בעמדתה העונשית.,	טיעוני הצדדים
ME-23-12-14553-571,"ב""כ הנאשם טען כי מתחם העונש ההולם נע בין 18 ל-36 חודשי מאסר ועתר לעונש של 18 חודשי מאסר לצד מאסר על תנאי ופיצוי בסך של 10,000 ש""ח. ב""כ הנאשם עתר שלא להטיל על הנאשם רכיב של קנס בשל מצבו הכלכלי הקשה של הנאשם ובשל כך שהוא לא הפיק  בסופו של יום רווח כלכלי מביצוע העבירות.",	טיעוני הצדדים
ME-23-12-14553-571,באשר לנסיבות ביצוע העבירות הפנה לתיקון המשמעותי שנעשה בכתב האישום המלמד על פרק הזמן המינימלי שבו המעבדה פעלה (בהתאם לכתב האישום); על כך שמדובר בדירה ולא בחממה; על כך  שמדובר בדירה שבה התגורר הנאשם ולא בדירה שאותה שכר רק לצורך הגידול; על כך שמספר השתילים וכמות הסם אינם חריגים במיוחד ועל כך שמדובר בעבירת גידול ולא בעבירה של סחר בסמים.,	טיעוני הצדדים
ME-23-12-14553-571,"ב""כ הנאשם הפנה לנסיבותיו האישיות-משפחתיות המורכבות של הנאשם, לגילו הצעיר, להודאת הנאשם, החרטה והצער שהביע, לכך שהוא נעדר עבר פלילי ולכך שמדובר במאסר ראשון שיוטל עליו.",	טיעוני הצדדים
ME-23-12-14553-571,"ב""כ הנאשם התייחס בטיעוניו למתחם העונש ההולם ולעונש שאליהם עתרה המאשימה וטען כי אלו אינם מידתיים ואינם נתמכים בענישה הנוהגת, אף לא בזו אליה הפנתה המאשימה בטיעוניה. כן טען כי עמדת המאשימה למקם את עונשו של הנאשם במרכז המתחם לו עתרה אף הוא לא מתכתב עם העובדה שמדובר בנאשם צעיר, נעדר עבר פלילי אשר הודה בהזדמנות הראשונה.",	טיעוני הצדדים
ME-23-12-14553-571,"ב""כ הנאשם הוסיף כי לנוכח נתוניו אלו ולנוכח נסיבותיו האישיות-משפחתיות יש למקם את עונשו של הנאשם בתחתית מתחם העונש שייקבע.",	טיעוני הצדדים
ME-23-12-14553-571,"באשר לנזק שנגרם לחברת החשמל, הפנה ב""כ הנאשם למסמך של חברת החשמל (נ/1) וטען כי ממסמך זה עולה שהנזק המוזכר הוא בגדר הערכה בלבד. זאת, בין היתר בשל כך שמכתב האישום לא ברור מה היא התקופה שבה פעלה ה""מעבדה"" בוילה בעוד שמסמך של חברת החשמל מתייחס לתקופה מוגדרת. ב""כ הנאשם הוסיף כי בהתאם לאמור אין לזקוף לחובתו של הנאשם את מלוא התקופה שצוינה במסמך של חברת החשמל.",	טיעוני הצדדים
ME-23-12-14553-571,"הנאשם אמר את דברו. הנאשם מסר כי בית הסוהר הוא מקום קשה עבורו, כי בעקבות מעצרו והוא חידש את הקשר עם משפחתו, כי הוא לוקח אחריות מלאה על מעשיו, מבין את חומרת מעשיו ומודע להשלכות. הנאשם הוסיף כי הוא נקלע לחובות בשל טעיות שעשה בעבר, כי הבין ש""הדרך הקצרה היא הדרך הארוכה"", כי הוא מעוניין לתקן את דרכיו וכי לא יחזור על הטעויות שביצע.",	טיעוני הצדדים
ME-23-12-14553-571,"מתחם העונש ההולם צריך לנוע בין 28 ל-48 חודשי מאסר. בקביעת המתחם התחשבתי בערכים המוגנים של העבירות, במידת הפגיעה בהם, בנסיבות ביצוע העבירות ובענישה הנוהגת, והכל כמפורט להלן.",	דיון והכרעה
