verdict,text,part
ME-09-657-44,"א' כרמי, בריאות ומשפט (2003)","ש""ז פלר, יסודות בדיני עונשין (כרך א, תשמ""ד)"
ME-09-657-44,"חוק העונשין, תשל""ז-1977: סע'  34(ח), 34ח, 40א, 40ב, 40ג, 40ג(א), 40ג(ב), 40ד, 40ה, 40ו, 40ז, 40ח, 40ט, 40ט(א), 40ט(א)(1), 40ט(א)(10), 40ט(א)(2), 40ט(א)(3), 40ט(א)(4), 40ט(א)(5), 40ט(א)(6), 40ט(א)(7), 40ט(א)(8), 40ט(ב), 40י, 144(א), 144 (ב2), 144ד2, 300(א)(2), 300א, 300 א(א), 305(1), 329, 329(א), 329(א)(5), 40טו, 40יא, 40יא(10), 40יא(11), 40יא(2), 40יא(3), 40יא(4), 40יא(5), 40יא(6), 40יא(7), 40יא(8), 40יא(9), 40יב, 40יג, 40יג(א), 40יג(ב), 40יג(ג), 40יד, א'1, פרק א'1","ש""ז פלר, יסודות בדיני עונשין (כרך א, תשמ""ד)"
ME-09-657-44,"אסף טויב, ""ענישה מופחתת ברצח -"", הפרקליט, כרך מח 214","ש""ז פלר, יסודות בדיני עונשין (כרך א, תשמ""ד)"
ME-09-657-44,"כנגד הנאשם הוגש כתב אישום בגין עבירות אלימות קשות ובהן: שני מעשי רצח, ניסיון לרצח, חבלה בכוונה מחמירה, והסתה לאלימות.",כללי
ME-09-657-44,"לאחר הסכמת הצדדים ביחס לעובדות המקימות את המעשים, נותרה המחלוקת בין הצדדים בעניין אחריותו הפלילית של הנאשם, הן מבחינת כשרותו לעמוד לדין, והן מבחינת אחריותו למעשיו בעת ביצוע המעשים שייחסו לו.",כללי
ME-09-657-44,"ביום יא כסלו תשע""ב ( 7.12.11), ניתנה על ידינו החלטה, הקובעת כי הנאשם כשיר לעמוד לדין.",כללי
ME-09-657-44,"ביום ה שבט תשע""ג (16.1.13), ניתנה על ידינו הכרעת דין מפורטת, ובגדרה הורשע הנאשם בעבירות המתוארות להלן (על פי הסדר שבכתב האישום):",כללי
ME-09-657-44,"בחודש מאי 1997, החליט הנאשם להרוג ערבי. המנוח, סמיר אכרם בלביסי ז""ל, יליד 1975, ששימש באותה העת כנהג הסעות, פנה אל הנאשם והציע להסיעו למחוז חפצו, באזור ירושלים. הנאשם הסכים, והתיישב בצידו הימני של הספסל האחורי ברכב. הנאשם הורה למנוח לעצור בנקודה מסוימת, כדי לצרף לנסיעה חבר, שאמור לחכות שם. כאשר ראה הנאשם כי עיניו של המנוח מופנות קדימה, וכי אין עוברי אורח באזור. ירה הנאשם במנוח, מטווח קצר, קליע, אשר חדר למוחו, וגרם למותו של המנוח. באישום זה מואשם הנאשם בעבירות אלו: ברצח בכוונה תחילה - עבירה לפי סעיף 300(א)(2) לחוק העונשין התשל""ד-1977 (להלן – ""החוק"" או ""חוק העונשין""), שעונש החובה עליה הוא מאסר עולם; ובעבירות נשק, לפי סעיף 144 (ב2) לחוק, עבירה שהעונש המירבי בגינה הוא חמש שנות מאסר.",כללי
ME-09-657-44,"כשלושה חודשים לאחר האירוע הראשון, החליט הנאשם להרוג פלסטיני נוסף. הוא חיפש את מבוקשו, בסביבות היישוב סוסיא, שבאזור יהודה ושומרון. הנאשם הבחין בצאן בסמוך לכביש, והוא פנה לאתר את רועה הצאן, כדי לפגוע בו, ולהמיתו. משראה הנאשם כי רועי הצאן הינם ילדים, זנח הנאשם את תוכניתו להמיתם, וביקש למצוא לו קורבן אחר. כעבור דקות אחדות, עבר המנוח, עיסא ג'ברין ז""ל ,יליד שנת 1940, בגפו, צפונית ליישוב כרמל, המצוי באותה סביבה. הנאשם הסתיר את נשקו, ופנה למנוח בשאלה. משרכן המנוח אל הנאשם, כדי להבין טוב יותר את דברי הנאשם, ירה הנאשם במנוח שתי יריות, מטווח קצר. היריות פגעו בחזהו של המנוח וגרמו למותו. בגין מעשה זה מואשם הנאשם ברצח, בעבירה לפי סעיף 300(א)(2) לחוק העונשין, עבירה שהעונש עליה הוא עונש מנדטורי של מאסר עולם בלבד.",כללי
ME-09-657-44,"במועד כלשהו, בחודש יולי 2006, הדפיס הנאשם כרוזים, הקוראים להריגתם של אנשי הקהילה ההומו-לסבית, אותם כינה ""סדומאים"". בכרוז נכתב כי ""20,000 ₪ מובטחים לכל מי שיגרום למותו של אחד מאנשי סדום ועמורה"". הנאשם פירט, במסגרת הכרוז האמור, שיטות להכנת בקבוקי תבערה, דוקרן ואלה מאולתרת, וכן את השיטות לשימוש באותם אמצעים. הנאשם הפיץ את הכרוזים הללו בשכונות חרדיות בירושלים, במטרה להניע את יושביהן לפעול כנגד ""מצעד הגאווה"", שאמור היה להתקיים בסמוך לאותו מועד. בגין מעשים אלו מואשם הנאשם בעבירה של הסתה לאלימות או טרור, לפי סעיף 144ד2 לחוק העונשין, עבירה שהעונש המירבי בגינה הוא חמש שנות מאסר.",כללי
