verdict,text,part,mapped_category
ME-13-04-35007-454,"בשם הנאשם: בעצמו וע""י ב""כ עו""ד רוני נוג'ידאת","נוכחים: בשם המאשימה: עו""ד אור לרנר",מידע אחר
ME-13-04-35007-454,"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב)","נוכחים: בשם המאשימה: עו""ד אור לרנר",מידע אחר
ME-13-04-35007-454,"כנגד הנאשם הוגש לבית משפט זה כתב אישום, בו יוחסו לו במקור העבירות שעניינן, נשיאת נשק שלא כדין, החזקת נשק שלא כדין וירי באזור מגורים.",מבוא:,עובדות המקרה
ME-13-04-35007-454,"תחילה, כפר הנאשם במיוחס לו בכתב האישום.",מבוא:,טיעוני הצדדים
ME-13-04-35007-454,"בדיון מיום 18/11/13 ולאחר שהוחל בשמיעת ראיות, הגיעו הצדדים להסדר טיעון ולפיו, הנאשם יחזור בו מכפירתו, כתב האישום יתוקן, הנאשם יודה בעובדות כתב האישום המתוקן ויורשע על פי הודאתו. עוד הוסכם, כי בטרם ישמעו טיעוני הצדדים לעונש ואף מפאת גילו של הנאשם במועד ביצוע העבירות, יתקבל תסקיר מאת שירות המבחן בעניינו של הנאשם ולאחר מכן, הצדדים יטענו באופן חופשי לעונש באשר לכל רכיבי הענישה. במעמד זה הבהירה המאשימה, כי היא תעתור להשית על הנאשם עונש מאסר בפועל בהתאם לרמת הענישה הנהוגה, בעוד שהסניגור יטען באופן חופשי לעונש (הכל ביחד יקרא להלן: ""הסדר הטיעון"").",מבוא:,עובדות המקרה
ME-13-04-35007-454,"בהתאם להסדר הטיעון, הנאשם חזר בו מכפירתו, כתב האישום תוקן, התקבל וסומן ב/1 (להלן: ""כתב האישום""). הנאשם הודה בעובדות כתב האישום המתוקן והורשע על פי הודאתו בעבירות כדלקמן:",מבוא:,עובדות המקרה
ME-13-04-35007-454,"נשיאת נשק שלא כדין - עבירה לפי סעיף 144(ב) רישא + סיפא לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין"").",מבוא:,עובדות המקרה
ME-13-04-35007-454,החזקת נשק שלא כדין - עבירה לפי סעיף 144(א) רישא + סיפא לחוק העונשין.,מבוא:,עובדות המקרה
ME-13-04-35007-454,"כן הוריתי על הגשת תסקיר מאת שירות המבחן בעניינו של הנאשם. תסקיר, כאמור, כמו גם",מבוא:,תסקיר שירות מבחן
ME-13-04-35007-454,"תסקירים משלימים, מונחים בפני.",מבוא:,תסקיר שירות מבחן
ME-13-04-35007-454,"מעובדות כתב האישום המתוקן עולה, כי בזמן הרלוונטי לכתב האישום, שרר סכסוך בכפר דבוריה, בו היו מעורבים הנאשם ואחרים (להלן: ""הסכסוך""). במסגרת הסכסוך אירעו מספר אירועי אלימות בכפר במהלך הימים הראשונים של חודש אפריל 2013.",עובדות כתב האישום המתוקן:,עובדות המקרה
