verdict,text,part
ME-21-02-46604-513,"חוק העונשין, תשל""ז-1977: סע'  144(א), 411",nothing
ME-21-02-46604-513,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",nothing
ME-21-02-46604-513,"הנאשם הורשע על יסוד הודאתו בעבירות של קבלת נכס שהושג בפשע, לפי סעיף 411 לחוק העונשין תשל""ז-1977; החזקת נשק שלא כדין, לפי סעיף 144(א) לחוק העונשין; והחזקת סם שלא לצריכה עצמית, לפי סעיף 7(א)+(ג) רישא לפקודת הסמים. במסגרת הסדר הטיעון שגובש תוקן כתב האישום, אולם לא גובשה הסכמה לעניין העונש. הנאשם הופנה לשרות המבחן נוכח קיומה של חובת תסקיר (הנאשם יליד שנת 2000).",	כללי
ME-21-02-46604-513,כתב האישום המתוקן מחזיק שני אישומים.,	כללי
ME-21-02-46604-513,"על-פי עובדות האישום הראשון, ביום 11.1.2021 התפרץ אדם, שזהותו אינה ידועה למאשימה, לדירה בחולון, וגנב מתוכה אקדח מסוג ""גלוק"" (להלן - האקדח). מספר שעות לאחר מכן, העביר אותו אדם שזהותו אינה ידועה, את האקדח לנאשם, אשר כיוון אותו אל אדם אחר והצטלם כשהוא אוחז בו. יצוין כבר בשלב זה, כי לא הייתה מחלוקת בין הצדדים כי החזקת הנשק על-ידי הנאשם הייתה נקודתית לצורך הצילום בלבד, ולאחריה, לא המשיך הנאשם להחזיק באקדח (ראה פרוטוקול עמ' 6 ש' 11).",	כללי
ME-21-02-46604-513,"על-פי עובדות האישום השני, החזיק הנאשם בביתו כ- 30 גרם סם מסוכן מסוג קוקאין, וזאת לצד שקיות אטימה שקופות קטנות, משקל דיגיטלי, כף פלסטיק וניירות אפייה - כלים המשמשים לשקילת הקוקאין ולאריזתו.",	כללי
ME-21-02-46604-513,"מתסקיר שרות המבחן עולה כי מדובר בנאשם בן 21, רווק, אשר טרם מעצרו לא עבד באופן רציף וחי בתל-אביב, במנותק ממשפחתו המנהלת אורח חיים חרדי ומתגוררת בצפת. הנאשם סיים 9 שנות לימוד, לאחר מכן נשר מבית הספר. בגיל 15 החל תהליך של חזרה בשאלה, ובסמוך לכך עזב את בית משפחתו, תחילה התמקם אצל קרובי משפחתו, ובהמשך שכר דירה בתל-אביב. הנאשם שיתף כי מגיל צעיר החל להשתמש בקנאביס אליו נחשף באמצעות חבריו במקום מגוריו, ובהמשך נחשף גם לשימוש בסם מסוג קוקאין. לדבריו, השימוש בסמים היווה עבורו דרך בילוי, אמצעי בריחה והרגעה מקשיים עימם התמודד, אך אינו רואה עצמו מכור לסמים, ובתקופת מעצרו נגמל בכוחות עצמו. כיום לדבריו, מנהל אורח חיים דתי בבית המעצר, ואינו חש צורך ונזקקות טיפולית בתחום זה של חייו. הנאשם תיאר את מעורבותו באישום הראשון ככזו שהיא תולדה של סיטואציה, במסגרתה הגיע אליו חבר, ובידו נשק, והוא אכן נטל את הנשק מידו והצטלם עימו, מתוך התלהבות, ולאחר מכן החזירו לאותו חבר. הנאשם תיאר כי לא ידע מהו מקור הנשק, ובאיזה דרך בלתי חוקית קיבל אותו חבר לידיו. באשר לאישום השני, הוסבר כי שיתף פעולה עם חבר נוסף, עת הסתיר את הסמים בדירתו, וזאת תמורת קבלת כמות מסוימת לשימוש עצמי. שרות המבחן התרשם כי הדמויות המיטביות בעולמו של הנאשם התקשו לתת מענה לצרכיו המיוחדים, וקיימים קונפליקטים בלתי פתורים בין הנאשם להוריו, על רקע ניהול אורח חיים חילוני ומעורבותו בפלילים. עוד צוין כי הנאשם עסוק בצרכיו הרגשיים והחומריים, ועלול להביא לידי ביטוי התנהגות חסרת שיקול דעת, אימפולסיבית, עוברת חוק, חסרת בשלות וללא מחשבה על השלכות מעשיו. על יסוד מאפייני אישיותו הבלתי בשלים, העדר הכרה מספקת באשר למצבו, והתייחסות קורבנית לעבירות שביצע, סבר שרות המבחן כי קיים סיכון להישנות התנהגות עוברת חוק מצידו. עוד נקבע בתסקיר כי נוכח קושי במודעות והעדר הבעת נזקקות טיפולית, אין מקום לענישה בעלת היבט שיקומי, אולם ככל שיוטל על הנאשם לרצות תקופת מאסר, מומלץ כי עונש זה ירוצה בכלא טיפולי על-מנת לאפשר לנאשם לקבל התייחסות טיפולית ושיקומית.",	תסקיר שרות המבחן
ME-21-02-46604-513,"התובעות, עורכות הדין ענת בן זאב ושלי קוטין, התייחסו בטיעוניהן לחומרת מעשיו של הנאשם בשני האישומים, לערכים המוגנים שנפגעו הן ביחס לעבירת הנשק והן ביחס לעבירת הסמים, והוסבר כי מדובר בעבירות הפוגעות בנפש, בגוף, מקימות פוטנציאל להסלמה עבריינית (ביחס לעבירת הנשק) ופוגעות פגיעה קשה בשלום הציבור (ביחס לעבירת הסמים). התובעות התייחסו למדיניות הענישה הנוהגת, תוך הפניה למגוון פסקי דין, ועל יסוד כלל השיקולים, עתרו לקביעת מתחמי ענישה באופן הבא:",	טיעוני הצדדים לעונש
ME-21-02-46604-513,בעניינו של האישום הראשון - 12 חודשי מאסר עד 24 חודשי מאסר;,	טיעוני הצדדים לעונש
ME-21-02-46604-513,בעניינו של האישום השני - 18 חודשי מאסר עד 38 חודשי מאסר.,	טיעוני הצדדים לעונש
ME-21-02-46604-513,"באשר לעונש המתאים, ולאור העובדה כי עסקינן בנאשם צעיר, ללא הרשעות קודמות, אשר קיבל אחריות על מעשיו, סברה התביעה כי יש מקום להורות על חפיפה מסוימת בין מתחמי הענישה, ועתרה לעונש כולל שלא יפחת מ- 24 חודשי מאסר לצד מאסר מותנה, קנס וחילוט קטנוע וסך של 360 ₪ במזומן שנתפסו בחזקת הנאשם.",	טיעוני הצדדים לעונש
ME-21-02-46604-513,"הסנגור, עו""ד חצרוני, התייחס לפער המשמעותי בין כתב האישום המקורי (שייחס לנאשם גם עבירות של נשיאת נשק וירי בנשק חם באזור מגורים) לכתב האישום המתוקן, ועמד על העובדה - עליה אין חולק - כי התיקון נעשה אך ורק לאחר שהתברר לתביעה כי נושא הנשק והיורה בו, הוא אדם אחר.",	טיעוני הצדדים לעונש
