verdict,text,part,mapped_category
ME-10-11-18588-3,"הנאשם הורשע על פי הודאתו בעובדות כתב האישום, בעבירה של ייבוא סם מסוכן, לפי סעיף 13 יחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973.",רקע,עובדות המקרה
ME-10-11-18588-3,הודאת הנאשם נעשתה במסגרת הסדר טיעון לפיו התביעה מגבילה עצמה בעתירתה לגזור על הנאשם 6 שנים מאסר בפועל ואילו ההגנה טוענת באופן חופשי.,רקע,טיעוני הצדדים
ME-10-11-18588-3,"על פי עובדות כתב האישום, ביום 13.10.10 יצא הנאשם את הארץ בטיסה לברזיל, דרך איטליה. עובר ליום 3.11.10, בברזיל, הטמין הנאשם בתרמילו, בעצמו או באמצעות אדם אחר מטעמו, סם מסוכן מסוג קוקאין. ביום 3.11.10 נחת הנאשם בנמל התעופה בן גוריון כשהוא נושא בתרמילו, בדופן כפולה, חבילה ובה קוקאין במשקל של  ברוטו.",רקע,עובדות המקרה
ME-10-11-18588-3,"תסקיר שירות המבחן מציין: הנאשם כבן 27, טרם מעצרו עמד לפני נישואים ועבד בעיסוקים מזדמנים. אביו סובל מנכות ואינו עובד, אמו ואחיו הקטן חולים. הנאשם סיים 7 שנות לימוד. על רקע גילו הצעיר כעובד והצורך המיידי בסיוע לכלכלת הבית, סבל מניצול וקיפוח מידי מעסיקיו. שירות המבחן התרשם מהתנהלות חסרת יציבות לאורך השנים כשבשנים האחרונות מגלה מעורבות מסוימת בעבריינות סמים. נראה שבעקבות מחלת אמו והירידה בהשפעתה המרסנת עליו, החל להידרדר.  בנוסף התרשמו מהיעדר מיומנויות לניהול אורח חיים מאורגן  ויכולת לתפקוד במסגרות מקובלות.",רקע,תסקיר שירות מבחן
ME-10-11-18588-3,"הנאשם הודה, כי בתקופה שקדמה לביצוע העבירות צבר חובות שאותם שילם באמצעות הלוואות שנטל מהשוק האפור. לדבריו הבלדרות סודרה על ידי נושיו. כיום הוא מבין, כי עליו לשאת את המחיר בגין מעורבותו בעבירה.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"שירות המבחן סבור, כי נדרשת בעניינו התערבות שיקומית אשר תחדד עבורו את חומרת מצבו ותסייע לו לרכוש הרגלי תפקוד תקינים. ואולם, נוכח חומרת העבירות שביצע, אין מקום להציע התערבות טיפולית במסגרת השירות.",רקע,תסקיר שירות מבחן
ME-10-11-18588-3,"התביעה עותרת לאמץ את הרף הגבוה של הסדר הטיעון ולגזור על הנאשם מאסר של 6 שנים, מאסר על תנאי, שלילת רישיון וקנס.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"ב""כ התביעה ציין: התופעה של ייבוא הסם והברחתו לארץ דרך נמל התעופה, הינה נפוצה; מדיניות הענישה בעבירות אלה מחייבת להשית על בלדרי סם תקופת מאסר משמעותית; מהתסקיר עולה, שהדרך בה הלך הנאשם לא נכפתה עליו. וכן כי יש צורך לחדד לו כי ביצע עבירות ואין המלצה להתערבות טיפולית; לא ניתן לתרץ מעשים ופגיעה חמורה בחברה בשל קשיים כאלה ואחרים, משום שלא ניתן יהיה לקיים כך חברה תקינה; הטלת קנס מחויבת בענייננו, בשל הכמות הגדולה של סם שניסה הנאשם להכניס לארץ. לפי הפסיקה, במקום בו מניע כלכלי הביא לביצוע העבירות, יש ליתן ביטוי למניע זה גם בעונש  כדי להרתיע אחרים; העונש לו עותרת התביעה מקל עם הנאשם במידה מסוימת ומתחשב עם המתואר בתסקיר ובחיסכון בזמן השיפוטי.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"ההגנה עותרת לגזור על הנאשם עונש מאסר בפועל המצוי בטווח הפסיקה אליה היפנה, בין 18 חודשים ל-4 שנים ולהימנע מהטלת קנס.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"ב""כ הנאשם ציין: המדובר בנאשם צעיר שלקח אחריות, הודה וחסך זמן שיפוטי ניכר; אין לנאשם עבר פלילי מכביד; הפסיקה ערכה הבחנה בין דגי הרקק לבין הכרישים בסוג זה של עבירות. הנאשם פעל ממצוקה כלכלית קשה, כאשר כאח הבכור נדרש לפרנס את הוריו החולים ואחיו. במסגרת החובות שנקלע אליהם, נטל הנאשם הלוואות בשוק האפור אותן התקשה לפרוע. הנאשם נוצל בצורה צינית על ידי הגורמים ששלחו אותו לבצע את הבלדרות. הוא לא תכנן, לא מימן ולא מכיר את השולחים. הוא מעולם לא נסע לחו""ל בטיסה; מהתסקיר עולה שלמרות הרקע הקשה של הנאשם, הוא הצליח רוב שנותיו, להימנע מהסתבכויות עם החוק; התסקיר מציין שיש צורך בהתערבות שיקומית; לנאשם לא היה רווח כלכלי משמעותי, שכן אמור היה לקבל, תמורה בגובה הכנסתו החודשית.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"הנאשם הביע צער וביקש את סליחתו של הציבור ובית המשפט. ציין כי היה במצב כה קשה, שאם היו אומרים לו להתאבד, היה  עושה כן. המצב הכלכלי היה קשה, הוא נקלע לחובות ומצב זה גרם לו לבצע את העבירה. הנאשם ציין כי זהו מאסרו הראשון  ומבקש התחשבות במצבו.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"העבירה בה הורשע הנאשם הינה חמורה, כשהעונש המירבי הקבוע לצידה הינו 20 שנות מאסר. מדובר בחוליה חשובה, בלעדיה אין, בשרשרת ייבוא הסם לארץ לצורך הפצתו תוך הגדלת  מספר המכורים לסם. מדובר בסם קשה מסוג קוקאין ובמשקל לא מבוטל שניתן להפיק ממנו כמות גדולה מאד של מנות סם.",רקע,טיעוני הצדדים
ME-10-11-18588-3,"פסיקת ביהמ""ש העליון, משקפת את הצורך במאבק בעבירות הסמים בכלל ובעבירות ייבוא הסמים בפרט. על השלכות עבירות הסמים אמר כב' השופט מ'  חשין בע""פ 4998/95 קרדוסו נ' מ""י, פ""ד נט(3) 769, את אלה:",רקע,טיעוני הצדדים
ME-10-11-18588-3,עוד הדגיש שם כב' השופט חשין את המלחמה הנמשכת בנגע הסמים:,רקע,טיעוני הצדדים
ME-10-11-18588-3,"לענין החשיבות של הטלת עונשים מחמירים בעבירות הסמים, נאמר בע""פ 6029/03 מ""י נ' גולן שמאי, פ""ד נח(2) 738:",רקע,טיעוני הצדדים
ME-10-11-18588-3,"""נגע הסמים פשט ופשׂה בארצנו כמגפה. ככל שידיעתנו מגעת חלה בשנים האחרונות עלייה של-ממש בשיעור המשתמשים בסמים, ולענייננו עתה נציין בייחוד את השימוש בסמים הקשים, ובהם הקוקאין. סם הקוקאין נודעת לו השפעה הרסנית במיוחד הן על גופו הן על נפשו של המשתמש... הקוקאין הוא אחד הסמים הגורמים להתמכרות החזקה ביותר... בתי-המשפט עשו כהנחיית המחוקק והחמירו בעונשים הנגזרים על סוחרי סמים. מלחמת חורמה כונתה המלחמה בסוחרי הסמים, מלחמה ללא פשרות, והיא כמלחמת ישראל בעמלק. ...כך למשל מורה ההלכה כי בקביעת עונשם של עברייני סמים יש להתחשב, בעיקר, בחומרת העבירה ובצורכי ההרתעה... בייחוד נכונים הדברים במקום שהמדובר הוא בייבוא כמות משמעותית של סם העשויה לשמש להכנתן של מנות-סם רבות ..כן קבעה ההלכה כי בעבירות סמים נסוגים השיקולים האישיים של העבריין מפני שיקולי הנזק הקשה שהשימוש בסם מביא על המשתמשים בו..",רקע,טיעוני הצדדים
ME-10-11-18588-3,"באשר לענישת בעלי התפקידים המשניים יותר בייבוא הסם, המגמה העונשית היא להחמיר עם בלדרי הסמים ולהשית עליהם מאסר בפועל לתקופה משמעותית, על מנת להרתיע מלהתפתות ולסייע בהבאת סמים ארצה, בהפצתם ומכירתם לצרכני סמים. שכן,  מערכת הפצת הסמים נסמכת ונשענת על שירותיהם של אנשים רבים הממלאים לפעמים תפקידים של שליח או של בלדר. על מנת לשבור את שרשרת הפצתו של הסם יש לטפל ביד נוקשה ולהעניש בחומרה ראויה גם בעלי תפקידים ""משניים"" (ע""פ 3820/09 מ""י נ' חיים אוחיון, [פורסם בנבו] ניתן ביום 1/9/09, והפסיקה המוזכרת שם).","  		חומרה, חומרה, חומרה – זו חייבת שתהא דרכו של בית-המשפט"".",טיעוני הצדדים
