verdict,text,part
ME-21-03-7053-594,"חוק העונשין, תשל""ז-1977: סע'  144 (א), 144(ב), 144 (ג)(1)",nothing
ME-21-03-7053-594,"הנאשם הודה והורשע על פי הודאתו בעבירות של רכישת נשק לפי סעיף 144(ב) רישא + סיפא בצירוף סעיף 144 (ג)(1) לחוק העונשין תשל""ז-1977, וכן בנשיאת נשק לפי סעיף 144 (א) רישא+סיפא לחוק זה. על פי עובדות כתב האישום המתוקן בו הורשע הנאשם הוא החליט יחד עם מכריו עדנאן הדרא ועלי מחיסן לרכוש נשק ברמאללה. הנאשם הקציב לכך סכום של 30,000 ₪ ועדנאן התקשר לאדם שזהותו אינה ידועה והתעניין ברכישת הנשק. ביום 16.2.21 נפגשו השלושה ונסעו לרמאללה ברכבו של עדנאן. בשעות אחר הצהרים, לאחר תיאום מראש, הגיע לרכבם אדם שהציג להם אקדח מסוג FN תוצרת בלגיה ומחסנית תואמת קליעי 9 מ""מ. עדנאן ועלי בדקו ודרכו את האקדח, וגם הנאשם אחז בו. הנאשם שילם את הסכום של 30,000 ₪ ועדנאן לקח את האקדח והמחסנית והסליק אותם בתוך סמרטוט מתחת לקונסולת ההילוכים ברכב. הנאשם והאחרים נסעו כשהאקדח והמחסנית ברכבם מרמאללה לירושלים עד שנעצרו על ידי המשטרה בכיכר א-טור.",האישום וטענות הצדדים
ME-21-03-7053-594,הנאשם הודה בכתב האישום במסגרת הסדר שכלל תיקון כתב האישום ללא הסכמה בעניין העונש.,האישום וטענות הצדדים
ME-21-03-7053-594,"ב""כ המאשימה הציגה את רישומו הפלילי של הנאשם, הכולל עבירה של נסיון להיזק לרכוש במזיד משנת 2015, בגינה נדון הנאשם ל-50 ימי מאסר. היא טענה כי עבירות הנשק הפכו למכת מדינה, הן גורמות לפגיעה באנשים, תחושת איבוד שליטה, פגיעה בציבור ובשלטון החוק. למעשים קדמה החלטה לרכוש נשק ותכנון. הנאשם שילם תמורת האקדח ותכנן את הנסיעה יחד עם עדנאן. הנזק הפוטנציאלי הנובע מהמעשים עצום, אך הנאשם לא הבין באופן מלא את הפסול שבמעשיו. הנאשם ריצה מאסר קודם בעבר.",האישום וטענות הצדדים
ME-21-03-7053-594,"ב""כ המאשימה הפנתה למספר פסקי דין לעניין הענישה הנוהגת. היא ציינה כי מדובר בשתי עבירות, רכישת נשק ונשיאת נשק, כאשר לנשיאה בלבד יש לקבוע מתחם של 2-4 שנות מאסר. התובעת ביקשה לקבוע מתחם ענישה בין 30-50 חודשי מאסר בפועל. לעניין נסיבותיו של הנאשם ציינה ב""כ המאשימה כי הוא צעיר יחסית אך בעל עבר פלילי וריצה מאסר בעבר. הוא לא ביקש תסקיר של שירות המבחן. עם זאת הנאשם הודה בשלב מוקדם, שיתף פעולה וסייע בפיענוח האירוע. היא ביקשה לגזור על הנאשם עונש של 40 חודשי מאסר בפועל, מאסר על תנאי וקנס.",האישום וטענות הצדדים
ME-21-03-7053-594,"ב""כ הנאשם ביקש להסתפק בתקופת מעצרו של הנאשם (מיום 16.2.21) או מעט למעלה מכך. הוא טען כי הנאשם צעיר, לחובתו הרשעה יחידה על אירוע מלפני 6 שנים כך שאין לייחס לו משקל רב ובכל מתחם שייקבע עונשו צריך להיות בתחתית המתחם. הוא הוסיף כי הנאשם הודה כבר בחקירה במשטרה כשהיה עצור במעצר ימים, ללא תמורה עונשית.",האישום וטענות הצדדים
ME-21-03-7053-594,"לגבי נסיבות ביצוע העבירה טען הסניגור כי הנאשם התלווה לעדנאן, שהוביל בהגיית הרעיון, התכנון והביצוע. את תרומתו של הנאשם בהשגת המימון הכספי יש להביא בחשבון בערבון מוגבל, שכן מדובר בסכום כסף שהיה לנאשם והיה אמור לשמש לקניית רכב, כך שהוא לא נדרש למאמצים מיוחדים כדי להשיגו לצורך מימון רכישת הנשק. גם הסניגור הפנה לפסיקה וטען כי מתחם הענישה נמוך מהנטען ע""י המאשימה. הוא ביקש לקבוע מתחם ברוח הפסיקה. לדבריו גם אם קיימת מגמה של החמרה בענישה, עליה להיות הדרגתית, והענישה היא תמיד אינדבידואלית.",האישום וטענות הצדדים
ME-21-03-7053-594,"במסגרת המתחם, הסניגור ציין כי הנאשם הודה, חסך זמן ולקח אחריות. הוא שיתף פעולה בחקירה.",האישום וטענות הצדדים
ME-21-03-7053-594,הנאשם עצמו הביע חרטה ואמר כי למד לקח ולא יחזור על מעשיו.,האישום וטענות הצדדים
ME-21-03-7053-594,"הערכים המוגנים  בעבירות של החזקת נשק וירי בשטח בנוי הם שמירה על שלום הציבור, בטחונו ושלמות גופו; החשש שנשק המוחזק שלא כדין עלול להתגלגל לידיים בלתי רצויות ולשמש למעשים אסורים, שיש בהם כדי לפגוע ואף ליטול חיי אדם.",מתחם העונש ההולם 
ME-21-03-7053-594,"מזה שנים שפסיקת בית המשפט העליון, ויתר הערכאות בעקבותיה, עומדת על הצורך בענישה מחמירה בעבירות נשק ובהטלת עונשי מאסר מרתיעים. זאת ביתר שאית בשנים האחרונות, לנוכח התופעה הקשה של אלימות וקיפוח חיי אדם באמצעות כלי נשק בלתי חוקיים. החומרה הרבה שבעבירות הנשק, הצורך להחמיר בענישה והכלל של הטלת עונשי מאסר בפועל בדרך כלל עלו בפסקי דין רבים. אציין מביניהם את ע""פ 2251/11 ג'מאל נפעא נ' מדינת ישראל (4.12.11); ע""פ 6989/13 חנא פרח נ' מדינת ישראל (25.2.14), ע""פ 4954/13 מדינת ישראל נ' עבד אלכרים סלימאן (19.1.14), ע""פ 4406/19 מדינת ישראל נ' יונס סובח (5.11.19)  ועוד.",מתחם העונש ההולם 
ME-21-03-7053-594,".	לאחרונה נפסק בע""פ 6068/21 מדינת ישראל נ' אברהים פקיה (19.12.21) (להלן: עניין פקיה):",מתחם העונש ההולם 
ME-21-03-7053-594,"""יש להדגיש את החומרה היתירה שנודעה לביצוע עבירות נשק, על כל סוגיהן ומיניהן. במסגרת פסק הדין בע""פ 4595/13 זובידאת נ' מדינת ישראל (6.7.2014)  בית המשפט קרא למחוקק לשקול את החמרת הענישה בעבירות נשק. בהמשך לכך, בשנת 2018 תיקן המחוקק את סעיף 340א לחוק העונשין והחמיר את העונש הקבוע בצידה של עבירת ירי מנשק חם (ראו: הצעת חוק העונשין (תיקון מס' 132) (ירי מנשק חם), התשע""ח-2018, ה""ח 1223). זאת, כצעד נוסף למלחמה בתופעת השימוש בנשק ופוטנציאל הנזק הכרוך בכך.",מתחם העונש ההולם 
