part_number,verdict,text,part,predicted_category
1,ME-18-01-22537-277,"ב""כ המאשימה: עוה""ד אביטל פינק ושחר לדובסקי",nothing,מידע אחר
2,ME-18-01-22537-277,"ב""כ הנאשם 2: עו""ד אשר חן",nothing,מידע אחר
3,ME-18-01-22537-277,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א",nothing,מידע אחר
4,ME-18-01-22537-277,"חוק העונשין, תשל""ז-1977: סע'  40ד(א), 40 יג', 499(א)(1)",nothing,מידע אחר
5,ME-18-01-22537-277,"הנאשם 2 (להלן: ""הנאשם"") הורשע בהתאם להודאתו בעובדות כתב האישום המתוקן בעבירות כדלקמן:",רקע,עובדות המקרה
6,ME-18-01-22537-277,"ייבוא סם מסוכן, לפי סעיף  13 ביחד עם סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973.",רקע,עובדות המקרה
7,ME-18-01-22537-277,"קשר לפשע, לפי סעיף 499(א)(1) בחוק העונשין, תשל""ז- 1977 (להלן: ""החוק"").",רקע,עובדות המקרה
8,ME-18-01-22537-277,"על-פי המתואר בעובדות כתב האישום המתוקן, הנאשם והנאשמת 1 (להלן: ""הנאשמת"") הם בני זוג המתגוררים יחדיו בדירה בנתניה. הנאשמים קשרו קשר לייבא לארץ סם מסוכן, והנאשם עמד בעניין זה בקשר עם אנשים נוספים. במסגרת הקשר ולנוכח חששו של הנאשם שהוא יעורר חשד בביקורת הגבולות, הציע לנאשמת לשמש בלדרית ולייבא לארץ את הסם, בתמורה לכך שיקבלו סך של 100,000 ₪. במטרה לשוות לנסיעה לחו""ל אופי כשר, פנתה הנאשמת לחברתה והציעה לה לטוס איתה לחו""ל תוך שהציגה לה מצג שווא שמדובר בנסיעת מתנה שקיבלה ממעסיקה. בימים הסמוכים ליום 13.12.17 פנה הנאשם לסוכן נסיעות ורכש שלושה כרטיסי טיסה – לנאשמת ולחברתה כרטיס הלוך ושוב לבודפשט, ולעצמו כרטיס טיסה לכיוון אחד לאמסטרדם. הנאשם והנאשמת קבעו שהתקשורת ביניהם תהייה באמצעות יישומוןSignal  המקשה על איתור המתקשרים ומגן על תוכן השיחות שמתבצעות באמצעותו. ביום 13.12.17 הנאשמת וחברתה טסו לבודפשט שם התגוררו בדירה שפרטיה נמסרו להן על ידי הנאשם. במקביל הנאשם טס באותו היום לאמסטרדם, שם קיבל פרטיה של דירת מגורים ובה המתינה עבורו מזוודה בעלת תחתית כפולה ובה 4.893 ק""ג סם מסוג קוקאין. ביום 15.12.17 נסע הנאשם ברכבת לבלגיה ומשם טס לבודפשט. עם נחיתתו בבודפשט יצר קשר עם הנאשמת באמצעות היישומון והשניים נפגשו, שם מסר הנאשם לנאשמת את המזוודה והיא מסרה לידו את מזוודת הנוסעים שלה. ביום 16.12.17 הגיעה הנאשמת לשדה התעופה בבודפשט, שם נדרשה לשלם על המשקל העודף של המזוודה. הנאשמת פנתה לנאשם באמצעות היישומון והוא התייצב בשדה התעופה ומסר לה 100 אירו לשם תשלום עבור המשקל העודף של המזוודה. עם הנחיתה בישראל, הנאשמת שגתה ואספה מזוודה אחרת שאינה המזוודה בה הוטמן הסם. המזוודה ובה הסם נאספה על-ידי משפחה אחרת שהגיעה לישראל. מיד לאחר שנתגלתה הטעות, שבה הנאשמת לשדה התעופה, החזירה את המזוודה השגויה ומסרה את פרטיה למחלקת אבדות ומציאות וביקשה לקבל לידיה את מזוודתה. הנאשמת עדכנה את הנאשם בדבר הטעות והוא לחץ עליה לפעול לאיתור המזוודה ולקבלה לידיה. הנאשם התקשר לסוכן הנסיעות ורכש כרטיס טיסה לישראל. משהנאשמת לא ענתה לשיחותיו, הנאשם יצר קשר עם חברתה וביקש ממנה לנסוע לביתם כדי לברר את מצבה של הנאשמת. ביום 17.12.17 המשפחה האחרת החזירה את המזוודה שבה הסם לשדה התעופה, שם עברה המזוודה שיקוף והתגלה שהמזוודה מכילה סם מסוג קוקאין. ביום 18.12.17 המשטרה מסרה את המזוודה לידי הנאשמת, והנאשמת עדכנה את הנאשם שהמזוודה בידיה והוא הורה לה לשקול את המזוודה ולקחת אותה לביתם. באותו ערב ערכה המשטרה חיפוש בביתם של הנאשמים ונמצאו שם המזוודה ובה הסם. הנאשם עצם את עיניו לגבי סוג הסם וכמותו.",רקע,עובדות המקרה
9,ME-18-01-22537-277,"הצדדים הגיעו להסדר דיוני, לפיו הנאשם הודה והורשע בכתב האישום המתוקן והופנה לקבלת תסקיר שירות המבחן, ללא הסכמה לעונש. לשם השלמת התמונה יובהר כי נערך אף הסדר טיעון בנוגע לנאשמת, ולאחר קבלת תסקיר שירות המבחן בעניינה, הודיעו הצדדים כי יעתרו במשותף לעונש של 6 חודשי מאסר שיכול וירוצו בעבודות שירות, לצד עונשים נלווים.",רקע,עובדות המקרה
10,ME-18-01-22537-277,"על פי תסקירי שירות המבחן, הנאשם כבן 35, רווק ואב לילד בן 5 ממערכת יחסים קודמת. מנהל מערכת יחסים זוגית עם הנאשמת. הנאשם נשר ממערכת החינוך לאחר 10 שנות לימוד, עבר בין מסגרות חינוכיות רבות בשל קשיי הסתגלות, בעיות משמעת וקושי בקבלת סמכות. כנער היה מעורב בפלילים והתקשה להיעזר בגורמי הטיפול לשם עריכת שינוי ולא גויס לשירות צבאי בגין מעורבותו בפלילים. בגיל 12 החל בשימוש בחומרים מסוגים שונים כולל סם מסוג קנאביס וסמי הזייה לצד שימוש אינטנסיבי באלכוהול. לאורך השנים מצבו הדרדר עד לשימוש תדיר ויומיומי. הנאשם חבר לחברה שולית כנער ומעורבותו השולית העמיקה. לאורך השנים עבד באופן מזדמן. כיום אינו מקיים קשר עם בני משפחתו. הקשר של הנאשם עם בנו מרוחק וטלפוני בעיקרו. לנאשם עבר פלילי הכולל שלוש הרשעות בין השנים 2004-2010 בגין עבירות סמים. בשנת 2009 הופנה לשירות המבחן ואז עלתה התרשמות מאדם צעיר המגלה חוסר יציבות ומתנהל באופן אימפולסיבי, לצד בעיית שימוש בסמים וקיום קשרים שוליים. ביחסו לעבירה, הנאשם הסביר את הרקע לביצוע העבירות בהתמכרותו לסמים, מצב כלכלי דחוק ורצון להשגת רווח כספי קל. תאר שיצר קשר עם גורמים עברייניים והונחה על ידם כיצד להתנהל בביצוע העבירות. הנאשם הביע חרטה על ביצוע העבירות ומסר שכיום מבין את חומרתן. שירות המבחן התרשם שהנאשם התקשה לבחון את השלכות התנהגותו בעבירות ופגיעתו באחרים.",תסקירי שירות המבחן,תסקיר שירות מבחן
