verdict,עובדות המקרה,טיעוני הצדדים,דיון והכרעה,סך_חטיבות
ME-10-03-29019-87,1,1,1,3
ME-11-01-43136-111,1,0,0,1
ME-11-12-49187-222,1,0,1,2
ME-12-01-24154-898,1,1,1,3
ME-12-02-20534-522,1,1,1,3
ME-12-02-42712-445,1,1,1,3
ME-12-03-39807-132,1,0,0,1
ME-12-03-6231-248,1,1,1,3
ME-12-03-8516-111,1,1,1,3
ME-12-04-30672-625,1,1,1,3
ME-12-04-33691-891,1,1,1,3
ME-12-05-30278-398,1,1,1,3
ME-12-05-8540-448,1,0,0,1
ME-12-06-11552-330,1,1,1,3
ME-12-06-17098-547,1,1,1,3
ME-12-06-17109-617,1,1,1,3
ME-12-06-44357-260,0,0,1,1
ME-12-07-1490-872,1,1,1,3
ME-12-09-28180-412,0,0,0,0
ME-12-10-12866-467,0,0,0,0
ME-12-10-31937-216,1,1,1,3
ME-12-10-40440-832,1,0,0,1
ME-12-10-50105-646,1,1,1,3
ME-12-11-29984-176,0,0,0,0
ME-12-11-44985-11,1,0,0,1
ME-12-11-5948-739,1,0,0,1
ME-12-12-11284-678,1,0,1,2
ME-12-12-25529-787,1,1,1,3
ME-12-12-63963-606,1,0,0,1
ME-13-01-3135-135,1,1,1,3
ME-13-01-33745-668,1,0,0,1
ME-13-01-54176-524,1,1,1,3
ME-13-02-22293-81,1,0,0,1
ME-13-02-50759-950,0,0,0,0
ME-13-03-50079-883,1,1,1,3
ME-13-04-14825-739,1,1,1,3
ME-13-04-22062-473,1,1,0,2
ME-13-04-29631-335,1,1,1,3
ME-13-05-26685-22,1,1,1,3
ME-13-05-27782-294,1,1,1,3
ME-13-05-28268-703,1,1,1,3
ME-13-05-31971-964,1,0,0,1
ME-13-05-3234-688,1,1,1,3
ME-13-05-3404-224,1,0,1,2
ME-13-06-33630-198,1,1,1,3
ME-13-06-44877-875,1,1,1,3
ME-13-06-56235-958,1,1,1,3
ME-13-07-21315-898,1,0,0,1
ME-13-07-26801-940,1,1,1,3
ME-13-07-36422-132,1,1,1,3
ME-13-08-17410-607,1,1,1,3
ME-13-08-44882-742,1,1,1,3
ME-13-09-36831-773,1,0,1,2
ME-13-10-607-500,1,1,1,3
ME-13-10-65884-449,1,1,1,3
ME-13-10-737-239,1,1,1,3
ME-13-11-39787-662,1,1,1,3
ME-13-12-22678-920,1,1,1,3
ME-13-12-47020-93,1,1,1,3
ME-14-01-16958-980,1,0,0,1
ME-14-01-3006-904,1,1,1,3
ME-14-01-44352-455,1,0,0,1
ME-14-02-11392-572,1,1,1,3
ME-14-02-11475-986,1,1,1,3
ME-14-02-29269-808,1,0,0,1
ME-14-02-3759-46,1,0,0,1
ME-14-02-45171-333,1,0,1,2
ME-14-03-3507-457,1,1,1,3
ME-14-03-46090-151,1,1,1,3
ME-14-08-17781-557,1,1,1,3
ME-14-08-5000-55,1,1,1,3
ME-14-09-16646-278,1,1,1,3
ME-14-09-23142-592,1,1,1,3
ME-14-10-18510-163,1,1,1,3
ME-14-10-26524-879,1,1,1,3
ME-14-10-32704-880,1,1,1,3
ME-14-10-38176-631,1,1,1,3
ME-14-10-50725-58,0,1,1,2
ME-14-11-15801-310,1,1,1,3
ME-14-11-9620-789,1,0,0,1
ME-14-12-60842-529,1,1,1,3
ME-14-12-6904-57,1,0,1,2
ME-15-01-33508-80,1,1,1,3
ME-15-01-48938-684,1,1,1,3
ME-15-02-3457-326,1,1,1,3
ME-15-02-35815-840,1,0,0,1
ME-15-02-6336-938,1,1,1,3
ME-15-02-8843-221,1,1,1,3
ME-15-02-9160-226,1,1,1,3
ME-15-03-18879-44,1,1,1,3
ME-15-03-24689-682,1,1,1,3
ME-15-04-45156-638,1,1,1,3
ME-15-04-46662-851,1,1,1,3
ME-15-04-52882-935,1,1,1,3
ME-15-04-8633-389,1,1,1,3
ME-15-05-1108-536,1,1,1,3
ME-15-05-12699-676,0,1,1,2
ME-15-05-15054-771,1,1,1,3
ME-15-05-23408-74,1,1,1,3
ME-15-05-3597-754,1,0,1,2
ME-15-05-45061-675,1,1,1,3
ME-15-07-47627-164,1,1,1,3
ME-15-08-34916-597,1,0,0,1
ME-15-09-1959-668,1,0,0,1
ME-15-09-20841-815,1,1,1,3
ME-15-09-24510-335,1,1,1,3
ME-15-09-24514-351,1,1,1,3
ME-15-09-2497-201,1,0,0,1
ME-15-10-1872-954,1,1,1,3
ME-15-10-23320-898,1,1,1,3
ME-15-10-26357-563,0,1,1,2
ME-15-10-47344-877,1,1,1,3
ME-15-11-31122-886,1,1,1,3
ME-15-11-46896-519,1,1,1,3
ME-15-11-53457-605,1,0,0,1
ME-15-12-13882-380,1,0,0,1
ME-15-12-33866-670,1,1,1,3
ME-15-12-38315-222,1,1,1,3
ME-16-01-189-123,1,1,1,3
ME-16-01-37551-462,1,1,1,3
ME-16-01-44404-37,1,1,1,3
ME-16-02-39924-867,1,1,1,3
ME-16-02-9109-304,1,1,1,3
ME-16-03-10283-946,1,1,1,3
ME-16-03-50082-855,1,1,1,3
ME-16-03-52982-212,1,1,1,3
ME-16-03-9736-32,0,0,0,0
ME-16-04-1870-974,0,1,1,2
ME-16-04-24253-961,1,1,1,3
ME-16-04-26792-485,1,1,1,3
ME-16-04-6322-316,1,1,1,3
ME-16-06-26447-577,1,0,0,1
ME-16-06-42987-901,0,0,1,1
ME-16-06-49305-370,0,1,1,2
ME-16-06-6788-21,1,1,1,3
ME-16-07-11608-225,1,1,1,3
