verdict,text,part
SH-22-02-10096-595,"חוק העונשין, תשל""ז-1977: סע'  25, 192, 275, 288, 406 (ב), 40 יא', 413",nothing
SH-22-02-10096-595,"פקודת סדר הדין הפלילי (מעצר וחיפוש) [נוסח חדש], תשכ""ט-1969: סע'  47(א)",nothing
SH-22-02-10096-595,"חוק הכניסה לישראל, תשי""ב-1952: סע'  12(1)",nothing
SH-22-02-10096-595,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), 7(ג)",nothing
SH-22-02-10096-595,"הנאשם הורשע על פי הודאתו, במסגרת הסדר טעון, בכתב אישום מתוקן, בעבירות של איומים, לפי סעיף 192 לחוק העונשין תשל""ז 1977 (להלן: ""חוק העונשין""), העלבת עובד ציבור, לפי סעיף 288 לחוק העונשין, הפרעה לשוטר במילוי תפקידו, לפי סעיף 275 לחוק העונשין, שימוש בכוח או באיומים למנוע מעצר, לפי סעיף 47(א) לפקודת סדר דין פלילי (מעצר וחיפוש) (נוסח משולב) תשכ""ט 1969, שב""ח לפי סעיף 12(1) לחוק הכניסה לישראל (3 עבירות), שבל""ר לפי סעיף 413 לחוק העונשין, החזקת סם לצריכה עצמית, לפי סעיף 7(א) +7(ג) סיפא לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג 1973. התפרצות למגורים לפי סעיף 406 (ב) לחוק העונשין, וניסיון התפרצות למגורים כדי לבצע עבירה, לפי סעיף 406 (ב) לחוק העונשין בצירוף סעיף 25 לחוק העונשין.",	כתב האישום:
SH-22-02-10096-595,"על פי הנטען בחלק הכללי של כתב האישום המתוקן, במועדים הרלבנטיים לכתב האישום, היה הנאשם תושב האזור, שאינו מחזיק באישור שהייה ו/או תעסוקה כדין.",	כתב האישום:
SH-22-02-10096-595,"על פי הנטען באישום הראשון, ביום 18.1.2023 בשעה 20:00 לערך, בבסיס הצבאי ""עופר"", הורה השוטר ג'רמי דיין (להלן: ""השוטר""), על מעצרו של הנאשם.",	כתב האישום:
SH-22-02-10096-595,"בהמשך, בבית החולים הדסה הר הצופים, עת נערכה לנאשם אבחנה רפואית, החל הוא לצעוק על השוטר, אשר מילא תפקידו כדין, באומרו לו: ""מסתערבים מניאקים בני זונות שרמוטות אני אהרוג אותם"". וכן צעק לעבר שוטר נוסף: ""אני אהרוג אותך כלב יהודי יא בן זונה אני יאנוס את כל המשפחה שלך ואז יהרוג אותם"".",	כתב האישום:
SH-22-02-10096-595,"השוטר ביקש מהנאשם לחדול מדבריו, ובתגובה אמר לו הנאשם: ""יא הומו קוקסינל אני אזיין אותך בטח אבא שלך אתיופי יא ג'ינג'י מנייאק מקבל בתחת אני יהרוג אותך יא מזדיין חכה תראה מה אני אעשה לך"". בהמשך, עת הובל לניידת, ולאחר שהתבקש לעטות מסכה, אמר לשוטר: ""אני אזיין אותך יא שוטר מניאק יא סמוי בן זונה אני יאנוס אחותך"" והניף ידיו לעבר פניו של השוטר כני שמבקש לפגוע בו. השוטר אחז באזיקי הידיים של הנאשם על מנת למנוע פגיעה בו, ובתגובה המשיך הנאשם וניסה להניף ידיו כמי שמבקש להכותו באגרופים. השוטר הפעיל כוח סביר על מנת להשתלט על הנאשם ולחדול אותו מתוקפנותו ובתגובה אמר לו הנאשם ""לך תזדיין יא בן שרמוטה שוטר מניאק אני אזיין אותך"" בסיועו של שוטר נוסף נכבל הנאשם מאחורי גבו אז התחיל להטיח את ראשו בחוזקה על חלון דלת הניידת עד אשר השוטר מנע ממנו לעשות כן.",	כתב האישום:
SH-22-02-10096-595,"באישום השני נטען, כי ביום 13.8.2020 בשעה 20:00 החנתה הגב' דליה דרוקמן את רכבה מסוג מאזדה נושאת לוחית רישוי מספר: 82-999-11 בקרבת ביתה ברחוב מנשה נחמיה 8 בירושלים.",	כתב האישום:
SH-22-02-10096-595,"בין המועד המתואר בסעיף 1 בכתב האישום המתוקן, ועד ליום 14.8.2020 בשעה 05:30 לערך, במועד שאינו ידוע במדויק למאשימה, נגנב רכבה המאזדה באופן שבו קודד מפתח מותאם ובוצע מעקף לקודנית.",	כתב האישום:
SH-22-02-10096-595,"בתאריך 6.9.2020 ברחוב השחם 38 במעלה אדומים, החזיק הנאשם ברכב המאזדה וכן בסם מסוכן מסוג הרואין במשקל 0.5835 גרם נטו.",	כתב האישום:
SH-22-02-10096-595,"באישום השלישי נטען, כי ביום 6.9.2020 בשעה 12:00 לערך, לנה גל קריף, חיילת בשירות סדיר בחדרה, בבית הוריה מאיר ודוריס קריף, ברחוב מבוא הורד 6 בגבעון.",	כתב האישום:
SH-22-02-10096-595,"בשעה 12:30 לערך, בעודה לנה בחדר, התפרץ הנאשם באופן שבו החדיר חפץ חד בין החלון למסגרת עץ ודחף את כנף חלון פינת האוכל בבית, ונכנס לתוכו.",	כתב האישום:
