verdict,text,part
ST-15-11-5568-103,"הנאשם הורשע, במסגרת הסדר טעון, בכתב אישום חמור, לפיו, ביום 12.11.15, נהג ברכב, ברחוב מנחם בגין בהרצליה, במהירות מופרזת, זאת על אף היותו בלתי מורשה לנהיגה, פסול על ידי גזר דין של בית משפט, שיכור, ללא רישיון רכב תקף וללא תעודת ביטוח תקפה.",nothing
ST-15-11-5568-103,הנאשם נעצר בעקבות האירוע  ומעצרו הוארך בהסכמת בא כוחו.,nothing
ST-15-11-5568-103,"ביום 22.11.15, הודה הנאשם במיוחס לו והצדדים הציגו הסדר מסגרת לעניין העונש, כאשר לעניין המאסר, סוכם כי המאשימה תטען ל-12 חודשי מאסר בפועל, תוך הפעלת עונש מאסר מותנה בן 10 חודשים התלוי ועומד כנגד הנאשם, בעוד שהסנגור יוכל לטעון לעונש של 10 חודשי מאסר, תוך הפעלת עונש המאסר המותנה האמור וכן, עתרו הצדדים במשותף, לפסילה מלקבל או להוציא רישיון נהיגה, למשך 36 חודשים, 12 חודשי מאסר מותנה למשך 3 שנים וקנס כספי משמעותי, חלף התחייבות כספית בסך 20000 ₪, משהתברר כי הנאשם לא חתם על ההתחייבות ולא ניתן להפעילה.",nothing
ST-15-11-5568-103,"הצדדים הציגו טיעונים לעניין העונש, כמפורט בפרוטוקול והנאשם עצמו אמר כי הוא מודע למעשיו, אך נמצא בהליכי שיקום, סובל ממחלה קשה, אב לילדה בת שנתיים ויודע כי הכלא יכול להרתיע אותו, אך גם להכניסו לדיכאון. באשר לאירוע בגינו הורשע, טען כי לא חשב ונהג ברכב של אשתו, על מנת להכניסו למוסך.",nothing
ST-15-11-5568-103,הנאשם נותן את הדין על עבירות מהחמורות שבפקודת התעבורה ובתקנות התעבורה.,דיון והכרעה
ST-15-11-5568-103,"השילוש הלא מקודש של נהיגה כבלתי מורשה, בשכרות ובזמן פסילה, מהווה סיכון ממשי ומוחשי לציבור עוברי הדרך ואך בנס, לא הסתיים האירוע בתאונה ברמת חומרה כזו או אחרת.",דיון והכרעה
ST-15-11-5568-103,"אם לא די בעבירות חמורות אלה, עבר הנאשם, באותן נסיבות, עבירות בטיחותיות נוספות – נהיגה במהירות של 101 קמ""ש, בדרך עירונית, בה במהירות המותרת הנה 60 קמ""ש בלבד, ברכב שרישיונו פג תוקף וללא כיסוי ביטוחי מתאים.",דיון והכרעה
ST-15-11-5568-103,"מתחם הענישה ההולם ייקבע על-פי סעיף 40ג(א) לחוק העונשין ולפיו יש מקום ליתן משקל לערך או הערכים החברתיים שנפגעו מביצוע העבירה ומידת הפגיעה בהם, למדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה, כאמור בסעיף 40ט.",דיון והכרעה
ST-15-11-5568-103,"באשר לעבירה של נהיגה כבלתי מורשה לנהיגה, נאמר בפסיקה –",דיון והכרעה
ST-15-11-5568-103,"ברע""פ  3149/11 ראסם נגד מדינת ישראל, נאמר:",דיון והכרעה
ST-15-11-5568-103,"ברע""פ 10563/05 קלפון נ' מ""י, קבע כבוד הש' ג'ובראן:",דיון והכרעה
ST-15-11-5568-103,"בעפ""ת 16612-03-11, קבעה כבוד הש' אוהד:",דיון והכרעה
ST-15-11-5568-103,"בע""פ 6404/09, אבו לאלקיעאן נ' מ""י, קבעה כבוד הש' רז לוי  :",דיון והכרעה
ST-15-11-5568-103,"""על חומרת העבירות שביצע המשיב אין צורך להכביר מילים. הנוהג ברכב בלא שקיבל את הכישורים והמיומנות לעשות כן, כמוהו כמי שנוהג בכלי משחית (וכרולטה רוסית עשוי לפגוע במשתמשים בדרך, אנשים חפים שניתן אילו פגע בהם לומר שהיו במקום הלא נכון בזמן הלא נכון).","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"הקטל בדרכים, התאונות המותירות אחריהן פגיעות קשות, נכויות קשות בדרגות כאלה ואחרות, הגורמות להרס","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"הקורבן ומשפחתו הקרובה, ולפגיעה בציבור כולו. על בית המשפט ליתן דעתו על הציבור העשוי להיפגע בכביש, לציבור זה, כולל כל אחד ואחת מאיתנו. על בית המשפט לערוך את האיזון בין האינטרס הציבורי, לפיו אנשים מסוגו של המשיב לא ינהגו כלל כל עוד לא ניתן להם רישיון נהיגה, לבין האינטרס הפרטי של המשיב כנאשם/כמערער. ידו של האינטרס הציבורי על העליונה"".","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"בעמ""ת 1636/09 אבו ראס נ' מ""י, קבעה כבוד הש' אוהד:","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"בעבירות אלה של נהיגת אדם בהיותו בלתי מורשה, נלוות לחומרת העבירה מסוכנות ""זועקת לשמיים"" העשויה להעלות במחיר דמים של חפים מפשע שיימצאו במקרה בנתיב נסיעתו של הנהג הבלתי מורשה"".","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"בנסיבות אלה ולאור הערכים החברתיים שנפגעו – סיכון חיי אדם ושלטון החוק והפגיעה הקשה בהם ולאור מדיניות הענישה הנוהגת בתחום כפי שנקבע על ידי בתי המשפט בפסקי הדין הנ""ל ואחרים, הרי שמתחם הענישה בעבירות כאלה, כאשר עסקינן בעבירה חוזרת, כולל פסילה בפועל לתקופה שבין 12 חודשים לחמש שנים וכן מאסר בפועל לתקופה שלא תעלה על 24 חודשים.","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
ST-15-11-5568-103,"באשר לעבירה של נהיגה בזמן פסילה, נאמר בפסיקה –","בעפ""ת 1784/09 מ""י נ' זידאן מנסור, קבעה כבוד הש' אוהד:"
