verdict,text,part
ME-20-02-33338-797,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6, 7.א., 7.ג, 10, 31(6), 36א, 39",nothing
ME-20-02-33338-797,"חוק העונשין, תשל""ז-1977: סע'  40ד (א), 400",nothing
ME-20-02-33338-797,"פקודת המבחן [נוסח חדש], תשכ""ט-1969",nothing
ME-20-02-33338-797,"פקודת סדר הדין הפלילי (מעצר וחיפוש) [נוסח חדש], תשכ""ט-1969: סע'  32 (א)",nothing
ME-20-02-33338-797,הנסיבות הצריכות לעניין הן בתמצית אלה:,nothing
ME-20-02-33338-797,"הנאשם, יליד 20.03.1991, הורשע ביום 17.08.2020 על-סמך הודאתו בעובדות שני האישומים שבכתב-האישום, במסגרת הסדר אליו הגיעו הצדדים, בעבירות של החזקת סם מסוכן שלא לצריכה עצמית, לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש) התשל""ג – 1973 (להלן: ""פקודת הסמים""), ייצור הכנה והפקה של סם מסוכן, לפי סעיף 6 לפקודת הסמים, כלים, לפי סעיף 10 רישא לפקודת הסמים, וכן בעבירה של נטילת חשמל, לפי סעיף 400 לחוק העונשין התשל""ז – 1977 (להלן: ""חוק העונשין"").",nothing
ME-20-02-33338-797,כתב-האישום בעניינו של הנאשם כולל שני אישומים.,nothing
ME-20-02-33338-797,"על-פי עובדות האישום הראשון, בבעלותו של הנאשם רכב מסוג טויוטה מספר-רישוי 2242570 (להלן: ""הרכב""). ביום 31.01.2020, סמוך לשעה 01:00 נהג הנאשם ברכב על כביש 4 מכיוון צפון לכיוון דרום, עת הוא מחזיק ברכב סם מסוכן מסוג קנבוס במשקל כולל של 4.2 ק""ג, שלא לשימוש עצמי, ללא היתר וללא רישיון.",nothing
ME-20-02-33338-797,"על-פי עובדות האישום השני, ביום 09.09.2019 שכר הנאשם דירת קוטג' ברחוב לואי פסטר מס' 12 בחיפה (להלן: ""הדירה""), למשך שנה, וזאת לצורך גידול סם מסוכן מסוג קנבוס.",nothing
ME-20-02-33338-797,"לאחר שכירת הדירה, במועד, אשר אינו ידוע למשיבה, צייד הנאשם את המחסן בציוד רב לגידול סם מסוכן מסוג קנבוס ובכלל זה: מזגנים, מאווררים, מנורות, אדניות רבות, מסנני פחם וציוד נוסף (להלן: ""הכלים""), לצורך גידול סם מסוכן מסוג קנבוס ללא היתר וללא רישיון.",nothing
