verdict,text,part
ME-15-12-39950-22-A,"חוק העונשין, תשל""ז-1977: סע'  144(א), 151","ב""כ הנאשם עו""ד פרידמן "
ME-15-12-39950-22-A,מתיר תיקון כתב האישום כמבוקש.,החלטה
ME-15-12-39950-22-A,"על יסוד הודאתו, מורשע בזאת הנאשם בנוסף בעבירה של התקהלות אסורה, לפי סעיף 151, לחוק העונשין, תשל""ז-1977.",הכרעת דין מתוקנת
ME-15-12-39950-22-A,"הנאשם הורשע על יסוד הודאתו, לאחר שחזר בו מכפירתו, במסגרת הסדר טיעון, בכתב אישום מתוקן, בעבירות של החזקת נשק, לפי סעיף 144(א) לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין""), והתקהלות אסורה, לפי סעיף 151 לחוק העונשין.",רקע
ME-15-12-39950-22-A,"על פי עובדות כתב האישום המתוקן, ביום 12.12.2015, בשעת ערב מאוחרת, הגיעו הנאשם ואחרים, שהם אוהדי קבוצת הכדורגל בית""ר ירושלים, למשחק כדורגל שהיה צפוי להתקיים באצטדיון בלומפילד ביפו (להלן: ""האצטדיון""). בעת ההמתנה למשחק, שהו הנאשם ואחרים, שישבו ברכב חונה (להלן: ""הרכב""), בחניון סמוך (להלן: ""החניון""). במועד זה ערכו שוטרים סריקות באזור מגרש הכדורגל והחניון, לאיתור אוהדים המפרים את הסדר או צורכים אלכוהול. בהגיע השוטרים לחניון, בעת שהתקרבו לעבר הנאשם ואחרים, תפס הנאשם בידו רימון הלם מסוג M7920 (להלן: ""הרימון"") שהיה מונח ברכב, אותו החזיק, ללא רשות על פי דין, והשליכו אל מתחת לרכב. במעשיו השתתף הנאשם בהתקהלות אסורה.",רקע
ME-15-12-39950-22-A,"הצדדים הגיעו להסדר טיעון, לפיו יעתרו במשותף להטלת עונש של 7 וחצי חודשי מאסר בפועל, מאסר מותנה, קנס והרחקה למשך 4 שנים ממגרשי כדורגל ומאירועי ספורט.",רקע
ME-15-12-39950-22-A,"יש בעצם החזקת הרימון פוטנציאל נזק ממשי לביטחון הציבור ולשלומו. פוטנציאל נזק זה, מתעצם נוכח מיקום החזקת הרימון, בקרבת אצטדיון הכדורגל – שבו שהו, קרוב לוודאי, אלפי אוהדים, אם לא מעבר לכך – ולאור עיתוי החזקתו, סמוך לפני משחק כדורגל בין קבוצות בית""ר ירושלים והפועל ת""א, שהיריבות הקשה בין אוהדיהן, היא מן המפורסמות.",רקע
ME-15-12-39950-22-A,"לא ניתן להתעלם, מהשלכת הרימון מתחת לרכב, באופן שיש בו כדי ללמד על חוסר האחריות שנהג הנאשם ברימון, ואף על ניסיונו להרחיק את עצמו ממעשי העבירה.",רקע
ME-15-12-39950-22-A,"מנגד, יש ליתן משקל הולם לקולה לסוג הנשק, ולכמותו, רימון הלם בודד, שבסופו של דבר, לא נעשה בו שימוש.",רקע
ME-15-12-39950-22-A,"ת""פ 29440-10-11 מדינת ישראל נ' יצחק (15.2.12) – בית המשפט השלום גזר עונש של שנת מאסר בפועל על נאשם, שהורשע בעבירות החזקת נשק, מעשה פזיזות ורשלנות, ופציעה, בשל השלכת רימון גז מדמיע לכר הדשא במהלך משחק כדורגל בליגת העל. כתוצאה מפליטת הגז, סבלו חלק מהנוכחים במשחק מקוצר נשימה, וחלקם נזקקו לטיפול רפואי. נסיבות פרשה זו חמורות מענייננו, מכיוון שהנאשם השליך את הרימון, וגרם נזק ממשי לאחרים.",רקע
