verdict,text,part
ME-12-5013-39,גזר הדין מהווה חלק בלתי נפרד מהחלטה שניתנה ביום 15/10/13 ותצוטט במלואה:,nothing
ME-12-5013-39,"""הנאשם, יליד 93', הודה בעובדות כתב אישום שתוקן במסגרת הסדר טיעון והורשע על פי הודייתו בעבירות דלקמן:",nothing
ME-12-5013-39,"קשר לפשע – לפי סעיף 499 (א)(1) לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין); חבלה בכוונה מחמירה – לפי סעיף 329(א)(2) ו-(6) + 29 לחוק העונשין; יצור נשק – לפי סעיף 144(ב2) + 29 לחוק העונשין; החזקת נשק – לפי סעיף 144(א) רישא + 29 לחוק העונשין, ונשיאת נשק – לפי סעיף 144(ב) רישא + 29 לחוק העונשין,",nothing
ME-12-5013-39,"בתאריך 8/8/12 לפנות בוקר, שהה הנאשם בחניון אגם מונפורט (להלן: האגם), ביחד עם חבריו א.ל, שהיה קטין באותו מועד (להלן: א'), רוברט תומס (להלן: רוברט) ופאר גרידיש (להלן: פאר; כל אלה ביחד ייקראו להלן: חברי הנאשם). כן שהו במקום ד.ס., נ.א. ו-י.צ. (להלן: המתלוננים), במסגרת טיול, ביחד עם קבוצה של עשרות מחבריהם (להלן ביחד: הקבוצה). במהלך השהות באגם התפתחו דין ודברים בין הנאשם, פאר ורוברט לבין חלק מחברי הקבוצה, שלאחריו עזבו הנאשם וחבריו את המקום.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"סמוך לאחר מכן, בשעה 03:00 לערך, קשרו הנאשם וחבריו קשר לייצר בקבוקי תבערה וליידותם לעבר חברי הקבוצה, בכוונה להטיל בהם נכות ומום ולגרום להם חבלה חמורה.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"במסגרת הקשר וקידומו, נסעו הנאשם וחבריו ברכב שמספרו 33-182-02, השייך לפאר (להלן: הרכב), לתחנת דלק פז במעלות, רכשו דלק והצטיידו בבקבוקי זכוכית ובסמרטוטים. משם, נסעו למקום סמוך, מילאו את בקבוקי הזכוכית בדלק והכניסו לתוך כל אחד מהם חתיכת בד, המשמש כפתיל השהייה (להלן: בקבוקי התבערה). כך יצרו בקבוקי תבערה, שהנם כלים שסוגלו לפלוט חומר הנועד להזיק לאדם.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"במסגרת הקשר וקידומו, בשעה 04:00 לערך, נשאו הנאשם וחבריו את בקבוקי התבערה בלא רשות על פי דין ממקום ההכנה לצומת הכניסה לאגם, כשהם מכסים את פניהם בחולצותיהם, על מנת שלא יזוהו. בהמשך, הדליקו הנאשם וחבריו בצוותא את פתילי ההשהייה בבקבוקי התבערה, יידו שני בקבוקי תבערה לעבר חברי הקבוצה, וכן יידו לעברם אבנים. כל זאת, בכוונה להטיל בהם נכות ומום ולגרום להם חבלה חמורה. אחד מהבקבוקים התנפץ והתלקח סמוך למקום בו עמדו חברי הקבוצה.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"במעשיו המתוארים לעיל קשר הנאשם עם אחרים קשר לייצר נשק, לפגוע באדם בנשק מסוכן ופוגעני, ולזרוק על אדם חומר נפיץ, בכוונה להטיל בו נכות ומום לגרום לו חבלה חמורה; ייצר בצוותא כלי נשק, החזיק ונשא אותם בלא רשות על פי דין להחזקתם או לנשיאתם; כן ניסה לפגוע בצוותא באדם בנשק מסוכן ופוגעני, וזרק על אדם חומר נפיץ, הכל בכוונה להטיל בו נכות ומום וכדי לגרום לו חבלה חמורה.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"הצדדים הסכימו כי הטיעון לעונש יהיה חופשי, אך בהיותו של הנאשם בן 19 עת בוצעה העבירה, התקיים לאחר שנתקבל  תסקיר של שירות המבחן בעניינו.",1. 	תמצית העובדות המפורטות בכתב האישום המתוקן 
ME-12-5013-39,"שירות המבחן המליץ להטיל על הנאשם מאסר שיבוצע בעבודות שירות, נוכח העובדה כי מדובר בצעיר נעדר עבר פלילי, אשר מאסר בין כותלי הכלא עלול להשליך על המשך שירותו הצבאי.",3.	תסקיר שירות המבחן 
ME-12-5013-39,"קצינת המבחן סקרה את נסיבותיו האישיות של הנאשם, בן 20 כיום, בן להורים גרושים, המתגורר אצל סבתו במעלות. הנאשם עלה ארצה מרוסיה בשנת 96', ולאחר גירושי הוריו, נישאה אימו בשנית, ובשלב מסויים היגרה עם בעלה ובנה הצעיר מנישואיה אלה לקנדה. הנאשם אינו בקשר עם אביו. הנאשם החליט להישאר בארץ, חרף בקשת משפחתו כי יצטרף אליה, עקב תחושת מחויבותו להתגייס לצבא. טרם מעצרו שירת כחייל קרבי בחטיבת כפיר הצטייר כחייל ממושמע, ונמנע מהתנהגות אלימה. טרם גיוסו לצבא, השתתף במרכז לנערים במעלות, שם הצטייר באור חיובי.",3.	תסקיר שירות המבחן 
ME-12-5013-39,"הנאשם לקח אחריות על העובדות המתוארות בכתב האישום המתוקן. לדבריו בילה עם חבריו ושתה אלכוהול. לאחר ויכוח בין הנאשם וחבריו לבין המתלוננים, ניסו האחרונים לתקוף אותו ואת חבריו, ומשהצליחו לברוח, הציע אחד מחבריו שיכינו בקבוקי תבערה על מנת להפחיד באמצעותם את המתלוננים. לדבריו, לא היה בכוונתו לפגוע פגיעה ממשית במתלוננים, והיותו תחת השפעת אלכוהול השפיעה על יכולתו להפעיל שיקול דעת בוגר ואחראי באשר למתרחש. עוד הדגיש הנאשם כי אינו נוהג לצרוך אלכוהול באופן מופרז ושלל מעורבות טיפולית בהקשר זה.",3.	תסקיר שירות המבחן 
ME-12-5013-39,"קצינת המבחן התרשמה כי לנאשם יש נטייה מסויימת להשליך את האחריות לעבירה על גורמים חיצוניים, ולצמצם את רמת אחריותו האישית, וכי הוא מתקשה לבחון לעומק את הנסיבות אשר עמדו בבסיס התנהגותו הפלילית. לצד זאת העריכה כי קיימת אצלו רמת מודעות גבוהה למשמעות העבירה ותוצאותיה. הוא ביטא צער וחרטה ואף הביע חשש מההשלכות האפשרויות של ההליך המשפטי על חייו, ובמיוחד מאפשרות של פגיעה בהמשך שירותו. לדעתה, מדובר בבחור בעל תפקוד חיובי ותקין, המשדר בגרות ואחריות, ועל כן בלט הפער בין התנהגותו לאורך השנים להתנהגותו העולה מכתב האישום המתוקן.",3.	תסקיר שירות המבחן 
