verdict,text,part
ME-21-06-58603-878,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א'",nothing
ME-21-06-58603-878,"חוק העונשין, תשל""ז-1977: סע'  31, 40ד', 40ד'(א)",nothing
ME-21-06-58603-878,"פקודת המבחן [נוסח חדש], תשכ""ט-1969",nothing
ME-21-06-58603-878,"הנאשם הורשע, במסגרת הסדר טיעון, בעובדות כתב אישום מתוקן בעבירת סיוע לייבוא סם מסוכן לפי סעיף 13 ביחד עם סעיף 19א' לפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973 יחד עם סעיף 31 לחוק העונשין, תשל""ז-1977 (להלן-החוק).",רקע
ME-21-06-58603-878,"כמפורט בעובדות כתב האישום המתוקן, עובר ליום 11.2.21, חיים זיו ומתי ברץ (להלן בהתאמה- חיים ומתי) קשרו קשר לייבוא סמים דרך אתיופיה לישראל. במסגרת הקשר, שלח חיים הודעה ביישומון Telegram בקבוצה בה היה פעיל גם הנאשם, שעניינה הצעת עבודה, הנאשם הגיב להודעה, ובמענה הסביר לו חיים שעליו יהיה להעביר מזוודות מחוץ לארץ לישראל. בהמשך, ביום 11.2.21, התקשר מתי לנאשם וגרם לו להאמין שהוא משוחח עם חיים (להלן- שיחת הגיוס). במסגרת שיחה זו, הסביר מתי לנאשם בהרחבה את פרטי תכנית יבוא הסם, כשחלף המילה סמים השתמש במילים ""אבנים יקרות"" ו/או ""יהלומים"", לרבות בנוגע לכרטיסי הטיסה, משך השהייה ביעדים, קבלת המזוודות והעברתן לישראל והתמורה שיקבל.  בהמשך, ביום 30.5.21, בהנחיית חיים ומתי, טס הנאשם מישראל לוינה, ושהה במלון עד ליום 1.6.21. הנאשם מסר לחיים את פרטי המלון, וביום 31.5.21 הגיע מתי בטיסה מאתיופיה לוינה, פגש בנאשם בחדרו שבמלון והעביר לו שלוש מזוודות, כשבכל אחת פלטה שהוסלקה בדופן כפולה עטופה בנייר כסף, ובתוכה סם מסוכן. על אף חשדו כי מדובר בסם, נמנע הנאשם מלברר זאת, כמו גם את סוגו וכמותו.",רקע
ME-21-06-58603-878,ביום 4.6.21 נחת הנאשם בנמל התעופה בן גוריון כשהוא נושא באמתחתו את המזוודות ובתוכן הסם.,רקע
ME-21-06-58603-878,"ביום 8.3.22 הציגו הצדדים הסדר דיוני, פרי הליך גישור שהתנהל בפני כב' השופט טרסי, לפיו יודה ויורשע הנאשם בעובדות כתב אישום מתוקן, ויופנה לשירות המבחן לעריכת תסקיר. המאשימה תעתור לעונש ראוי של 15 חודשי מאסר בפועל בניכוי ימי המעצר וענישה נלווית, ההגנה חופשית בטיעוניה.",רקע
ME-21-06-58603-878,"הנאשם, בן 38, רווק, ללא עבר פלילי, נטורופת במקצועו. אביו נפטר בילדותו. סיים 12 שנות לימוד ובגרות מלאה. תיאר קשר הדוק עד תלותי עם אמו. לאורך השנים הישגיו הלימודיים היו טובים אך במישור החברתי סבל מבדידות וקשיי השתלבות. שירת שירות צבאי מלא כמכונאי מטוסים, במהלך השירות עבר טיפול אצל קב""ן שהתרשם שסובל מדיכאון סמוי. לאחר השחרור מצה""ל למד נטורופתיה ועבד במקצוע לאורך השנים. שלל שימוש בסמים ואלכוהול, בדיקות שתן שמסר העידו על ניקיון.",עיקרי תסקיר שירות המבחן
ME-21-06-58603-878,"הנאשם לקח אחריות על העבירה אותה ביצע, הביע חרטה והסביר כי ברקע לה מצוקה כלכלית אליה נקלע בעקבות פיטוריו בתקופת הקורונה. לדבריו, היה חבר באותה קבוצת Telegram בה נשלחה ההודעה למטרות היכרויות זוגיות ושלל כניסה מכוונת לקבוצות הקשורות בעסקאות סמים. תיאר כי התפתה לבצע את העבודה לאור התמורה הכלכלית המיידית בצדה.",עיקרי תסקיר שירות המבחן
ME-21-06-58603-878,"אשר להליך הטיפולי – הנאשם השתתף במשך כשישה חודשים בקבוצת עצורי בית בשירות המבחן, אך התקשה לשתף ולהשתתף באופן פעיל, שירות המבחן התרשם כי נעדר דפוסי התנהגות עברייניים מושרשים, וכי רואה את העבירה כחריגה למערכת ערכיו והתנהלותו. עוד הוערך כי ההליך המשפטי מהווה גורם מרתיע ונכונותו להשתלב בטיפול מפחיתה את הסיכון להישנות עבירות. לאור האמור בא שירות המבחן בהמלצה לענישה שיקומית של צו מבחן למשך שנה וחצי שבה ישולב בהליך טיפולי ארוך טווח, ריצוי עבודות שירות וענישה נלווית.",עיקרי תסקיר שירות המבחן
ME-21-06-58603-878,"המאשימה, באמצעות עו""ד ליטל שירי, עמדה על הפגיעה המשמעותית של מעשיו בערכים המוגנים של שלום הציבור, בריאותו וביטחונו, לרבות הפגיעה ההרסנית הכרוכה בשימוש בסמים. עוד עמדה על התכנון המוקדם, חלקו כמסייע ברף גבוה, תפקידו המשמעותי כבלדר ותרומתו לביצוע העבירה וסבורה שמידת הפגיעה בערכים המוגנים היא ברף הבינוני. המאשימה עמדה על נסיבותיו, העדר עבר פלילי, הודאתו, נטילת האחריות ושיתוף הפעולה בחקירתו הכולל הפללת שותפיו. עם זאת, סבורה כי תסקירו אינו חיובי במידה המצדיקה חריגה ממתחם הענישה וכי העונש הראוי שאליו טוענת המאשימה, מאסר בן 15 חודשים, משקלל  גם את הקשיים ראייתיים בתיק. המאשימה הגישה אסופת פסיקה לתמיכה בעתירתה העונשית.",תמצית הטיעונים לעונש
ME-21-06-58603-878,"ב""כ הנאשם, עו""ד רן תגר, עתר לאימוץ המלצות שירות המבחן במלואן. לשיטתו, בסולם ההיררכי אל מול שותפיו, מעמדו היה זוטר, כשתכנון המעשים והוצאתם לפועל בוצעו בעיקר על ידם.  עוד ביקש ליתן משקל נכבד לתיקון כתב האישום ולכך שיוחס לו  יסוד נפשי של עצימת עיניים ולא של מודעות, וכי חיים מאשר בחקירתו כי אמר לנאשם שמדובר בייבוא יהלומים ולא סמים. עוד טען כי מידת הפגיעה בערכים המוגנים בינונית-נמוכה, הסם נתפס ולא הופץ,  הנאשם הודה כבר בחקירתו הראשונה וללא עבר פלילי. את הקושי  להיפתח בפני שירות המבחן הסביר באישיותו המופנמת, כשלדבריו ההליך המשפטי, ובפרט תקופת מעצרו-כחודשיים ימים, היוו עבורו גורם מטלטל ומרתיע. מטעמים אלו סבור שמדובר באדם צעיר ונורמטיבי בעל סיכויי שיקום, ונתוניו מאפשרים להמנע משליחתו למאסר ממש.",תמצית הטיעונים לעונש
