verdict,text,part,mapped_category
ME-17-12-22830-699,"חוק העונשין, תשל""ז-1977: סע'  144(ב)",nothing,מידע אחר
ME-17-12-22830-699,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",nothing,מידע אחר
ME-17-12-22830-699,"פקודת התעבורה [נוסח חדש]: סע'  10א, 62.1",nothing,מידע אחר
ME-17-12-22830-699,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2",nothing,מידע אחר
ME-17-12-22830-699,"הנאשם, יליד 1995, החזיק ברכב בו נהג ביום 20.11.17 , 3 רימוני גז, רימון הלם ועוד כמות לא מבוטלת של סמים מסוג MDMA , קנבוס וחשיש. כמו כן, הנאשם נהג ברכב כשהוא אינו מורשה לנהיגה וללא ביטוח. הנאשם הורשע על פי הודייתו במיוחס לו והורשע בעבירות נשק, סמים ותעבורה. הודיית הנאשם היתה במסגרת הסדר טיעון שכלל את תיקון כתב האישום ולא כלל הסכמות עונשיות.",כללי,עובדות המקרה
ME-17-12-22830-699,"וביתר פירוט - במועד שאינו ידוע במדויק למאשימה, עובר ליום 20.11.17 בשעה 23:00, הניח הנאשם במושב האחורי של רכב מסוג שברולט המצוי בשימוש בני משפחתו (להלן: הרכב) שקית שחורה ובתוכה  3 רימוני הלם וכן רימון גז. כל אחד מהרימונים היה עטוף בניילון נצמד. במועד ובשעה לעיל, נהג הנאשם ברכב ביישוב ירכא כשהוא אינו מורשה לנהיגה וללא תעודת ביטוח בתוקף, כשברכב נמצאים הרימונים לעיל וכן הסמים המפורטים להלן: במושב האחורי של הרכב - נרתיק ובו 58.21 גרם סם מסוג חשיש מחולק לאריזות וכן 99 כדורי סם מסוג MDMA במשקל כולל של 39.3 גרם מחולקים לשתי קופסאות; על רצפת הרכב מתחת למושב הנהג - 16.8 גרם סם  מסוג קנבוס מחולק ל 17 קופסאות וכן 0.41 גרם סם מסוכן מסוג קנבוס; על רצפת הרכב לפני מושב הנהג  - 1.87 גרם סם מסוכן מסוג חשיש ו 2.11 גרם סם מסוג קנבוס. סה""כ היו ברכבו של הנאשם 3 רימוני הלם, רימון גז, קנבוס במשקל של 19.32 גרם נטו, חשיש במשקל 60.08 גרם נטו ו 99 טבליות MDMA.",כללי,עובדות המקרה
ME-17-12-22830-699,"בשל מעשיו לעיל, הורשע הנאשם בעבירות הבאות: נשיאת והובלת נשק, לפי סעיף 144(ב) לחוק העונשין, תשל""ז-1977; החזקת סם מסוכן שלא לצריכה עצמית, לפי סעיף 7(א) ו (ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג – 1973; נהיגה ללא רישיון נהיגה, לפי סעיף 10א ו 62(1) לפקודת התעבורה [נוסח חדש], התשכ""א– 1961; וחובת פוליסה, לפי סעיף 2 לפקודת ביטוח רכב מנועי [נוסח חדש], תשל""ג 1970.",כללי,עובדות המקרה
ME-17-12-22830-699,"הנאשם, בן 23 ותושב ירכא, נעדר עבר פלילי, בן למשפחה נורמטיבית המונה זוג הורים ו 5 ילדים כאשר הוא הצעיר ביניהם, רווק, סיים 12 שנות לימוד ללא תעודת בגרות, ולדבריו עובר למעצרו עבד במפעל. הנאשם מסר בפני שירות המבחן גרסה מרחיקה שאינה עולה בקנה אחד עם עובדות כתב האישום המתוקן. כך, מסר כי לא נהג ברכב, ולגבי הנשק והסמים מסר כי מצא את השקיות הרלוונטיות בעת טיול ביער עם כלבו, התכוון למסור אותן למשטרה הגם שלא ידע את תוכנן (..). בישיבת הטיעונים לעונש, התייחס הנאשם לאמור לעיל, חזר על הודייתו בעובדות כתב האישום המתוקן, הבהיר כי נהג ברכב וכן כי היה מודע לתוכן החבילות שהחזיק ברכבו. ובחזרה לתסקיר שירות המבחן – לנוכח התייחסותו לעיל של הנאשם בפני שירות המבחן, על רקע כלל הנתונים ועל בסיס ההתרשמות הבלתי אמצעית של שירות המבחן ממנו, העריך שירות המבחן כי מדובר בצעיר המתקשה בהפעלת שיקול דעת מתאים וכן מתקשה בהצבת גבולות פנימיים ובוויסות דחפיו. עוד לנוכח גרסתו המיתממת, צוין כי רב הנסתר על הגלוי אודות מניעיו. משום שהנאשם לא הביע נזקקות טיפולית ומשום שההתרשמות היתה כי הוא אינו בשל לכך, לא הובאה המלצה טיפולית והומלץ על ענישה מרתיעה ומציבת גבולות של מאסר לריצוי בעבודות שירות.",תסקיר שירות המבחן,תסקיר שירות מבחן
ME-17-12-22830-699,"מטעם המאשימה לא הוגשו ראיות. מטעם הנאשם העיד אביו שתיאר את משפחתו כמשפחה נורמטיבית. האב הבטיח כי יעשה כל מאמץ שמעשי הנאשם שתוארו לעיל, או דומים להם, לא יחזרו על עצמם.",ראיות הצדדים לעונש,ראיות לעונש
ME-17-12-22830-699,"המאשימה עמדה על חומרת מעשיו של הנאשם ובמיוחד הפנתה לשילוב שבין אמצעי לחימה וסמים בכמות לא מבוטלת. שילוב זה, כך נטען, מלמד על תכנית עבריינית, וזאת בניגוד לדוגמה למקרים אחרים של החזקת רימון הלם בודד או החזקת סמים בכמות שאינה משמעותית. שילוב זה אף אינו מאפשר לנאשם לטעון כי מדובר במעידה חד פעמית. נסיבה נוספת לחומרה מצאה המאשימה בכך שהנאשם נהג את רכבו כשהוא נושא את האמל""ח והסמים לעיל בהיותו בלב מקום מגורים. המאשימה הפנתה לערכים המוגנים שנפגעו כתוצאה ממעשי הנאשם – ההגנה על ביטחון הציבור ובריאותו. לאחר שהפנתה לפסיקה שמשקפת לשיטתה את מדיניות הענישה הנוהגת, עתרה המאשימה לקביעת מתחם בין 3 ל 5 שנות מאסר. לגבי הנסיבות שאינן קשורות בביצוע העבירה, הפנתה המאשימה לכך כי הנאשם בחר שלא ליטול אחריות על מעשיו בפני שירות המבחן וכן הפנתה להתרשמותו השלילית, ולו באופן יחסי, של שירות המבחן מהנאשם. לכן, עתרה המאשימה לקביעת עונש מאסר בפועל בחלק נמוך עד בינוני של המתחם לעיל, בנוסף, למאסר על תנאי, פסילה ופסילה על תנאי.",עיקר טיעוני המאשימה לעונש,טיעוני הצדדים
