verdict,text,part
ME-13-09-13822-835,"חוק העונשין, תשל""ז-1977: סע'  144(ב), 186(א)., 329 (א)(1), (א)(2), 333, 335(א)(1), 384, 402(ב)",nothing
ME-13-09-13822-835,"הנאשם, יליד 1962, הורשע על פי הודאתו בגין האישום הראשון בעבירה של גניבה לפי סעיף 384 לחוק העונשין התשל""ז-1977 (להלן: ""חוק העונשין""), ובגין האישום השני – עבירות שוד מזוין לפי סעיף 402(ב) לחוק העונשין; נשיאת נשק לפי סעיף 144(ב) לחוק העונשין; ונשיאת סכין לפי סעיף 186(א).",א.	פתח דבר
ME-13-09-13822-835,"בגין האישום השלישי הוא הורשע  בביצוע עבירות של שוד מזוין לפי סעיף 402(ב) לחוק העונשין, גרימת חבלה חמורה בנסיבות מחמירות לפי סעיפים 333 ו-335(א)(1) ונשיאת נשק לפי סעיף 144(ב) לחוק העונשין.",א.	פתח דבר
ME-13-09-13822-835,במסגרת האישום הראשון הודה הנאשם כי בתאריך 26.8.13 בסמוך לשעה 10:00 הוא פרץ לדירת מגורים וגנב מתוכה אקדח מסוג ARCTUS שהיה שייך לחברת אבטחה.,א.	פתח דבר
ME-13-09-13822-835,"באישום השני  הודה הנאשם כי שדד בעל בית מלאכה לתכשיטים בתל-אביב עמו הייתה לו היכרות מוקדמת במסגרת עבודה במקום. על פי עובדות כתב האישום הוא התקשר למתלונן וביקש ממנו סיוע כספי השניים קבעו להיפגש בבית המלאכה. במועד המצוין לעיל בסמוך לשעה 18:30 הגיע הנאשם לבית המלאכה כשהוא מצויד באקדח ובסכין. הנאשם שוחח עם המתלונן, וחזר על בקשתו, ולאחר שזה סירב להיענות לדרישתו לתת לו 50 ₪, הוא שלף את האקדח ואיים על המתלונן בדרישה כי ימסור לו סכום הכסף המבוקש.",א.	פתח דבר
ME-13-09-13822-835,"הנאשם שהביא עימו אזיקונים הורה למתלונן לאזוק את עצמו בידיו וברגליו, אך המתלונן לא הצליח לעשות כן. והנאשם אזק אותו בעצמו, וקשר כבל נוסף סביב רגליו. המתלונן הצליח להשתחרר, ובין השניים התפתח מאבק במהלכו היכה הנאשם את המתלונן ""... בין היתר, באמצעות מקלדת, מגירה, וחצובת מצלמה"" כמפורט בסעיף 6ג' לאישום השני, תוך שהוא ממשיך לדרוש ממנו סכומי כסף וזהב. בהמשך, החל הנאשם לאסוף זהב לתוך שקית מהשולחן שבבית המלאכה, וכשהמתלונן ניסה לברוח מהמקום ירה לעברו שלוש יריות שפגעו בדלת ובחלון. הנאשם נמלט מהמקום כשברשותו זהב, תכשיטים, יהלומים ואבנים בשווי של כ-10,000$ ו-1,600 ₪ במזומן אותם נטל משולחן בית המלאכה.",א.	פתח דבר
ME-13-09-13822-835,"כתוצאה ממעשי הנאשם נגרמו למתלונן חבלות באיזור המצח, חתך בקרקפת ובלחיו, נפיחות מתחת לעינו הימנית, וחבלה ביד ימין, כתף שמאל ובגב.",א.	פתח דבר
ME-13-09-13822-835,"האישום השלישי עניינו מעשה שוד דומה שביצע הנאשם בהמשכו של אותו יום בסמוך לשעה 12.00 ברמת-גן כלפי בעל עסק לתכשיטים ויהלומים אשר העסיק אותו בעבר. הנאשם הגיע לעסק ברמת גן לאחר האירוע המתואר באישום השני, ושוחח עם המתלונן במשרדו. הוא איים על המתלונן ודרש ממנו למסור לו יהלומים ותכשיטים. המתלונן החל לברוח והנאשם בא בעקבותיו. כשהמתלונן ניסה לסגור את דלת המשרד ירה הנאשם קליע שחדר את הדלת ופגע בבטנו של המתלונן. בעוד המתלונן שרוע מדמם על רצפת המשרד דרש הנאשם באיומי אקדח מאשתו של המתלונן שנכחה במקום, שתמסור לידיו יהלומים, והיא נענתה לדרישתו. הנאשם נמלט מהמקום כשהוא מורה למתלוננת ללוותו לכיוון היציאה כשבידו יהלומים רבים בשווי של כ-40,000 ₪.",א.	פתח דבר
ME-13-09-13822-835,כתוצאה ממעשי הנאשם נגרם למתלונן קרע נרחב בדופן בטן ימנית.,א.	פתח דבר
ME-13-09-13822-835,"ב""כ המאשימה הגיעה להסדר טיעון עם הנאשם ובאת כוחו, ולפיו תוקן כתב האישום, באופן שאחת מהעבירות בהן הורשע - חבלה בכוונה מחמירה לפי סעיף 329 (א)(1) רישא ו- (א)(2) רישא שהעונש בצידה הוא 20 שנות מאסר הומרה לעבירה של חבלה חמורה בנסיבות מחמירות – עבירה לפי סעיף 333 יחד עם סעיף 335(א)(1) לחוק העונשין, שהעונש בצידה 7 שנות מאסר.",ב.	הסדר הטיעון
ME-13-09-13822-835,"ב""כ הצדדים לא הגיעו להסדר טיעון בעניין העונש.",ב.	הסדר הטיעון
