verdict,text,part,mapped_category
SH-22-05-36033-112,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א, 36א(ב), 37א",nothing,מידע אחר
SH-22-05-36033-112,פקודת התעבורה [נוסח חדש]: סע'  43,nothing,מידע אחר
SH-22-05-36033-112,"חוק העונשין, תשל""ז-1977: סע'  40ג(א), 40ג(ב), 40ד, 40ה, 40ו, 40ז, 40ח, 40יא, 40 יט",nothing,מידע אחר
SH-22-05-36033-112,"ב-7.3.23 הוצג בפני כב' הש' משעלי-ביטון הסדר, במסגרתו הודה הנאשם בעובדות כתב האישום המתוקן (להלן: כתב האישום) והורשע ב-3 עבירות סחר בסמים מסוכנים, לפי סעיפים 13 ו-19א ל-פקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: פקודת הסמים) ו-הסתייעות ברכב לעבור עבירה, לפי סעיף 43 ל-פקודת התעבורה [נוסח חדש] (להלן: פקודת התעבורה).","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"בהתאם לעובדות כתב האישום, במשך תקופה עובר ליום 30.3.22 התנהל במרשתת, באמצעות יישומון ""טלגרם"" (להלן: טלגרם), סחר בסמים מסוכנים.","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"השוטרים יאיר דניאל (להלן: דניאל), משה דיין (להלן: דיין) וללה בוברוב (להלן: בוברוב) נשלחו לביים עסקאות כדי לחשוף עברייני סמים. דניאל עשה שימוש בטלפון נייד בשם ""Matan Eliyahu"" ויצר קשר באמצעות הטלגרם עם היוזר ""ZEUS"" משתמש העונה לשם @zeuskush (להלן: זאוס), תוך הצגת כתובת מגורים ברחוב משה ברזני 23, קריית גת (להלן: רחוב ברזני). דיין עשה שימוש בטלפון נייד בשם ""Maor Moshe"" ויצר קשר באמצעות הטלגרם עם היוזר ""פול החייזר OG"" משתמש העונה לשם @paultheOgallen (להלן: פול), תוך הצגת כתובת מגורים במתחם סטודנטים בקיבוץ ברור חיל (להלן: ברור חיל). בוברוב השתמשה בטלפון נייד בשם ""Yael Elayev"" ויצרה קשר בטלגרם עם זאוס, תוך הצגת כתובת מגורים בקיבוץ שדה יואב (להלן: שדה יואב).","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"במועדים הרלוונטיים לכתב האישום החזיק הנאשם שני טלפונים ניידים ועשה שימוש ברכב מסוג סקודה אוקטביה, לוחית זיהוי 35-163-53 (להלן: הסקודה).","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"בהתאם לעובדות האישום הראשון – ב-3.4.22, סמוך ל-15:44, יצרה בוברוב קשר עם זאוס באמצעות הטלגרם, במסגרתו תואמה רכישת 5 גרם תמורת 300 ₪. לבקשת זאוס, בוברוב שלחה תצלום עמוד פייסבוק, צילום תעודת זהות, סרטון וידאו בו ציינה תאריך ושעה, ואת כתובתה ומספר הטלפון. בהמשך, בין השעות 16:39-16:20, או בסמוך לכך, התקשר הנאשם ממכשיר הטלפון הראשון אל בוברוב ועדכן אותה לגבי מועד ההגעה לשדה יואב. בוברוב הכווינה את הנאשם לנקודת המפגש, ניגשה לסקודה מצד חלון הנהג, הנאשם מסר לה שקית שקופה שהכילה 3 גרם נטו קנבוס תמורת 200 ₪ (בעובדות כתב האישום נרשם פעם אחת סכום 300 ₪ ופעם נוספת 200 ₪. לצורך גזר הדין הסכום הנמוך הוא הקובע).","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"בהתאם לעובדות האישום השני – ב-3.4.22, סמוך ל-16:19 יצר דניאל קשר עם זאוס באמצעות הטלגרם, במסגרתו תואמה רכישת 5 גרם תמורת 300 ₪. לבקשת זאוס דניאל שלח תצלום עמוד פייסבוק, צילום תעודת זהות, סרטון וידאו בו ציין תאריך ושעה ואת כתובתו ומספר הטלפון. בהמשך, בין השעות 18:15-17:40 או בסמוך לכך, התקשר הנאשם מהטלפון הראשון אל דניאל ועדכן אותו במועד הגעתו לרחוב ברזני. סמוך ל-18:15 הגיע הנאשם בסקודה לרחוב ברזני והתקשר אל דניאל, שניגש אל הסקודה מכיוון דלת הנוסע. הנאשם, שישב במושב הנהג, מסר לדניאל שקית שהכילה 4.78 גרם קנבוס, תמורת 300 ₪.","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
SH-22-05-36033-112,"בהתאם לעובדות האישום השלישי – ב-30.3.22, סמוך ל-15:09, דיין יצר קשר עם פול באמצעות הטלגרם, במסגרתו תואמה רכישת 10 גרם תמורת 500 ₪.","כתב האישום, הסדר הטיעון, הכרעת הדין והשתלשלות ההליך",עובדות המקרה
