verdict,text,part,mapped_category
ME-13-02-28360-614,"חוק העונשין, תשל""ז-1977: סע'  40 ב, 144(ב), 275, 40 יג(א)",nothing,מידע אחר
ME-13-02-28360-614,פקודת התעבורה [נוסח חדש]: סע'  10(א),nothing,מידע אחר
ME-13-02-28360-614,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2",nothing,מידע אחר
ME-13-02-28360-614,"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  26(2)",nothing,מידע אחר
ME-13-02-28360-614,"הנאשם הורשע על פי הודאתו, לאחר הסדר טיעון לעניין תיקונו של כתב האישום, בכתב אישום מתוקן בעבירות של נשיאת נשק, הפרעה לשוטר במילוי תפקידו, עבירות לפי סעיפים  144(ב) רישא+סיפא ו- 275 לחוק העונשין, התשל""ז- 1977 וכן בעבירה של נהיגה ללא רישיון, עבירה לפי סעיף 10(א) לפקודת התעבורה [נוסח חדש], התשכ""א- 1961, נהיגה ללא ביטוח, עבירה לפי סעיף 2 לפקודת ביטוח רכב מנועי, התש""ל- 1970 ובעבירה של נהיגה תחת השפעת משקאות משכרים- עבירה לפי תקנה 26(2) לתקנות התעבורה, התשכ""א- 1961.",רקע,עובדות המקרה
ME-13-02-28360-614,אין הסדר לעניין העונש.,רקע,מידע אחר
ME-13-02-28360-614,"על פי עובדות כתב האישום המתוקן, ביום 7/2/13 שאל הנאשם מגיסו את רכבו ונהג ברכב במספר הזדמנויות, על אף שמעולם לא היה ברשותו רישיון נהיגה וכשהוא נוסע ללא ביטוח תקף. בתאריך 9/2/13 נהג הנאשם ברכב כשלצדו ישב חברו הלאל אבו זעילה, כשהלאל נושא עמו ברכב אקדח ותחמושת. הנאשם נהג ברכב לאחר ששתה משקאות אלכוהוליים משכרים. הנאשם והלאל עצרו את הרכב ברהט, הלכו לצריף הנמצא בקרבת מקום ושם הלאל אחז באקדח וירה בו שלוש יריות באוויר. השניים עזבו את המקום לאחר שדייר השכונה צעק לעברם. צוות משטרה שקיבל דיווח על הירי, איתר את הרכב בו נסעו הנאשם והלאל וסימן להם לעצור באמצעות הסירנה והכריזה. הנאשם והלאל לא צייתו להוראת השוטרים לעצור והחלו להימלט בנסיעה מהירה בתוך העיר רהט. ניידת משטרה עם אורות כחולים דולקים עצרה בקרבת מקום באופן שהיא חוסמת את נתיב הנסיעה במטרה לעצור את הרכב. הרכב נסע לכיוון הניידת, עקף אותה תוך נסיעה על המדרכה והשניים המשיכו להימלט בנסיעה מהירה כשהניידת דולקת בעקבותיהם ומורה להם לעצור. לבסוף הרכב נעצר והנאשם והלאל יצאו מתוכו וברחו בריצה.",רקע,עובדות המקרה
ME-13-02-28360-614,"ב""כ המאשימה בטיעוניו לעונש טען למתחם ענישה שנע בין 18 ל-36 חודשי מאסר כשהוא סבור שבמקרה זה יש להשית על הנאשם עונש של 24 חודשים. לצד עונש זה מבוקש גם שיושת עונש מאסר על תנאי, קנס, פסילה בפועל ופסילה על תנאי. לטענתו, מעשי הנאשם פגעו פגיעה קשה בערך חברתי חשוב והוא בטחון הציבור בישראל. עבירות הנשק הן עברות בעלות השלכות חמורות, במיוחד בשנים האחרונות, כאשר עבריינים עושים שימוש תכוף בנשק חם כדי לבצע עבירות.  הנאשם וחברו אחזו בנשק והחבר ירה מספר יריות שהיוו סיכון לפגיעה באזרחים תמימים. ב""כ המאשימה ביקש שלא לאמץ את המלצות תסקיר המבחן. באשר לעבירות התעבורה, סבור ב""כ המאשימה, כי לא רק שהנאשם נסע ללא רישיון נהיגה וללא ביטוח, הוא גם נסע תחת השפעת משקאות משכרים, דבר המהווה סיכון רב למשתמשי הדרך ולכלל הציבור.",רקע,טיעוני הצדדים
ME-13-02-28360-614,"ב""כ הנאשם בטיעוניו לעונש טען, כי הנאשם היה עצור במשך למעלה מחודש ומאז הוא משוחרר בערובה בתנאים מגבילים. כמו כן, ב""כ הנאשם טען, כי הנאשם הפקיד 10,000 ש""ח לקופת בית המשפט בהליכי המעצר אשר יועברו לטובת קנס במידה ויושת על הנאשם. לטענתו, תיקון כתב האישום הביא להקלה משמעותית בחלקו של הנאשם שעתה לא מיוחסת לו, עבירה של יריות באזור מגורים ועבירת נשיאת הנשק הצטמצמה בהיקפה. מה גם שכאשר המשטרה עצרה את הנאשם לא נמצא ברשותו נשק או תחמושת וגם לא ברכבו. הנאשם מרגע מעצרו שיתף פעולה עם המשטרה. ב""כ הנאשם סבור, כי העבירות אינן מצדיקות מאסר בפועל בהתחשב גם בכך שהנאשם צעיר, ללא עבר פלילי ושנסיבות האירוע חריגות בנוף חייו. ב""כ הנאשם מבקש שיושת על הנאשם מאסר קצר שירוצה בעבודות שירות.",רקע,טיעוני הצדדים
ME-13-02-28360-614,"מתסקיר שירות המבחן שהוגש בעניינו של הנאשם, עולה כי הנאשם בן 23 גדל ברהט וסיים 12 שנות לימוד. לאחר סיום לימודיו עבד בעבודות מזדמנות ולאחר מכן עבד במרכול עד למעצרו. הנאשם התארס תקופה קצרה לפני מעצרו בתיק זה. בהתייחסות לעבירה דנן, השירות התרשם, כי הנאשם נטל אחריות חלקית על ביצועה וטשטש את נסיבות מעורבותו בה, למעט נשיאת הנשק. הנאשם הביע תחושה של צער וחרטה שחווה בעקבות מעורבות בעבירה ובעיקר לנוכח השלכות התנהלות ההליך המשפטי עליו ועל רקע זה הוא מכיר בחומרת התנהגותו. מבחינת גורמי שיקום, סבר השירות, כי הנאשם הצליח להתמיד במסגרות עבודה, זכה לתמיכה משפחתית וחברתית ולהערכת השירות ההליך המשפטי המחיש לו את חומרת מעשיו והיווה עבורו גורם מרתיע מהמשך מעורבות בפלילים. לאור האמור ולאור כך שחשיפתו לגורמים עבריינים בכלא עלולה להרע עמו, בא שירות המבחן בהמלצה להשית על הנאשם עונש מאסר שירוצה בדרך של עבודות שירות וכן עונש מאסר מותנה.",רקע,תסקיר שירות מבחן
