part_number,verdict,text,part,predicted_category
1,SH-23-02-41988-839,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א)(ג), 13, 19א",nothing,מידע אחר
2,SH-23-02-41988-839,פקודת התעבורה [נוסח חדש]: סע'  43,nothing,מידע אחר
3,SH-23-02-41988-839,"חוק העונשין, תשל""ז-1977: סע'  40ד'",nothing,מידע אחר
4,SH-23-02-41988-839,"הנאשמת הורשעה על-פי הודאתה בביצוע עבירות של סחר בסמים, לפי סעיף 13 ו-19א לפקודת הסמים המסוכנים; החזקת סם שלא לצריכה עצמית, לפי סעיפים 7(א)(ג) רישא לפקודה ובהסתייעות ברכב לעבור עבירה, לפי סעיף 43 לפקודת התעבורה. מכתב האישום עולה כי ביום 2.2.2023 תיאמה עסקה עם אחרת באמצעות יישומון ""טלגרם"". היא הגיעה ברכבה למקום העסקה ומכרה ללקוחה מעט פחות מגרם קטמין שהוא סם מסוכן, תמורת 350 ₪. הנאשמת נתפסה בכף כשברכבה נמצאו 17 יחידות סם MDMA מחולק לשקיות, MDMA במצב נוזלי במשקל 6.9 גרם, קוקאין במשקל 14.85 גרם וקטמין במשקל 2.8 גרם. כמו כן נתפס בחזקתה כסף מזומן בסך 5,950 ₪ וכן נמצאו שלושה טלפונים ניידים.",כתב האישום בו הודתה הנאשמת,עובדות המקרה
5,SH-23-02-41988-839,"הנאשמת הייתה עצורה במסגרת חקירה מיום 2.2.2023 ועד ליום 12.2.2023 עת שוחררה בתנאים שנמשכו לאחר שהוגשו כתב האישום יחד עם בקשה להותרת התנאים המגבילים על כנם עד לתום ההליכים. הנאשמת הייתה נתונה במעצר בית מלא עד ליום 19.4.2023, עת הוקלו התנאים והתאפשרו יציאות בפיקוח, ובהמשך לאחר הכרעת הדין הפחתתי את התנאים למעצר בית לילי. יצוין, כי רכבה של הנאשמת הוחזר לה תמורת הפקדה בסך 5,000 ₪ (ה""ת 71328-03-23, החלטה מיום 5.7.2023) שהוסכם על חילוטם בתום ההליך. הנאשמת הודתה בכתב האישום המקורי ללא הסכמה עונשית ונשלחה לשירות המבחן.",מהלך הדיון,עובדות המקרה
6,SH-23-02-41988-839,"בעניינה של הנאשמת הוגש תסקיר אחד לעונש. מהתסקיר עולה, כי הנאשמת כבת 23, רווקה ומתגוררת עם משפחתה החרדית מרובת הילדים ביישוב חרדי. כיום היא עובדת בשתי עבודות בתחום החינוך. היא סיימה 12 שנות לימוד במסגרות חרדיות ללא בגרות, ולאחר מכן למדה תחומים שונים, אך לא התמידה בלימודיה ושינתה את מסלול הלימודים מעת לעת. כיום היא במצוקה כלכלית בשל חובות שצברה, בין היתר בשל רכישת רכבה. שירות המבחן מעריך כי נסיבות גדילתה של הנאשמת בתנאי מחסור והזנחה יחסיים הם העומדים בבסיס התנהלותה, לרבות זו הכלכלית. הנאשמת שולבה בצו פיקוח מעצרים במסגרתו שולבה בטיפול. היא שיתפה וממשיכה לשתף פעולה באופן מלא עם הטיפול, וקיבלה אחריות מלאה למעשיה. היא הופנתה למרכז המסייע בתחום הלימודי וכן תופנה להכוונה בתחום ההתנהלות הכלכלית. שירות המבחן התרשם מצעירה חזקה ובעל כוחות תפקודיים טובים מאוד שהאירוע אינו מלמד על אופייה הטוב. נוכח קבלת האחריות ושיתוף הפעולה, והרקע ממנו מגיעה הנאשמת, המליץ שירות המבחן על הטלת של""ץ בהיקף 300 שעות וכן צו מבחן. שירות המבחן ציין כי אם יוטלו על הנאשמת עבודות שירות לא יתאפשר לה להשתלב בטיפול בתחום התעסוקתי ובתחום ההתנהלות הכלכלית.",תסקיר שירות המבחן,תסקיר שירות מבחן
7,SH-23-02-41988-839,"הצדדים לא הגיעו להסכמה עונשית.  מחד גיסא, ב""כ המאשימה עתר להטיל על הנאשמת  עונש בתחתית מתחם שבין 8 ל-18 חודשי מאסר נוכח חומרת הנסיבות ותוך שקלול התסקיר החיובי בעניינה. מאידך גיסא, ב""כ הנאשמת סבר שנוכח כברת הדרך שעברה הנאשמת, יש לאמץ את המלצת שירות המבחן. הנאשמת סיפרה לי, טרם מתן גזר הדין, כי בזכות ההליך ובזכות מעורבות שירות המבחן, למדה, לראשונה בחייה, לבקש עזרה. כמו כן סיפרה כי היום ממש, אמורה להתחיל את הקשר עם מנטורית בעניין התנהלות כלכלית.",טיעונים לעונש,טיעוני הצדדים
8,SH-23-02-41988-839,"מתחם הענישה צריך להתייחס לעקרון ההלימה, הנוגע ליחס לערך החברתי המוגן, מידת הפגיעה בו, נסיבות ביצוע העבירה ומידת אשמו של הנאשם, ומדיניות הענישה.",קביעת מתחם הענישה,דיון והכרעה
9,SH-23-02-41988-839,"אשר לערכים המוגנים, במעשיה פגעה הנאשמת בערכים המוגנים של בריאות הציבור וביטחונו במידה בינונית.",קביעת מתחם הענישה,דיון והכרעה
10,SH-23-02-41988-839,"אשר לנסיבות הקשורות בביצוע העבירה, בין הנסיבות הקשורות בביצוע העבירה יש לשקול את אלה, לעניין קביעת המתחם: מדובר בעבירה מתכוננת שבוצעה מתוך רצון להשיג רווח כספי נוכח מצוקה כלכלית. מדובר במניעים שאין בהם להצדיק את העבירה אשר נסיבותיה אינן קלות נוכח טיבם המסוכן של הסמים, כמותם וסוגם המגוון. בפועל נגרם נזק מוגבל נוכח העסקה האחת שיצאה לפועל והנזק הפוטנציאלי גדול, אך לא מומש משום שהנאשמת נתפסה בכף. היא אחראית באופן מלא למעשיה.",קביעת מתחם הענישה,דיון והכרעה
