verdict,text,part
SH-23-01-61720,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7 (א), 7(ג)",nothing
SH-23-01-61720,"חוק העונשין, תשל""ז-1977: סע'  40ד'(א)",nothing
SH-23-01-61720,"הנאשם, יליד 1977, הודה והורשע על בסיס הודאתו ובמסגרת הסכמה דיונית, בעבירה של החזקת סמים שלא לשימוש עצמי לפי סעיף 7 (א)+7(ג) רישא לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג-1973.",כללי
SH-23-01-61720,"בהתאם לעובדות כתב האישום המתוקן, ביום 20.5.2021, בשעה 19:46 לערך, בתל אביב, החזיק הנאשם ברכב שבחזקתו ובשימושו בשקית שמכילה סם מסוג קוקאין במשקל נטו של 2.9374 גרם ובשקית נוספת שמכילה סם מסוג קוקאין במשקל נטו של 1.9883 גרם.",כללי
SH-23-01-61720,"ההסכמה בין הצדדים לא כללה הסכמה לעניין העונש שראוי שיוטל עליו בסופו של יום, למעט הסכמה כי הנאשם יופנה לעריכת תסקיר שירות מבחן עבורו. לשם שלמות התמונה יצוין כי כתב האישום המקורי הוגש כנגד שני נאשמים, כאשר במסגרת ההסכמה, נמחק נאשם 2 מכתב האישום.",כללי
SH-23-01-61720,"מתסקיר שירות מבחן מיום 16.4.24, עולה כי הנאשם, בן 47, נשוי ואב לארבעה ילדים. החל לעבוד בגיל 15 ובעשרים השנים האחרונות עובד כמנהל סניף חנות רהיטים. הנאשם הציג לשירות המבחן מסמכים רפואיים מהם עולה מצבו הרפואי וכאבים כרוניים מהם סובל, על רקע כך צורך קנאביס רפואי. תיאר שלא שיתף את משפחתו ובת זוגו בנוגע להליך הפלילי המתנהל נגדו, עד לרגע מעצרו.",תסקיר שירות המבחן וחוות דעת ממונה
SH-23-01-61720,"שיתף שתחילה כעסה והתרחקה, אולם כיום תומכת ומלווה. הביע חרטה על הצער שגרם לה ועל העבירה שביצע. תיאר כי ברקע לביצוע העבירה שרר בארץ משבר הקורונה ובעקבותיו היה שרוי בבעיות כלכליות, תחושות שעמום ואבטלה וחבר לחברה שולית ובהמשך העמיק שימושו בסם הקנאביס והקוקאין. תיאר כי ביום ביצוע העבירה רכש כמות גדולה יותר של סם לצורך מפגש חברתי שתוכנן. תיאר את המעצר כחוויה מטלטלת עבורו, אשר במהלכו הפסיק את השימוש בסם מרצונו. הנאשם הבין את חומרת התנהלותו והמחירים ששילם בעקבותיה. כיום הנאשם נוטל קנאביס ברישיון בכדי להקל על כאביו, דבר שאושש בבדיקה שבוצעה לו, משם עלה כי משתמש בקנאביס בכמות המותרת ברישיון. שירות המבחן התרשם מאדם בעל אורח חיים נורמטיבי, כוחות ויכולות ומסגרת משפחתית תומכת. עוד התרשם מנטילת אחריות ומכך שההליך המשפטי היווה גורם מרתיע שהביא לשינוי אורחות חייו. יחד עם זאת, התרשם שירות המבחן מקשיים להעמיק בנסיבות שימוש הסם ובדפוסי התנהגותו שהובילו אותו לשימוש. שירות המבחן העריך נזקקות טיפולית בתחום השימוש בסמים שיוכל להוות גורם מפחית סיכון להישנות עבירות. הנאשם מצדו, הביע הכרה בדפוסים ונכונות לשתף פעולה עם גורמי הטיפול. לבסוף, המליץ שירות המבחן על דחייה למשך כשלושה חודשים במהלכה תיבחן אפשרות הטיפול.",תסקיר שירות המבחן וחוות דעת ממונה
SH-23-01-61720,"מתסקיר שירות מבחן מיום 14.7.24, עולה כי בתקופת הדחייה, הנאשם שיתף פעולה באופן מלא עם שירות המבחן, הגיע לכלל הפגישות ומסר בדיקות שתן באופן רציף. עוד העמיק היכרות סביב דפוסי השימוש בחומרים פסיכו אקטיביים ושירות המבחן התרשם, שהנאשם לא סובל מבעייתיות בתחום ההתמכרות, שהשימוש סביב ביצוע העבירה היה נסיבתי וכיום אינו זקוק לטיפול בתחום זה. שירות המבחן חזר על התרשמותו לפיה הנאשם בעל יכולות לתפקוד תקין, מנהל אורח חיים נורמטיבי ויציב וכיום מצליח להתבונן באופן ביקורתי על התנהגותו ומקבל אחריות על בחירותיו. שירות המבחן ציין כי כיום פחת הסיכון להישנות ביצוע עבירות דומות בעתיד והמליץ על הטלת צו של""צ למשך שנה על מנת לאפשר לנאשם תפקוד תעסוקתי תקין ויכול להוות לטעמם, חלופת ענישה חינוכית ושיקומית שתבוצע למען אוכלוסייה נזקקת. שירות המבחן אף גיבש תכנית של""צ בהיקף של 300 שעות במסגרת בית תמחוי ""בית אליהו"" בתפקיד חלוקת מזון וסיוע לצוות.",תסקיר שירות המבחן וחוות דעת ממונה
SH-23-01-61720,"מחוות דעת ממונה מיום 10.9.24, עולה כי הנאשם כשיר לביצוע עונש בדרך של עבודות שירות במגבלות.",תסקיר שירות המבחן וחוות דעת ממונה
SH-23-01-61720,"ב""כ המאשימה, הפנתה לעובדות כתב האישום, לסוג הסם ומשקלו. לערכים המוגנים שנפגעו: שלום הציבור; בריאות הציבור וביטחונו. התייחסה לפוטנציאל הנזק שבעבירות הסמים, הפצתם, היכולת להרוויח כסף ולצורך במיגורם. המאשימה עתרה למתחם ענישה שמתחיל מ-6 חודשי מאסר שניתן לרצות בעבודות שירות ועד 18 חודשי מאסר ולביסוס עתירתה הפנתה לפסיקה. לאור נסיבותיו האישיות והעדר עבר פלילי, ביקשה המאשימה למקם את הנאשם בתחתית מתחם הענישה ולהטיל על הנאשם 6 חודשי מאסר שניתן לרצות בעבודות שירות, מאסר מותנה, קנס ופסילה על תנאי.",טיעוני הצדדים
