verdict,text,part
SH-21-10-30884-544,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א)(ג), 13, 19א",nothing
SH-21-10-30884-544,"הנאשם הורשע על פי הודאתו בביצוע שלוש עבירות סחר בסמים מסוכנים, לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים ובעבירה של החזקת סם שלא לצריכה עצמית, לפי סעיפים 7(א)(ג) רישא לפקודת הסמים.",כתב האישום בו הודה הנאשם
SH-21-10-30884-544,"מכתב האישום עולה, כי בתאריכים 12.9.2021, 13.9.2021 ו-3.10.2021 סחר הנאשם בקנביס מול שלושה שוטרים סמויים שונים. בשתי העסקאות הראשונות תואמו עם הנאשם טלפונית ובמסגרתן מכר בכל אחת מהן לשני השוטרים קנביס במשקל כ-10 גרם תמורת 600 ₪ בכל פעם. בעסקה השלישית  מכר הנאשם לשוטר שלישי 100 גרם קנביס תמורת 3,400 ₪ ובהזדמנות זו נתפס בכף ונעצר כשבחזקתו גם סם קנביס במשקל 2.98 גרם.",כתב האישום בו הודה הנאשם
SH-21-10-30884-544,"הנאשם נעצר ביום 3.10.2021, וכתב האישום עם בקשה למעצר תום הליכים הוגשו ביום 13.10.2021. לאחר שהוזמן בעניינו תסקיר מעצר, שוחרר הנאשם למעצר בית מלא ביום 20.12.2021. לאחר מכן הוקלו התנאים מעת לעת.",מהלך הדיון
SH-21-10-30884-544,"בעניינו של הנאשם הוגשו שני תסקירים לעונש, ממרץ 2023 ומינואר 2024. מהתסקירים עולה כי הנאשם כבן 34, רווק, כיום עובד וסועד את אמו שחלתה בסרטן. אביו נפטר ממחלה כשהיה בגיל עשרה וחוויות אלו השפיעו עליו. ילדותו היתה מורכבת ומאתגרת והוא התדרדר לביצוע עבירות, בין היתר על רקע חשיפה לסמים כבר מגיל העשרה, ואף לסמים קשים. בשל מעורבותו בפלילים הנאשם לא גויס לצה""ל. יחד עם זאת לאורך השנים שמר על יציבות תעסוקתית. הנאשם טופל במסגרת תיק זה הן ביחידה להתמכרויות בטיפולים פרטניים והן במסגרת טיפול קבוצתי שלא הושלם. בנוסף הנאשם מסר בדיקות שתן, שלמעט שתיים, היו כולן נקיות משרידי סמים. שירות המבחן התרשם מדפוסי ניתוק קשר של הנאשם עם התהליך הטיפולי בעת שחש משבר, בעיקר על רקע כלכלי וחברתי. עם זאת הנאשם גילה כוחות ותובנות וברמה ההצהרתית טען, כי מעוניין בהמשך הטיפול. עוד צוין בתסקירים, כי הנאשם פועל כיום להסדרת חובותיו, שחלקם צבר בשוק האפור, וזאת במסגרת הליך חדלות פירעון. בסופו של יום, בשל מורכבות נסיבותיו של הנאשם ומאפייניו, לא בא שירות המבחן בהמלצה טיפולית, והמליץ על הטלת מאסר בעבודות שירות תוך הימנעות מהטלת מאסר בפועל, שלדבריו, עלול לדרדר את הנאשם.",תסקירי שירות המבחן
SH-21-10-30884-544,"הממונה הגיש חוות דעת על אודות כשירות הנאשם לבצע מאסר בעבודות שירות. מחוות הדעת עולה, כי הנאשם נמצא כשיר לבצע עבודות שירות ב""מפעל חיים ירושלים"" החל מיום 1.4.24.",חוות הדעת של הממונה על עבודות השירות
SH-21-10-30884-544,"רישום פלילי - לנאשם 4 הרשעות קודמות, הראשונה עוד מהיותו נער בשנת 2004 בגין עבירות אלימות בגינן הוטלו עליו מאסר מותנה, קנס ופיצוי. הרשעותיו האחרות בעבירות סמים, והוא ריצה עונשים של עבודות שירות. הרשעתו האחרונה משנת 2012 בגין עבירת סמים משנת 2011.",ראיות לעונש
SH-21-10-30884-544,"מטעם הנאשם הוגשו מסמכים המעידים על מחלת אמו, לה מאחל בית המשפט רפואה שלמה והחלמה מהירה. עוד עולה מהמסמכים כי הנאשם סועד את אמו ועושה זאת בתדירות יומיומית.",ראיות לעונש
SH-21-10-30884-544,"הצדדים לא הגיעו להסכמה עונשית.  מחד גיסא, ב""כ המאשימה עתר לשני מתחמים שבין 4 ל-12 חודשי מאסר לכלל עבירות הסחר ולעבירת ההחזקה שלא לצריכה עצמית ועתר להטיל על הנאשם עבודות שירות בהיקף 8 חודשים וענישה נלווית. מאידך גיסא, ביקש הסניגור להסתפק בתקופה קצרה יותר של מאסר בעבודות שירות נוכח מכלול הנסיבות שתוארו על ידו תוך הפניה לפסיקה.",טיעונים לעונש
SH-21-10-30884-544,"מתחם הענישה צריך להתייחס לעקרון ההלימה, הנוגע ליחס לערך החברתי המוגן, מידת הפגיעה בו, נסיבות ביצוע העבירה ומידת אשמו של הנאשם, ומדיניות הענישה.",קביעת מתחם הענישה
