verdict,text,part
ME-23-02-6462-513-5,"חוק המאבק בטרור, תשע""ו-2016: סע'  28.א.3., 28.א.4, 38(ג)(1)",nothing
ME-23-02-6462-513-5,"חוק העונשין, תשל""ז-1977: סע'  29, 144(ב), 301.א.11, 301א(10), 11, 301א(א)(1), 10, 11, 340א(א), 40 יא', 499(א)(1)",nothing
ME-23-02-6462-513-5,"חוק למניעת הסתננות (עבירות ושיפוט), תשי""ד-1954: סע'  4",nothing
ME-23-02-6462-513-5,"הנאשם 2 (להלן גם : הנאשם), יליד 1994 ותושב היישוב מועאוויה, הורשע על פי הודייתו בעבירות ביטחון שעיקרן קשירת קשר למעשה טרור של ביצוע רצח בנסיבות מחמירות, וכן הכנה למעשה טרור של רצח בנסיבות מחמירות, והכל בנוגע לתוכנית שקשר עם הנאשם האחר בכתב האישום ומטרתה הייתה רצח חיילים. הרשעת הנאשם הייתה במהלך שמיעת הראיות ולאחר שהצדדים הודיעו על הסדר טיעון במסגרתו תוקן כתב האישום. ההסדר לא כלל הסכמות עונשיות.",כללי
ME-23-02-6462-513-5,"בהליך הועמדו לדין שני נאשמים – הנאשם שלפנינו וכן נאשם נוסף שהוא הנאשם 1, יליד 1998 ותושב מועאוויה אף הוא. ההליך כנגד הנאשם 1 ממשיך להתנהל, ולכן נבהיר כי חרף אזכור הנאשם 1 בגזר הדין, אין בכך כל קביעה משפטית בעניינו וברור מאליו כי עומדת לו חזקת החפות. במילים אחרות, גזר הדין מבחינה משפטית ומכל בחינה אחרת נוגע וקובע קביעות אך ורק בנוגע לנאשם 2.",כללי
ME-23-02-6462-513-5,"כתב האישום המתוקן כלל שני אישומים הנוגעים לנאשם (אישום 1 ואישום 2), אך כחלק מהסדר הטיעון הבהירה המאשימה כי לא תבקש להוכיח את עובדותיו של האישום השני ולכן הוא זוכה מהמיוחס לו באישום זה.",כללי
ME-23-02-6462-513-5,"בחלק המבוא של כתב האישום המתוקן צוין כי בין הנאשמים הייתה במועדים הרלוונטיים היכרות מוקדמת.  החל מחודש 9/2022 היה הנאשם 1 חבר בקבוצות שונות בטלגרם בהן הוא נחשף לתוכן המזוהה עם ארגוני הטרור חמאס והג'יהאד האסלאמי ואשר כלל הצהרות של הארגונים, תכני תמיכה בשהידים וכן תכני חדשות ותכנים לאומניים פלסטיניים.",עיקרי כתב האישום המתוקן
ME-23-02-6462-513-5,"ביום 7.9.22 פנה אל הנאשם 1 פעיל חמאס אשר כינה עצמו ""פג'ר"" באמצעות הפייסבוק והציג עצמו כתושב רצועת עזה. פג'ר עשה זאת במטרה לגייס את הנאשם 1 לפעילות הארגון. במסגרת השיחה לעיל ביקש פג'ר מהנאשם 1 שיסייע ""להם"" וכן ביקש ממנו להמשיך את התקשורת ביניהם באפליקציית טלגרם המאובטחת יותר. עוד ביקש פג'ר מהנאשם 1 לפתוח חשבון בכינוי ""חמיס"" והבטיח שתמורת הסיוע שלו יועברו לו סכומי כסף גדולים ויהיה לנאשם 1 ""מעמד גדול"". בהמשך לאמור לעיל, ביקש פג'ר מהנאשם 1 לתקשר עמו באפליקציות מאובטחות יותר והנאשם 1 עשה כן והמשיך לשוחח עם פג'ר במספר הזדמנויות, במהלכן אמר פג'ר לנאשם 1 כי יציג לו את הממונה עליו המכונה ""נאצר"" (נאצר ופג'ר יכונו להלן גם פעילי החמאס). בהמשך, במהלך חודש 10/22, התנהלה שיחה טלפונית משולשת בין הנאשם 1, פג'ר ונאצר, במהלכה נאמר לנאשם 1 מפורשות כי השניים פעילים בגדודי עז-אלדין אלקסאם של החמאס. הנאשם 1 המשיך את הקשר עם פג'ר ונאצר גם בהמשך. בשלב מסוים במהלך השיחות לעיל, שאל הנאשם 1 כיצד יוכל לסייע, ובתגובה פג'ר ונאצר ביקשו מהנאשם 1 לבצע פיגוע במהלכו הנאשם 1 יניח מטען נפץ אותו יקבל, במקום עמוס באזרחים יהודים, ביום הבחירות לכנסת במהלך חודש נובמבר 2022. הנאשם 1 הסכים לכך.",עיקרי כתב האישום המתוקן
ME-23-02-6462-513-5,"במסגרת הקשר לעיל לביצוע הפיגוע, ביקש נאצר מהנאשם 1 לאתר אדם נוסף עליו ניתן לסמוך ואשר יוכל לסייע בביצוע הפיגוע. בהמשך לכך ועובר ליום 2.10.22 פנה הנאשם 1 אל הנאשם 2, שיתף אותו בתוכנית הקשר והציע לו להצטרף אליו למימוש התוכנית. הנאשם 2 הסכים לבקשתו של נאשם 1. בהמשך לאמור לעיל, הציע הנאשם 2 לנאשם 1 כי השניים יתקשרו לפעילי החמאס ""פג'ר"" ו""נאצר"", עוד בטרם נאשם 1 יציג לפני השניים את נאשם 2, וזאת על מנת לבחון את רצינותם וכדי לוודא שאכן מדובר בפעילי חמאס ולא בסוכני שב""כ. בהמשך לכך, עובר ליום  2.10.22 התקשר הנאשם 1 אל פעילי החמאס בנוכחות נאשם 2. במהלך השיחה פעילי החמאס חזרו והציגו בפני נאשם 1 את פרטי הקשר לביצוע הפיגוע, והנאשם 2 שמע את האמור, מבלי שנאשם 1 הציגו לפני פעילי החמאס. בשלב מסוים במהלך השיחה ומבלי שפעילי החמאס שמעו, אמר הנאשם 2 לנאשם 1 שיציע לפעילי החמאס לבצע את הפיגוע כנגד חיילים ולא כנגד אזרחים. הנאשם 1 עשה כן, ופעילי החמאס סרבו להצעה ואמרו כי תכניתם היא לבצע פיגוע כנגד אזרחים. בעקבות האמור, נוכח חשדם של הנאשמים כי פג'ר ונאצר אינם רציניים בכוונות להוציא לפועל את הפיגוע, או לחילופין כי מדובר בסוכנים של שירותי הביטחון הכללי, הם החליטו לא לקדם עימם את הקשר לביצוע הפיגוע, אלא לבצע פיגוע כנגד חיילים, בעצמם, כפי שיפורט בהמשך. עם זאת, המשיך הנאשם 1 להיות בקשר עם פג'ר.",עיקרי כתב האישום המתוקן
ME-23-02-6462-513-5,"בהמשך לאמור לעיל, ביום 14.10.22, נסע הנאשם 1 לכפר בורקין ברשות הפלסטינאית ורכש שם תת מקלע. בהמשך, הציג הנאשם 1 את הנשק לנאשם 2 בהיותם סמוך לביתם, והנשק הוחזק ברשות הנאשם 1 בביתו או סמוך לשם. עוד בהמשך רכש הנאשם 1 תחמושת לנשק לעיל, וביום 15.10.22 נסעו הנאשמים יחד לשטח פתוח צפונית לכפר מועאויה כשהנשק והתחמושת ברשותם, ירו בנשק, ולאחר מכן המשיך הנאשם 1 להחזיק את הנשק ברשותו.",עיקרי כתב האישום המתוקן
