verdict,text,part
SH-21-01-16541-529,"חוק העונשין, תשל""ז-1977: סע'  144(א)",nothing
SH-21-01-16541-529,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",nothing
SH-21-01-16541-529,"הנאשם הורשע בהתאם להודאתו במסגרת הסדר טיעון, בעובדות כתב האישום המתוקן, בעבירות כדלקמן:",רקע
SH-21-01-16541-529,"החזקת סמים מסוכנים, לפי סעיף 7(א)+(ג) לפקודת הסמים המסוכנים, התשל""ג-1973 (להלן: ""הפקודה"").","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"על פי כתב האישום המתוקן, עובר לתאריך 23.12.20, החזיק הנאשם בביתו, אשר מתגוררים בו גם בני משפחתו, נשק ותחמושת מהסוגים הבאים:","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,רובה לא תקין (נקירה חלשה) מסוג קראבין ומחסנית מתאימה שהוחבאו בתוך צינור אינסטלציה במחסן הבית.,"החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,רימון יד מאולתר שהוחבא בתוך תנור ישן בתוך מחסן בחצר הבית.,"החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"אקדח תופי מסוג Webley ושישה כדורי אקדח בקוטר תשעה מ""מ, שהוחבאו בתוך תנור ישן בחצר הבית.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"49 כדורים בקוטר תשעה מ""מ, תשעה כדורים בקוטר 7.62 מ""מ, ארבע מחסניות לרובה M16.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"עובר לתאריך 23.12.20, החזיק הנאשם בקומה השלישית של הבית, ובחדר השינה שלו במרתף הבית, קנבוס באריזות שונות, במשקל כולל של 273.19 גרם.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"בהתאם להסדר הטיעון שבין הצדדים, המאשימה עתרה להטיל על הנאשם 54 חודשי מאסר בפועל ורכיבי ענישה נלווים של מאסרים מותנים, קנס, פסילת רישיון נהיגה בפועל ועל תנאי. ההגנה טענה לעונש באופן חופשי.  כן הוגש תסקיר שירות המבחן בעניינו של הנאשם.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"על פי תסקיר שירות המבחן מתאריך 25.11.21 הנאשם רווק, בן 25, התגורר בבית הוריו טרם מעצרו ולא עבד למשך כעשרה חודשים ולפני כן עבד עם אביו בתחום החקלאות לתקופה של שש שנים. כן מסר, כי סיים 12 שנות לימוד וכי במהלך לימודיו החל להשתמש בחשיש.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"הנאשם תיאר חיי משפחה נורמטיביים לאורך תקופה ארוכה, שנגדעה, לטענתו, לפני שנתיים, על רקע נישואיו של אביו לאישה שניה כנגד רצונם של בני משפחתו ואמו. כן מסר כי על רקע בעיות אלו, נוצרו מספר עימותים בינו לבין אביו, אשר לא כללו אלימות פיזית, אך הובילו להפסקת עבודתו. הנאשם מסר, כי מאז החמרת היחסים, אביו הפסיק לפרנס את המשפחה, והוא הפך להיות, בעל כורחו, המפרנס העיקרי. על רקע זה החל גם לסחור בסמים לאחר שלא הצליח להשתלב במסגרת תעסוקתית לאחר פרוץ מגיפת הקורונה.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"הנאשם מסר, כי גם משפחתה של אשתו השנייה של אביו מתנגדת לנישואיהם, ובעקבות זאת, התפתח סכסוך בין המשפחות. הנאשם תיאר מספר מקרי אלימות בין המשפחות, אשר חלקם כללו גם שימוש בנשק חם. הנאשם ציין, כי בעקבות מעצרו, חודש הקשר עם אביו וכיום הם מצויים בקשר קרוב. כן מסר, כי הסכסוך בין המשפחות עודנו קיים.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,נמסר כי הנאשם נעדר עבר פלילי.,"החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"ביחס לשימוש בחומרים משני תודעה, נמסר כי החל להשתמש בהם בגיל 16. הנאשם שיתף, כי מיום מעצרו הפסיק את השימוש בסמים. הנאשם הביע נכונות להשתתפות בטיפול, אך גורמי הטיפול התרשמו כי הבעת נכונותו מונעת מגורמים חיצוניים, כגון שיקולים משפטיים.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"בהתייחס לעבירות, הנאשם מודה בביצוען. הנאשם מסר, כי מספר חודשים עובר למעצרו, על רקע הסכסוך בין המשפחות, התרחש ירי לעבר ביתו.  בעקבות זאת, החליט להסתייע בחבר קרוב ולרכוש ממנו נשק לצורכי הגנה עצמית ונקמה.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"בהערכת הסיכוי לשיקום, שירות המבחן התרשם כי הנאשם בעל תחושת מחויבות ואחריות כלפי בני משפחתו, תפקד לרוב באופן תקין במהלך חייו וללא הרשעות קודמות.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"בהערכת הסיכון לעבריינות, שירות המבחן התרשם, כי הנאשם נמצא בשלב גיבוש זהותו העצמית, ושהה תקופה משמעותית ללא תעסוקה עובר למעצרו, דבר שהיווה עבורו גורם סיכון. ההתרשמות היא, כי הנאשם חבר לגורמים שוליים, החל ברכישת סמים ונשק ומעורב בסכסוך פעיל ומצוי בסיכון להתדרדרות בתחום זה.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"על פי האמור בתסקיר, הנאשם נעדר גבולות פנימיים, ואף מתקשה ליישם גבולות חיצונים כגבולות החוק.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
SH-21-01-16541-529,"נוכח כל האמור לעיל, בשקלול גורמי הסיכוי לצד הסיכוי, שירות המבחן המליץ על ענישה מוחשית והרתעתית בדרך של מאסר בפועל.","החזקת נשק אביזרים ותחמושת, לפי סעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"")."
