verdict,text,part,mapped_category
ME-16-06-64845-657,"חוק העונשין, תשל""ז-1977: סע'  144(ב)",הנאשם: הופיע,מידע אחר
ME-16-06-64845-657,"הנאשם הורשע על פי הודאתו בביצוע עבירות בנשק (נשיאה והובלה), לפי סעיף 144(ב) רישא לחוק העונשין, התשל""ז- 1977 (להלן: ""חוק העונשין""), ועבירות בנשק (תחמושת) לפי סעיף 144(ב) סיפא לחוק העונשין.",רקע,עובדות המקרה
ME-16-06-64845-657,"עובר ליום 22/6/16 הצטייד הנאשם באקדח ובו מחסנית ריקה, ו-11 כדורי רובה בקוטר 9 מ""מ. ביום 22/6/16 הטמין הנאשם את האקדח בתא הכפפות של רכבו, ואת כדורי הרובה החזיק בכיסו. סמוך לשעה 22:30 הגיע הנאשם, לאזור המשתלה בקצה הצפוני של כפר כנא, שם נתפס ע""י השוטרים כשהנשק וכדורי הרובה ברשותו.",רקע,עובדות המקרה
ME-16-06-64845-657,"מתסקיר שירות המבחן עולה, כי הנאשם רווק כבן 24, מכפר כנא. אין לחובתו הרשעות קודמות. באשר לעבירה, סיפר כי יצא ליער לחפש תוכי שאבד לו ומצא נשק. הנאשם לא ידע להסביר בפני שירות המבחן לאיזו מטרה החזיק בנשק. הנאשם שלל שימוש בחומרים פסיכואקטיביים.",תסקיר שירות המבחן ,תסקיר שירות מבחן
ME-16-06-64845-657,"קצין המבחן התרשם מחוסר כנות בדבריו באשר לנסיבות ביצוע העבירה. הנאשם שלל נזקקות טיפולית ושירות המבחן התרשם כי אינו בשל להשתלבות בהליך טיפולי במסגרת השירות. המליץ על ענישה מוחשית בדמות עבודות שירות, לצד מאסר ומותנה מרתיע.",תסקיר שירות המבחן ,תסקיר שירות מבחן
ME-16-06-64845-657,"ב""כ המאשימה טען, כי מדובר בנגע שצריך לגדוע מן השורש. הערך המוגן בו פגע הנאשם הוא שלום הציבור ובטחונו. הנזק הפוטנציאלי הוא המוטיב העיקרי. המאשימה סבורה כי מתחם העונש ההולם נע בין 18-48 חודשי מאסר. ביקש לדחות את גרסת הנאשם כהסבר לנסיבות ביצוע העבירה, אף שירות המבחן התרשם מחוסר כנותו, וגרסתו מהווה זלזול באינטליגנציה. ביקש למקם את עונשו בתוך המתחם, בשליש האמצעי.  בנוסף ביקש להשית עליו מאסר מותנה משמעותי, קנס כספי.",טיעונים לעונש:,טיעוני הצדדים
ME-16-06-64845-657,"ב""כ הנאשם הזכיר לאת הלכת אבו מוך שקבעה מדרג באשר לחומרת עבירות החזקה בנשק, וטען לרף הבינוני, אין מטרה ידועה. המדובר בצעיר בן 24 אשר שירות המבחן התרשם מיכולות לא גבוהות בתחום הקוגניטיבי. סבור כי מתחם העונש ההולם נע בין 6 חודשים בעבודות שרות לבין 20 חודשי מאסר. הנאשם שהה במעצר בין התאריכים 22.6.16 ועד 3.8.16 ומיום 3.8.16 נמצא במעצר בית מלא. במהלך תקופה זו לא נפתחו כנגדו תיקים נוספים. סבור כי מן הראוי להטיל על הנאשם עונש של חצי שנה, שניתן יהא לרצותו בעבודות שרות, מבלי לנכות את תקופת המעצר.",טיעונים לעונש:,טיעוני הצדדים
ME-16-06-64845-657,"בענייננו הורשע הנאשם בנשיאה והובלה של אקדח ותחמושת. המדובר בעבירות המהוות אירוע אחד, קרי תכנית עבריינית אחת ועל כן אקבע מתחם עונש הולם לאירוע כולו.",דיון ומסקנות:,דיון והכרעה
ME-16-06-64845-657,"אין צורך להכביר במילים בדבר חומרת עבירות הנשק בהן הורשע הנאשם, עת פגע במעשיו בערך המוגן של שלום הציבור ותחושת בטחונו מפני פגיעות בגוף ובנפש. בתי המשפט עמדו לא אחת על חומרתן הרבה של עבירות הנשק למיניהן, על פוטנציאל הסיכון הרב הטמון בשימוש בו ועל התוצאות הקשות אשר עלולות להיגרם מביצוען.",א. הערך החברתי שנפגע ומידת הפגיעה בו:,דיון והכרעה
ME-16-06-64845-657,"בע""פ 7502/12 כוויס נ' מדינת ישראל (ניתן ביום 25/06/13) נקבע כי ""עבירות בנשק לסוגיהן מגלמות בתוכן סיכון ממשי לשלום הציבור ולבטחונו, שכן לא ניתן לדעת להיכן יתגלגלו כלי הנשק המוחזקים שלא דין, ואיזה שימוש יעשה בהם בעתיד"".",א. הערך החברתי שנפגע ומידת הפגיעה בו:,דיון והכרעה
ME-16-06-64845-657,"עוד נקבע בע""פ 5833/07 ח'ורי נ' מדינת ישראל (ניתן ביום 18/11/2007) כי ""הניסיון מלמד שנשק אשר מקורו מפוקפק, לאחר שהוא יוצא מידי המחזיק בו, מוצא את דרכו לידיים עברייניות או למפגעים למיניהם, והרי אלה גם אלה כבר הוכיחו כי אין הם מהססים להשתמש בו גם במקומות סואנים, וגם כאשר ברור להם כי עלולים להיפגע מהירי אנשים תמימים שנקלעו לזירה בדרך מקרה..."".",א. הערך החברתי שנפגע ומידת הפגיעה בו:,דיון והכרעה
ME-16-06-64845-657,"בחינת מדיניות הענישה הנוהגת מעלה, כי במקרים דומים הוטלו על נאשמים עונשי מאסר בפועל לתקופות משתנות. הצדדים צירפו פסיקה מטעמם כפי שחלקה תובא להלן :",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ע""פ 4329/10 פלוני נ' מדינת ישראל (ניתן ביום 25/10/10) –החזקת נשק ונשיאתו. שירות המבחן המליץ להסתפק במאסר בעבודות שירות. נגזרו 20 חודשי מאסר, 16 חודשי מאסר על תנאי וקנס בסך 10,000 ₪. צעיר, סטודנט, נעדר עבר פלילי. בית המשפט העליון דחה את ערעורו על חומרת העונש.",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ת""פ 28889-07-14 מדינת ישראל נ' אבו ח'מיס (ניתן ביום 21/09/14) –החזקת נשק ונשיאתו, כניסה, שהייה בלתי חוקית ושימוש במסמך מזויף. בגין עבירת הנשק נגזרו, 24 חודשי מאסר. נקבע מתחם עונש הולם בין 12-36 חודשי מאסר. צעיר בעל עבר פלילי שאינו מכביד.",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ת""פ 13401-03-12 מדינת ישראל נ' ח'ורי (ניתן ביום 07/06/12) –החזקת נשק שלא כדין, נשיאת נשק והובלתו ויריות באזור מגורים. צעיר, ללא עבר פלילי. נגזרו 20 חודשי מאסר.",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ת""פ 31862-05-13 מדינת ישראל נ' מוחמד מחאמיד (ניתן ביום 01/10/13) –נשיאת נשק והפרעה לשוטר. נקבע, כי מתחם העונש ההולם נע בין 12-36 חודשי מאסר ונגזרו 21 חודשי מאסר בפועל. צעיר, בן פחות מ- 21, נעדר עבר פלילי.",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ב""כ המאשימה אזכר, בין היתר, את הפסיקה הבאה מטעמו :",ב. מדיניות הענישה:,דיון והכרעה
ME-16-06-64845-657,"ע""פ 9373/10 חמד ותד נ' מדינת ישראל (ניתן ביום 14/09/11) –החזקת נשק ונשיאתו. נגזרו 50 חודשי מאסר. בית המשפט העליון קיבל את ערעורו, הפחית בעונשו וגזר עליו 30 חודשי מאסר. המערער בעל עבר פלילי. בית המשפט העליון הדגיש כי ""מקובלת עלינו ההשקפה אותה הביע השופט המלומד כי הגיעה העת להחמיר בענישתם של המבצעים עבירות בנשק, אולם ראוי שהדבר ייעשה בהדרגה..."". המדובר בשנת 2011.",ב. מדיניות הענישה:,דיון והכרעה
